failure_type,hydrogen_side_recovered,grid_aware_identifiable,grid_aware_supported,grid_clipping_removed,not_identifiable,identifiable_rate,retention_ratio
pure_quantity,37,37,35,2,0,1,0.945945945946
pure_location,0,0,0,0,0,,
mixed,81,81,69,12,0,1,0.851851851852
