path_id,checkpoint_relative_hour,failure_type,arrival_stage,final_intensity,final_location,final_gap,tail_group,current_inventory_kg,target_total_kg,real_remaining_hour_count,expected_remaining_hour_count,hydrogen_side_recovered,required_extra_H2_kg,alpha_required_uniform,required_total_added_kW_proxy,site1_increment_necessary,site2_increment_necessary,site3_increment_necessary,site4_increment_necessary,joint_grid_feasible,full_candidate_stress_feasible,partially_clipped,grid_aware_identifiable,grid_aware_recovery_supported,classification,grid_clipped_hours,critical_bus,critical_branch,minimum_voltage,minimum_voltage_margin,joint_grid_hostable_extra_H2_kg,grid_aware_recovery_margin_kg,site1_effective_increment_summary,site2_effective_increment_summary,site3_effective_increment_summary,site4_effective_increment_summary,not_identifiable_reason
152,-16,mixed,5,4,4,63.1664616747,difficult4,182.014475204,423.861526765,16,16,YES,1.607051461,0.0267574335831,5.15080596474,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,37.1045986695,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
326,-16,pure_quantity,6,4,4,107.394627906,extreme1,145.293409272,423.861526765,16,16,YES,38.328117393,0.638163792757,122.846530106,YES,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,1,18,1,0.9,0,59.2686904652,20.9405729722,min=75;mean=75;max=75;sum=1200 kW,min=50;mean=50;max=50;sum=800 kW,min=-10.58;mean=27.4638;max=30;sum=439.42 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
467,-16,mixed,5,4,4,62.9448956867,difficult4,182.014475204,423.861526765,16,16,YES,1.607051461,0.0267574335831,5.15080596474,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,37.1045986695,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
488,-16,mixed,5,4,4,91.9948037838,difficult4,182.014475204,423.861526765,16,16,YES,1.607051461,0.0267574335831,5.15080596474,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,37.1045986695,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
518,-16,pure_quantity,5,5,4,109.586929435,extreme1,302.134475204,546.93138762,16,16,YES,4.556912316,0.0758726659341,14.6054881923,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,45.3467040545,40.7897916385,min=8.25366e-11;mean=70.3125;max=75;sum=1125 kW,min=0;mean=44.0729;max=50;sum=705.166 kW,min=-120;mean=-4.19961;max=30;sum=-67.1938 kW,min=0;mean=35.1562;max=37.5;sum=562.5 kW,
643,-16,mixed,5,5,2,51.8374642806,difficult4,302.134475204,543.056863022,16,16,YES,0.682387718,0.0113617668665,2.1871401218,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,38.0292624125,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
801,-16,pure_quantity,5,4,4,91.5661112779,difficult4,182.014475204,423.861526765,16,16,YES,1.607051461,0.0267574335831,5.15080596474,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,37.1045986695,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
904,-16,pure_quantity,6,5,1,76.2886190541,difficult4,251.186343625,528.704034541,16,16,YES,37.277690816,0.620674172761,119.479778256,YES,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,1,18,1,0.9,0,59.1787158777,21.9010249617,min=75;mean=75;max=75;sum=1200 kW,min=34.8059;mean=49.0504;max=50;sum=784.806 kW,min=0;mean=28.125;max=30;sum=450 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
1165,-16,pure_quantity,5,4,4,188.294045631,extreme1,182.014475204,423.861526765,16,16,YES,1.607051461,0.0267574335831,5.15080596474,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,47.6168953841,46.0098438231,min=75;mean=75;max=75;sum=1200 kW,min=20.3598;mean=47.1979;max=50;sum=755.166 kW,min=-120;mean=-7.07961;max=30;sum=-113.274 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
1313,-16,mixed,7,5,1,66.1530123113,difficult4,232.642481134,528.704034541,16,16,YES,55.821553307,0.929429791991,178.915234958,YES,YES,YES,YES,YES,NO,YES,YES,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,4,18,1,0.9,0,39.5929343528,-16.2286190542,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=37.5;max=50;sum=600 kW,min=-94.5592;mean=5.02543;max=30;sum=80.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
