row_type,method,path_count,hit_terminal_count,positive_target_count,common_both_positive_target_count,mean_target_positive,mean_final_all,mean_final_positive_target,mean_gap_all,mean_gap_positive_target,median_gap_positive_target,mean_relative_gap_positive_target,mean_attainment_positive_target,paired_mean_target_delta_common_hit,paired_mean_final_delta_common_hit,paired_mean_gap_delta_common_hit,paired_mean_relative_gap_delta_common_both_positive
method_own_target_condition,saa,10000,6053,1484,NaN,400.201344411579,348.443097320491,458.25786555178,3.57855119496178,24.114226381144,0,0.0462196851789805,0.95378031482102,NaN,NaN,NaN,NaN
method_own_target_condition,chi2_eta003,10000,6053,5030,NaN,178.961235477198,363.957885486094,405.758944341567,4.76506164877223,9.47328359596865,0,0.0184009902295488,0.981599009770451,NaN,NaN,NaN,NaN
paired_common_path_delta,eta_minus_saa,6053,6053,1484,1484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.5990780346148,20.7103608560058,1.96020230267712,0.0161502480114713
