path_id,saa_ordinary_shortage,eta_ordinary_shortage,ordinary_shortage_delta,saa_final_inventory,eta_final_inventory,final_inventory_delta,eta_leaves_more_inventory,saa_production,eta_production,production_delta,eta_produces_more,saa_htt,eta_htt,htt_delta,eta_uses_more_htt,saa_terminal_target,eta_terminal_target,target_delta,saa_terminal_gap,eta_terminal_gap,gap_delta,saa_relative_gap,eta_relative_gap,saa_reported_objective,eta_reported_objective,reported_objective_delta
135,118.41807529084,126.160118685966,7.74204339512546,616.062679582985,624.145220195663,8.0825406126778,1,540.199502782448,540.54,0.340497217552411,1,78.2996259478859,75.7739786686577,-2.52564727922817,0,613.424978861523,626.532860250673,13.1078813891509,2.5919036115869,6.40105988497621,3.80915627338931,0.00422529844871545,0.0102166387289171,47854.2748098204,56714.7010778985,8860.42626807808
138,22.2686838686158,35.7701977871788,13.501513918563,479.956964541294,493.458478459857,13.501513918563,1,450.45,450.45,0,0,79.9351051539033,81.0150214684433,1.07991631454,1,0,0.71367875842609,0.71367875842609,0,0,0,NaN,0,20121.1256885671,23013.6413552347,2892.5156666676
144,22.2686838686158,35.7701977871787,13.5015139185629,479.956964541294,493.458478459857,13.5015139185628,1,450.45,450.45,0,0,89.4462045198381,80.7440438602082,-8.70216065962991,0,405.313258598587,434.497947905568,29.1846893069812,0,0,0,0,0,20587.5380621277,23041.182335955,2453.6442738273
177,87.0349696924997,94.2068208370186,7.17185114451887,544.723250365178,551.895101509697,7.171851144519,1,450.45,450.45,0,0,98.6736932772637,108.303497582543,9.62980430527927,1,0,79.4853371037635,79.4853371037635,0,0,0,NaN,0,33869.450803269,35544.4722445829,1675.02144131393
244,60.7358182073802,78.8066922376509,18.0708740302706,443.734227479427,461.805101509697,18.0708740302704,1,360.36,360.36,0,0,78.4378362500124,97.7315177166771,19.2936814666647,1,0,0,0,0,0,0,NaN,NaN,26543.7708105898,30652.0826062909,4108.31179570113
278,106.331187532016,118.66542255655,12.3342350245334,452.491417443786,474.53235913193,22.0409416881448,1,388.715128402072,398.421835065683,9.7067066636115,1,57.6651878252395,40.8965284499028,-16.7686593753367,0,0,67.6431305846633,67.6431305846633,0,0,0,NaN,0,34974.8926160824,37237.3795217242,2262.48690564187
279,111.576414400393,123.79792736055,12.2215129601569,569.264695073071,581.486208033228,12.221512960157,1,450.45,450.45,0,0,67.665882547637,51.2273656888852,-16.4385168587518,0,372.309958268554,405.313258646956,33.0033003784022,0,0,0,0,0,37449.4039084923,39613.0526692848,2163.64876079246
360,7.98824486615032,15.4001285993677,7.41188373321742,428.236525538829,450.221654995913,21.9851294570839,1,413.01,427.583245723866,14.5732457238665,1,46.5316289037484,64.0703895638295,17.538760660081,1,405.313258598587,434.497947905568,29.1846893069812,0,1.76180366036981,1.76180366036981,0,0.00405480317884657,15053.2454512158,21140.8030267343,6087.55757551847
381,119.831179071277,128.599871400632,8.76869232935496,502.829588343324,511.598280672679,8.76869232935496,1,360.36,360.36,0,0,83.1980370939683,66.9203670489144,-16.2776700450539,0,355.126421733082,396.04045228592,40.914030552838,0,0,0,0,0,37916.0318530733,39417.9412625906,1501.90940951738
458,115.915491032984,117.505279536937,1.58978850395292,562.42866539984,578.050381046634,15.6217156467942,1,489.068072857159,503.1,14.0319271428412,1,77.027993932622,63.1315186877286,-13.8964752448934,0,355.126421733082,396.04045228592,40.914030552838,0,0,0,0,0,39765.860169032,40475.6438623286,709.783693296573
470,127.102217000797,128.599871400632,1.49765439983575,613.434912958094,617.817619677482,4.38270671938767,1,528.887594447601,531.772646767152,2.88505231955162,1,71.0561769007461,68.7108038662425,-2.34537303450355,0,405.313258598587,434.497947905568,29.1846893069812,0,0,0,0,0,43812.9852348791,43958.8859049409,145.900670061827
475,78.8066922376509,85.6574817492073,6.85078951155643,536.494972910329,543.345762421886,6.85078951155651,1,450.45,450.45,0,0,62.3983906946111,65.5009233281525,3.10253263354143,1,0,0,0,0,0,0,NaN,NaN,30916.6880206365,32285.4087991767,1368.72077854013
484,119.831179071277,128.599871400632,8.76869232935502,502.829588343324,511.598280672679,8.76869232935502,1,360.36,360.36,0,0,64.6276140818364,67.3668944153843,2.73928033354792,1,371.491694624008,405.313265587416,33.8215709634079,0,0,0,0,0,37612.9268012011,39378.9224002301,1765.99559902906
539,104.42451136658,106.331187532016,1.90667616543621,556.755105575904,569.430729016305,12.6756234404008,1,494.885492699627,505.654439974591,10.7689472749647,1,59.1909236783377,80.2100954686178,21.0191717902801,1,185.745847312004,299.484469224306,113.738621912302,0,0,0,0,0,37652.0416926391,38673.0281313081,1020.986438669
551,26.7796675100053,37.6688124679836,10.8891449579783,484.467948182684,495.357093140662,10.8891449579782,1,450.45,450.45,0,0,86.8077390553042,73.9452103615283,-12.8625286937758,0,0,0,0,0,0,0,NaN,NaN,21283.3991784172,23210.6245248501,1927.22534643297
