"state_id","eta","maximum_T_abs_difference_kg","total_inventory_abs_difference_kg","mean_shortage_abs_difference_kg","mean_EENS_abs_difference_kWh","nominal_economic_cost_abs_difference_yuan","LB_abs_difference_yuan","UB_abs_difference_yuan","secondary_distance_abs_difference","reproduction_pass"
"19","0","3.979039320256561E-13","5.684341886080801E-13","2.398081733190338E-14","8.526512829121202E-14","5.4569682106375694E-11","3.4924596548080444E-10","3.4924596548080444E-10","3.637978807091713E-12","True"
"19","0.03","4.553653099037547E-08","4.510252438194584E-08","7.576739236014873E-10","1.3888836747355526E-08","4.945468390360475E-07","2.1827872842550278E-10","3.637978807091713E-12","1.6759713616920635E-09","True"
