state_id,eta,maximum_T_abs_difference_kg,total_inventory_abs_difference_kg,mean_shortage_abs_difference_kg,mean_EENS_abs_difference_kWh,nominal_economic_cost_abs_difference_yuan,LB_abs_difference_yuan,UB_abs_difference_yuan,secondary_distance_abs_difference,reproduction_pass
19,0.0,3.979039320256561e-13,5.684341886080801e-13,2.398081733190338e-14,8.526512829121202e-14,5.4569682106375694e-11,3.4924596548080444e-10,3.4924596548080444e-10,3.637978807091713e-12,True
19,0.03,4.553653099037547e-08,4.510252438194584e-08,7.576739236014873e-10,1.3888836747355526e-08,4.945468390360475e-07,2.219167072325945e-10,3.637978807091713e-12,1.6759713616920635e-09,True
