"process_label","process_type","exit_code","started_at","ended_at","runtime_sec","log_path","pass"
"prepare-initialize","MATLAB","0","2026-08-04T08:21:52.6084226+08:00","2026-08-04T08:22:20.5305424+08:00","27.9221198","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\prepare-initialize.txt","True"
"prepare-clone-verify","POWERSHELL","0","2026-08-04T08:22:23.3501653+08:00","2026-08-04T08:22:23.3501653+08:00","0","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\prepared_input_clone_audit.csv","True"
"case-037-state019-saa","PYTHON","0","2026-08-04T08:22:24.2154845+08:00","2026-08-04T08:22:51.0258641+08:00","26.8103796","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-037-state019-saa.txt","True"
"case-038-state019-eta003","PYTHON","0","2026-08-04T08:22:51.0813828+08:00","2026-08-04T08:29:04.6200488+08:00","373.538666","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-038-state019-eta003.txt","True"
"case-001-state001-saa","PYTHON","0","2026-08-04T08:29:04.8261956+08:00","2026-08-04T08:29:05.9048451+08:00","1.0786495","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-001-state001-saa.txt","True"
"case-002-state001-eta003","PYTHON","0","2026-08-04T08:29:05.9288986+08:00","2026-08-04T08:29:11.3080693+08:00","5.3791707","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-002-state001-eta003.txt","True"
"case-003-state002-saa","PYTHON","0","2026-08-04T08:29:11.3295523+08:00","2026-08-04T08:29:12.3899612+08:00","1.0604089","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-003-state002-saa.txt","True"
"case-004-state002-eta003","PYTHON","0","2026-08-04T08:29:12.4096120+08:00","2026-08-04T08:29:18.1791260+08:00","5.769514","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-004-state002-eta003.txt","True"
"case-005-state003-saa","PYTHON","0","2026-08-04T08:29:18.2030648+08:00","2026-08-04T08:29:19.3629949+08:00","1.1599301","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-005-state003-saa.txt","True"
"case-006-state003-eta003","PYTHON","0","2026-08-04T08:29:19.3802757+08:00","2026-08-04T08:29:22.8707209+08:00","3.4904452","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-006-state003-eta003.txt","True"
"case-007-state004-saa","PYTHON","0","2026-08-04T08:29:22.8922660+08:00","2026-08-04T08:29:23.9829631+08:00","1.0906971","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-007-state004-saa.txt","True"
"case-008-state004-eta003","PYTHON","0","2026-08-04T08:29:24.0028149+08:00","2026-08-04T08:29:29.0271144+08:00","5.0242995","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-008-state004-eta003.txt","True"
"case-009-state005-saa","PYTHON","0","2026-08-04T08:29:29.0490897+08:00","2026-08-04T08:29:30.0897814+08:00","1.0406917","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-009-state005-saa.txt","True"
"case-010-state005-eta003","PYTHON","0","2026-08-04T08:29:30.1112035+08:00","2026-08-04T08:29:31.7321221+08:00","1.6209186","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-010-state005-eta003.txt","True"
"case-011-state006-saa","PYTHON","0","2026-08-04T08:29:31.7513609+08:00","2026-08-04T08:29:32.6933334+08:00","0.9419725","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-011-state006-saa.txt","True"
"case-012-state006-eta003","PYTHON","0","2026-08-04T08:29:32.7071682+08:00","2026-08-04T08:29:34.4958263+08:00","1.7886581","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-012-state006-eta003.txt","True"
