candidate,added_kW,grid_aware_retained_events,grid_aware_unique_paths,retained_events_per_added_kW,PARETO_NONDOMINATED,dominated_by
B0000,0,0,0,,YES,
B1000,75,55,48,0.733333333333,YES,
B0100,50,45,42,0.9,YES,
B0010,30,18,17,0.6,YES,
B0001,37.5,39,38,1.04,YES,
B1100,125,78,68,0.624,YES,
B1010,105,71,62,0.67619047619,YES,
B1001,112.5,72,63,0.64,YES,
B0110,80,52,44,0.65,NO,B1000
B0101,87.5,57,49,0.651428571429,YES,
B0011,67.5,45,39,0.666666666667,NO,B0100
B1110,155,84,71,0.541935483871,NO,B1011
B1101,162.5,97,82,0.596923076923,YES,
B1011,142.5,85,72,0.59649122807,YES,
B0111,117.5,73,64,0.621276595745,YES,
B1111,192.5,104,89,0.54025974026,YES,
