threshold_kg_strictly_greater_than,path_count,path_share,mean_delta_inventory_kg,mean_delta_operating_cost_yuan,mean_delta_production_kg,mean_delta_htt_kg,mean_delta_ordinary_shortage_kg,terminal_hit_share
1.0,5592,0.5592,27.747254426944863,1448.6474394259048,27.309384361370604,15.769670581496202,0.43787006557435076,0.7888054363376252
10.0,5105,0.5105,29.699391540742937,1500.292175460088,29.403678054738343,16.184402036279568,0.29571348600481395,0.7943192948090108
20.0,4012,0.4012,33.604779009249356,1628.6569665110208,33.530852628628686,18.034059675242926,0.07392638062080295,0.7973579262213359
30.0,2467,0.2467,39.12184642046925,1737.4064948048542,39.07578690378995,17.817924823450962,0.046059516679278205,0.8305634373733279
50.0,179,0.0179,55.58208770742423,2159.6348442551935,55.44498820326148,18.609359604563505,0.13709950416259553,0.9385474860335196
100.0,0,0.0,,,,,,
