difficulty_tier,path_count,mean_gap_kg,median_gap_kg,q95_gap_kg,mean_production_kg,mean_inventory_kg,mean_HTT_kg,mean_shortage_kg,order
普通95%,5817,0.207099713742,0,0,221.274446866,190.429130885,9.92695830242,2.20895450857,1
较困难4%,245,47.8405788407,44.0169071218,90.319200808,353.695141788,331.145227677,42.2228070423,19.5683653645,2
最极端1%,62,139.720010978,136.03179331,191.072795631,318.760398936,314.779416528,33.7866315478,26.8629575372,3
