path_id,state_sequence,termination_stage,terminal_a,terminal_loc,difficulty_tier,terminal_site_gap,terminal_total_quantity_shortfall,terminal_spatial_component,terminal_gap_class,total_H2_production,terminal_inventory_total,ordinary_shortage_total,total_HTT,target_site1,target_site2,target_site3,target_site4,inventory_site1,inventory_site2,inventory_site3,inventory_site4,gap_site1,gap_site2,gap_site3,gap_site4
3909,81-98-91-109-166-199-272-280,6,4,4,最极端1%,201.358259651,201.358259651,5.68434188608e-14,PURE_QUANTITY_SHORTFALL,298.36879191,222.503267114,0,8.74449509479,168.56298044,132.558988567,40.9131822127,81.8263755451,103.622165723,47.7705448833,21.6602287466,49.4503277609,64.9408147174,84.7884436836,19.2529534661,32.3760477842
3546,81-107-100-165-214-255-280-240,6,5,4,最极端1%,198.068906486,198.068906486,-5.68434188608e-14,PURE_QUANTITY_SHORTFALL,365.235,348.862481134,59.4930059307,47.4930187465,220.386801719,137.407832013,70.1586416901,118.978112198,168.819695927,66.984149131,31.3426488287,81.7159872477,51.5671057916,70.4236828823,38.8159928614,37.2621249507
9408,81-99-164-221-255-272-280-280,5,5,4,最极端1%,192.67826053,192.67826053,-5.68434188608e-14,PURE_QUANTITY_SHORTFALL,348.667934353,354.25312709,21.9577116029,37.1076615138,220.386801719,137.407832013,70.1586416901,118.978112198,178.229353514,76.1525676694,24.7675218758,75.1036840313,42.157448205,61.2552643439,45.3911198143,43.8744281672
1320,81-106-107-166-199-232-240-240,5,4,4,最极端1%,191.219045631,191.219045631,2.84217094304e-14,PURE_QUANTITY_SHORTFALL,249.015,232.642481134,0,22.85224528,168.56298044,132.558988567,40.9131822127,81.8263755451,110.507601242,50.7260460315,26.2215253948,45.1873084666,58.0553791988,81.8329425354,14.6916568179,36.6390670785
1165,81-74-84-150-199-216-224-280,5,4,4,最极端1%,188.294045631,188.294045631,5.68434188608e-14,PURE_QUANTITY_SHORTFALL,251.94,235.567481134,0,25.4418839564,168.56298044,132.558988567,40.9131822127,81.8263755451,105.143238304,47.9080575173,26.4498752326,56.0663100805,63.4197421363,84.6509310496,14.4633069801,25.7600654647
8898,81-99-133-174-247-232-248-232,5,5,3,最极端1%,181.021620024,181.021620024,5.68434188608e-14,PURE_QUANTITY_SHORTFALL,348.667934353,371.306343625,39.0109281376,47.1408796642,222.567734271,130.103902281,58.9149805351,140.741346562,178.084187333,76.7055441473,32.2663079025,84.250304242,44.4835469382,53.3983581335,26.6486726326,56.49104232
8395,81-106-149-182-239-256-264-240,5,5,2,最极端1%,171.750519397,171.750519397,0,PURE_QUANTITY_SHORTFALL,348.667934353,371.306343625,39.0109281376,44.3324966288,229.663686475,96.284841278,44.1863287464,172.922006523,176.841321936,78.2118075333,32.0939015716,84.1593125835,52.8223645384,18.0730337447,12.0924271748,88.7626939395
7699,81-66-139-180-239-248-272-280,5,5,2,最极端1%,168.825519397,168.825519397,0,PURE_QUANTITY_SHORTFALL,351.592934353,374.231343625,39.0109281376,65.3581266178,229.663686475,96.284841278,44.1863287464,172.922006523,208.802683663,86.3064175359,2.97366157994,76.1485808462,20.8610028121,9.97842374203,41.2126671665,96.7734256767
2268,81-98-91-108-165-199-280-256,6,4,4,最极端1%,168.727629244,168.727629244,0,PURE_QUANTITY_SHORTFALL,330.999422318,255.133897521,0,12.4790000864,168.56298044,132.558988567,40.9131822127,81.8263755451,118.611437971,55.2827055517,25.939426238,55.3003277609,49.9515424696,77.2762830152,14.9737559747,26.5260477842
5265,81-74-83-108-157-199-264-304,6,4,4,最极端1%,168.727629244,168.727629244,5.68434188608e-14,PURE_QUANTITY_SHORTFALL,330.999422318,255.133897521,0,16.9883218514,168.56298044,132.558988567,40.9131822127,81.8263755451,110.222847787,48.9038157562,27.8089942686,68.1982397094,58.3401326532,83.6551728107,13.1041879441,13.6281358357
4723,81-74-84-125-199-176-240-248,5,4,4,最极端1%,168.070694858,168.070694858,5.68434188608e-14,PURE_QUANTITY_SHORTFALL,251.94,255.790831907,20.2233507725,12.7338770584,168.56298044,132.558988567,40.9131822127,81.8263755451,101.176649598,57.5158925149,29.550047133,67.5482426609,67.3863308422,75.043096052,11.3631350797,14.2781328842
5710,81-74-83-157-182-231-248-232,6,5,1,最极端1%,167.166553407,167.166553407,0,PURE_QUANTITY_SHORTFALL,377.91,361.537481134,59.4930059307,46.2318170969,213.67250824,99.8292358032,42.5500362049,172.652254293,173.716481382,71.2908629646,32.1971366447,84.3330001428,39.9560268581,28.5383728386,10.3528995602,88.3192541501
2727,81-90-83-68-69-134-199-184,7,4,4,最极端1%,160.642072127,160.642072127,-2.84217094304e-14,PURE_QUANTITY_SHORTFALL,359.952976806,263.219454638,24.6280685601,15.1106621572,168.56298044,132.558988567,40.9131822127,81.8263755451,131.45898064,47.7071662382,24.1644967399,59.8888110204,37.1039998005,84.8518223287,16.7486854728,21.9375645248
2000,81-74-61-134-199-192-264-248,5,4,4,最极端1%,160.561358653,160.561358653,-2.84217094304e-14,PURE_QUANTITY_SHORTFALL,253.89,263.300168112,25.7826869776,21.4208424422,168.56298044,132.558988567,40.9131822127,81.8263755451,126.601852639,49.3011565556,30.4104626824,56.9866962356,41.9611278019,83.2578320113,10.5027195303,24.8396793095
3514,81-66-61-134-199-280-280-280,5,4,4,最极端1%,160.561358653,160.561358653,-2.84217094304e-14,PURE_QUANTITY_SHORTFALL,256.815,263.300168112,22.8576869776,20.200191598,168.56298044,132.558988567,40.9131822127,81.8263755451,126.601852639,49.3011565556,30.4104626824,56.9866962356,41.9611278019,83.2578320113,10.5027195303,24.8396793095
8749,81-75-92-142-183-216-200-240,5,4,2,最极端1%,160.134250741,160.134250741,0,PURE_QUANTITY_SHORTFALL,245.115,235.39111398,6.64863284547,22.7795090335,168.321498891,60.2781032687,34.3670729582,132.558689603,104.379455632,45.4610352068,27.659272466,57.8913506749,63.9420432591,14.8170680619,6.70780049218,74.6673389283
2305,81-74-67-84-117-190-255-280,7,5,4,最极端1%,159.515023754,152.448978064,7.06604569035,MIXED_QUANTITY_AND_SPATIAL,470.347934353,394.482409557,45.4960659317,58.0000291606,220.386801719,137.407832013,70.1586416901,118.978112198,172.16029835,55.226633836,41.0513194818,126.044157889,48.2265033687,82.1811981773,29.1073222083,0
2289,81-66-83-134-199-224-224-224,5,4,4,最极端1%,158.782462877,158.782462877,2.84217094304e-14,PURE_QUANTITY_SHORTFALL,260.715,265.079063888,20.7365827538,19.6829654906,168.56298044,132.558988567,40.9131822127,81.8263755451,128.027522536,49.3835467918,30.7333044238,56.9346901371,40.5354579049,83.1754417751,10.1798777889,24.891685408
9891,81-90-59-132-182-231-264-256,6,5,1,最极端1%,157.57599606,157.57599606,5.68434188608e-14,PURE_QUANTITY_SHORTFALL,377.91,371.128038481,69.0835632777,55.6092023076,213.67250824,99.8292358032,42.5500362049,172.652254293,176.733888014,77.7465429494,32.2409290185,84.4066784993,36.9386202262,22.0826928538,10.3091071864,88.2455757935
8707,81-91-157-198-231-248-200-192,5,5,1,最极端1%,157.397690917,157.397690917,2.84217094304e-14,PURE_QUANTITY_SHORTFALL,348.667934353,371.306343625,39.0109281376,59.2903022177,213.67250824,99.8292358032,42.5500362049,172.652254293,178.78072445,62.4696337146,32.8782698013,97.1777156592,34.8917837908,37.3596020886,9.6717664036,75.4745386337
6413,81-67-68-117-190-231-248-272,6,5,1,最极端1%,149.94096388,149.94096388,8.52651282912e-14,PURE_QUANTITY_SHORTFALL,377.91,378.763070662,76.7185954579,59.027368348,213.67250824,99.8292358032,42.5500362049,172.652254293,174.868751982,54.1304608726,36.5619874857,113.201870322,38.8037562588,45.6987749306,5.98804871925,59.4503839711
8332,81-98-84-126-199-280-256-248,5,4,4,最极端1%,149.283117493,149.283117493,0,PURE_QUANTITY_SHORTFALL,251.94,274.578409272,39.0109281376,37.5129604099,168.56298044,132.558988567,40.9131822127,81.8263755451,139.098122471,48.7151348352,30.1821761359,56.5829758302,29.4648579697,83.8438537317,10.7310060768,25.2433997149
5887,81-66-117-182-239-240-264-272,5,5,2,最极端1%,145.783240385,145.783240385,5.68434188608e-14,PURE_QUANTITY_SHORTFALL,351.592934353,397.273622637,62.05320715,40.6174762864,229.663686475,96.284841278,44.1863287464,172.922006523,183.840064537,75.9291860708,38.0915433764,99.4128286532,45.823621938,20.3556552071,6.09478536999,73.5091778698
3442,81-58-124-183-240-248-264-280,4,4,2,最极端1%,145.473511908,141.414021097,4.05949081132,MIXED_QUANTITY_AND_SPATIAL,231.472934353,254.111343625,0,40.3806116537,168.321498891,60.2781032687,34.3670729582,132.558689603,128.910776846,64.33759408,0,60.8629726988,39.4107220452,0,34.3670729582,71.6957169045
5409,81-58-132-183-240-232-200-208,4,4,2,最极端1%,145.298988085,141.414021097,3.88496698797,MIXED_QUANTITY_AND_SPATIAL,231.472934353,254.111343625,0,40.2091476915,168.321498891,60.2781032687,34.3670729582,132.558689603,128.208637054,64.1630702566,0.345987785532,61.3936485282,40.1128618369,0,34.0210851726,71.165041075
3618,81-60-69-150-191-208-216-248,5,4,3,最极端1%,143.276679351,143.276679351,2.84217094304e-14,PURE_QUANTITY_SHORTFALL,259.861770065,243.489251199,0,15.1863026829,184.298449791,82.4559747849,34.3670602262,85.6444457484,106.512923327,48.0106254536,33.4574758937,55.5082265251,77.7855264639,34.4453493313,0.90958433258,30.1362192232
5235,81-99-109-142-175-200-264-280,5,4,1,最极端1%,142.298096188,142.298096188,0,PURE_QUANTITY_SHORTFALL,234,232.466682218,14.8392010833,23.3899076247,157.106485851,49.9139415109,31.912611987,135.831739057,104.380939451,42.6628230069,27.5070860747,57.9158336851,52.7255463998,7.25111850404,4.40552591225,77.915905372
4119,81-106-107-150-175-184-184-192,5,4,1,最极端1%,142.122297271,142.122297271,0,PURE_QUANTITY_SHORTFALL,249.015,232.642481134,0,28.0804876957,157.106485851,49.9139415109,31.912611987,135.831739057,104.632312969,47.8812014996,23.8381275111,56.2908391545,52.4741728814,2.03274001138,8.0744844759,79.5408999026
5666,81-75-125-198-231-264-280-280,5,5,1,最极端1%,141.357779076,141.357779076,5.68434188608e-14,PURE_QUANTITY_SHORTFALL,348.667934353,387.346255465,55.0508399777,58.5239512193,213.67250824,99.8292358032,42.5500362049,172.652254293,184.438764689,63.311304116,34.8542266398,104.741960021,29.2337435519,36.5179316872,7.69580956515,67.9102942723
2092,81-90-68-125-183-240-192-184,5,4,2,最极端1%,139.734532814,139.734532814,5.68434188608e-14,PURE_QUANTITY_SHORTFALL,257.79,255.790831907,14.3733507725,12.7338770584,168.321498891,60.2781032687,34.3670729582,132.558689603,101.176649598,57.5158925149,29.550047133,67.5482426609,67.1448492931,2.76221075379,4.81702582516,65.0104469424
9541,81-59-76-117-183-176-256-240,5,4,2,最极端1%,136.538032527,136.538032527,0,PURE_QUANTITY_SHORTFALL,260.715,258.987332194,14.6448510596,12.16161425,168.321498891,60.2781032687,34.3670729582,132.558689603,100.588934642,59.4746425781,28.1635598782,70.7601950962,67.7325642497,0.803460690571,6.20351307997,61.798494507
8245,81-122-180-247-328-280-264-192,4,5,3,最极端1%,135.525554093,135.525554093,1.13686837722e-13,PURE_QUANTITY_SHORTFALL,348.667934353,416.802409557,45.4960659317,55.9434385207,222.567734271,130.103902281,58.9149805351,140.741346562,211.233880764,95.6677322215,21.683473169,88.2173234021,11.3338535073,34.4361700593,37.2315073661,52.5240231599
5592,81-66-59-68-133-199-216-200,6,4,4,最极端1%,135.272051561,135.272051561,2.84217094304e-14,PURE_QUANTITY_SHORTFALL,364.455,288.589475204,0,8.81162096044,168.56298044,132.558988567,40.9131822127,81.8263755451,126.644058845,62.2254628418,38.5696257562,61.1503277609,41.9189215956,70.3335257251,2.34355645648,20.6760477842
2509,81-75-60-134-183-136-152-136,5,4,2,最极端1%,131.707410124,131.707410124,5.68434188608e-14,PURE_QUANTITY_SHORTFALL,257.79,263.817954597,22.4004734629,19.9702458467,168.321498891,60.2781032687,34.3670729582,132.558689603,127.016825014,49.3251380341,30.5044328255,56.9715587243,41.3046738777,10.9529652346,3.86264013271,75.587130879
825,81-131-205-239-256-240-256-272,4,5,2,最极端1%,131.541792147,126.254453466,5.28733868177,MIXED_QUANTITY_AND_SPATIAL,348.667934353,416.802409557,45.4960659317,33.7072592716,229.663686475,96.284841278,44.1863287464,172.922006523,194.839697156,101.57217996,38.0152046799,82.3753277609,34.8239893188,0,6.17112406656,90.5466787621
8753,81-106-83-100-150-183-176-240,6,4,2,最极端1%,131.051456903,124.875889518,6.17556738558,MIXED_QUANTITY_AND_SPATIAL,346.515,270.649475204,0,2.54596594605,168.321498891,60.2781032687,34.3670729582,132.558689603,111.982437884,65.0037901125,35.8169534999,57.8462937069,56.3390610069,0,0,74.7123958963
