iteration,LB
1,7667.86475738364
2,18014.0489320095
3,49535.9971860306
4,51301.5903580362
5,54459.4262361337
6,54590.1371138183
7,57531.0012769286
8,57611.7051410086
9,57624.3740250849
10,57724.6207744838
11,57816.3174786536
12,58594.2068213194
13,58628.2247315051
14,59130.7192486975
15,59177.7345161495
16,59803.3139419002
17,59803.8133237604
