site,average_p_el_kw,full_power_frequency,grid_limited_frequency
1,243.264698397301,0.803807947019868,0
2,149.191420041174,0.73841059602649,0
3,84.0484708020185,0.676324503311258,0.0438741721854305
4,117.727856495271,0.781456953642384,0
