scope,initial_state_id,T_id,T_label,distance_metric,pair_count,zero_distance_pair_count,positive_distance_pair_count,spearman_distance_abs_loss,low_positive_distance_q25,low_positive_pair_count,low_positive_large_mismatch_count,low_positive_large_mismatch_share,loss_slope_median,loss_slope_q90,loss_slope_maximum,nearest_neighbor_pair_count,nearest_neighbor_absolute_loss_median,nearest_neighbor_absolute_loss_q90,nearest_neighbor_absolute_loss_maximum,nearest_neighbor_relative_loss_median,nearest_neighbor_relative_loss_q90,nearest_neighbor_relative_loss_maximum
STATE,7,1,ZERO,PERIOD_OLD,231,28,203,0.924946594764626,0.0368466297213286,60,58,0.966666666666667,3721854.84044344,4235878.13327786,4235878.13327788,53,0,67643.1279491585,183291.056378365,0,1,1
STATE,7,1,ZERO,PERIOD_CORRECTED,231,28,203,0.945595664452785,0.0701085001268668,51,48,0.941176470588235,1880943.61949619,2026566.29299626,2026566.29299627,53,0,67643.1279491585,183291.056378365,0,1,1
STATE,7,2,HALF_CAPACITY,PERIOD_OLD,231,28,203,0.80012219037989,0.0368466297213286,60,59,0.983333333333333,16372.3501035543,681476.919488573,2669688.38701482,53,0,45936.7545879684,133770.932218073,0,1,1
STATE,7,2,HALF_CAPACITY,PERIOD_CORRECTED,231,28,203,0.774596016938618,0.0701085001268668,51,50,0.980392156862745,8007.03270159371,369812.212979606,1457052.55542284,53,0,45936.7545879684,133770.932218073,0,1,1
STATE,7,3,FULL_CAPACITY,PERIOD_OLD,231,28,203,0.79673424885857,0.0368466297213286,60,59,0.983333333333333,15052.0238356541,680668.358961755,2669688.38701482,53,0,45936.7545879684,133777.037133599,0,1,1
STATE,7,3,FULL_CAPACITY,PERIOD_CORRECTED,231,28,203,0.770971281694569,0.0701085001268668,51,50,0.980392156862745,7861.37291905881,369372.930060615,1457052.55542284,53,0,45936.7545879684,133777.037133599,0,1,1
STATE,7,4,STEP03YF_PERIOD_R2000,PERIOD_OLD,231,28,203,0.848776212158348,0.0368466297213286,60,59,0.983333333333333,16566.2527445386,1529151.09945819,3246119.96991268,53,0,45936.7545879684,165786.478542935,0,1,1
STATE,7,4,STEP03YF_PERIOD_R2000,PERIOD_CORRECTED,231,28,203,0.832490782028555,0.0701085001268668,51,50,0.980392156862745,9149.20540205042,798421.489612459,1618536.03062939,53,0,45936.7545879684,165786.478542935,0,1,1
STATE,9,1,ZERO,PERIOD_OLD,1540,49,1491,0.785338869069876,0.0379542395692512,386,338,0.875647668393782,3647819.32739329,6079698.8789888,6079698.87898884,102,0,93827.5645746393,157106.61975288,0,1,1
STATE,9,1,ZERO,PERIOD_CORRECTED,1540,49,1491,0.905834611835868,0.113862718707753,404,343,0.849009900990099,1587069.98849106,2026566.29299627,2026566.29299628,101,0,93827.5645746393,157106.61975288,0,1,1
STATE,9,2,HALF_CAPACITY,PERIOD_OLD,1540,49,1491,0.879973624836871,0.0379542395692512,386,356,0.922279792746114,383423.522997229,1964776.96705187,5921715.00952702,102,0,855.626400141064,157127.832773012,0,1,1
STATE,9,2,HALF_CAPACITY,PERIOD_CORRECTED,1540,49,1491,0.917578954884771,0.113862718707753,404,370,0.915841584158416,191856.385389527,841157.177078159,2008882.28573725,101,0,572.037203831743,157127.832773012,0,1,1
STATE,9,3,FULL_CAPACITY,PERIOD_OLD,1540,49,1491,0.915169918801112,0.0379542395692512,386,356,0.922279792746114,23270.2435198595,736897.377159973,2567476.52029914,102,0,1766.88215345177,242156.76729332,0,1,1
STATE,9,3,FULL_CAPACITY,PERIOD_CORRECTED,1540,49,1491,0.813563072604626,0.113862718707753,404,374,0.925742574257426,8235.5117887813,457474.846521904,2019341.60767135,101,0,1165.57645317113,103057.05672288,0,1,1
STATE,9,4,STEP03YF_PERIOD_R2000,PERIOD_OLD,1540,49,1491,0.916275386227368,0.0379542395692512,386,357,0.924870466321243,23336.4193454954,753301.620160308,2479972.71017992,102,0,1959.01653254499,242156.76729332,0,1,1
STATE,9,4,STEP03YF_PERIOD_R2000,PERIOD_CORRECTED,1540,49,1491,0.815769038746241,0.113862718707753,404,374,0.925742574257426,8450.94046238783,460559.859532133,2019341.60767135,101,0,1165.92878068592,103045.930449186,0,1,1
STATE,11,1,ZERO,PERIOD_OLD,1596,43,1553,0.786410581343875,0.0381770217283878,389,340,0.874035989717224,3147262.39098961,6079698.87898879,6079698.87898883,99,0,64806.4806480643,405313.258598586,0,1,1
STATE,11,1,ZERO,PERIOD_CORRECTED,1596,43,1553,0.890069119216386,0.113873437664655,389,335,0.861182519280206,1517666.67656092,2026566.29299627,2026566.29299628,99,0,55423.724190601,264026.402640263,0,1,1
STATE,11,2,HALF_CAPACITY,PERIOD_OLD,1596,43,1553,0.901302687938876,0.0381770217283878,389,364,0.93573264781491,186046.662902013,1406804.88285617,6000952.99606756,99,0,41329.0747869611,292294.115542007,0,1,1
STATE,11,2,HALF_CAPACITY,PERIOD_CORRECTED,1596,43,1553,0.898014553071752,0.113873437664655,389,365,0.938303341902314,93130.2543823927,710632.41611949,3550587.8191098,99,0,33499.400260164,263549.342832951,0,1,1
STATE,11,3,FULL_CAPACITY,PERIOD_OLD,1596,43,1553,0.877010383870684,0.0381770217283878,389,363,0.933161953727506,22381.444907255,820151.096983909,4352655.44066797,99,0,21748.5788415431,201873.942327934,0,1,1
STATE,11,3,FULL_CAPACITY,PERIOD_CORRECTED,1596,43,1553,0.806240104969887,0.113873437664655,389,364,0.93573264781491,7470.6228028118,435945.916639662,3547535.06658507,99,0,21748.5788415431,201873.942327934,0,1,1
STATE,11,4,STEP03YF_PERIOD_R2000,PERIOD_OLD,1596,43,1553,0.87631639601621,0.0381770217283878,389,363,0.933161953727506,24181.0591418988,819583.198062633,4352655.44066797,99,0,27104.7559159281,182000.637233323,0,1,1
STATE,11,4,STEP03YF_PERIOD_R2000,PERIOD_CORRECTED,1596,43,1553,0.818738299097083,0.113873437664655,389,364,0.93573264781491,8621.74279747968,434119.92508088,3547535.06658507,99,0,21848.7516364077,182000.637233323,0,1,1
STATE,19,1,ZERO,PERIOD_OLD,1711,31,1680,0.755569492227194,0.0746477932370276,420,359,0.854761904761905,2996183.76537123,6051800.66046148,6079698.87898883,84,0,265772.031748629,294574.912036661,0,0.682222222222223,1
STATE,19,1,ZERO,PERIOD_CORRECTED,1711,31,1680,0.913265190084371,0.178504906308887,420,308,0.733333333333333,1474110.99923974,2023456.97822867,2026566.29299627,84,0,225186.154979133,281482.693723918,0,0.682222222222223,1
STATE,19,2,HALF_CAPACITY,PERIOD_OLD,1711,31,1680,0.861408227688653,0.0746477932370276,420,376,0.895238095238095,957636.584021555,2012340.50220112,5893458.69786689,84,13.5672392944466,88428.8237203608,292811.589704798,0.0177623826497458,0.996747207705849,1
STATE,19,2,HALF_CAPACITY,PERIOD_CORRECTED,1711,31,1680,0.903967286426062,0.178504906308887,420,352,0.838095238095238,529793.670712382,868923.657978747,5058107.07276802,84,13.5672392944466,88428.8237203608,227787.13438283,0.0177623826497458,0.996747207705849,1
STATE,19,3,FULL_CAPACITY,PERIOD_OLD,1711,31,1680,0.788242252321513,0.0746477932370276,420,381,0.907142857142857,307954.966832179,1188487.45495313,6110846.52911604,84,114.910347863739,50425.5306416846,364243.485054137,0.0718093058807045,0.996747207705849,1
STATE,19,3,FULL_CAPACITY,PERIOD_CORRECTED,1711,31,1680,0.634287773955671,0.178504906308887,420,385,0.916666666666667,143734.295840644,760497.248518374,6110846.52911605,84,136.250616215614,64935.2629582012,364243.485054137,0.105474005676718,0.996747207705849,1
STATE,19,4,STEP03YF_PERIOD_R2000,PERIOD_OLD,1711,31,1680,0.81366038895507,0.0746477932370276,420,382,0.90952380952381,356350.35569206,1216177.91150658,6096667.08379612,84,114.596567500039,65102.820965248,363398.304185194,0.0718637550946355,0.996747207705849,1
STATE,19,4,STEP03YF_PERIOD_R2000,PERIOD_CORRECTED,1711,31,1680,0.662567962581518,0.178504906308887,420,384,0.914285714285714,175697.798605655,760209.782968269,6096667.08379613,84,136.250616215614,68656.9794884229,363398.304185194,0.105472699855242,0.996747207705849,1
