scope,initial_state_id,T_id,T_label,old_zero_distance_pair_count,corrected_zero_distance_pair_count,zero_pair_identity_mismatch_count,zero_pair_identity_match,old_max_absolute_loss_difference,old_max_relative_loss_difference,corrected_max_absolute_loss_difference,corrected_max_relative_loss_difference
STATE,7,1,ZERO,28,28,0,1,0,0,0,0
STATE,7,2,HALF_CAPACITY,28,28,0,1,0,0,0,0
STATE,7,3,FULL_CAPACITY,28,28,0,1,0,0,0,0
STATE,7,4,STEP03YF_PERIOD_R2000,28,28,0,1,0,0,0,0
STATE,9,1,ZERO,49,49,0,1,0,0,0,0
STATE,9,2,HALF_CAPACITY,49,49,0,1,0,0,0,0
STATE,9,3,FULL_CAPACITY,49,49,0,1,0,0,0,0
STATE,9,4,STEP03YF_PERIOD_R2000,49,49,0,1,0,0,0,0
STATE,11,1,ZERO,43,43,0,1,0,0,0,0
STATE,11,2,HALF_CAPACITY,43,43,0,1,0,0,0,0
STATE,11,3,FULL_CAPACITY,43,43,0,1,0,0,0,0
STATE,11,4,STEP03YF_PERIOD_R2000,43,43,0,1,0,0,0,0
STATE,19,1,ZERO,31,31,0,1,0,0,0,0
STATE,19,2,HALF_CAPACITY,31,31,0,1,0,0,0,0
STATE,19,3,FULL_CAPACITY,31,31,0,1,0,0,0,0
STATE,19,4,STEP03YF_PERIOD_R2000,31,31,0,1,0,0,0,0
POOLED,0,1,ZERO,151,151,0,1,0,0,0,0
POOLED,0,2,HALF_CAPACITY,151,151,0,1,0,0,0,0
POOLED,0,3,FULL_CAPACITY,151,151,0,1,0,0,0,0
POOLED,0,4,STEP03YF_PERIOD_R2000,151,151,0,1,0,0,0,0
