status,value
S4_125_GRID_HOSTING,MIXED
ALL_125_GRID_HOSTING,MIXED
SITE3_INCREMENTAL_HOSTING,POTENTIALLY_LIMITED
BRANCH_INCREMENTAL_HOSTING,CLEAR
VOLTAGE_INCREMENTAL_HOSTING,POTENTIALLY_LIMITED
RECOMMEND_FRESH_S4_125_POLICY_PILOT,NEEDS_MORE_GRID_DIAGNOSTIC
RECOMMEND_FRESH_ALL_125_POLICY_PILOT,NEEDS_MORE_GRID_DIAGNOSTIC
GRID_VARIABLES_REOPTIMIZED_FOR_HOSTING,YES
POLICY_ACTUAL_USE,NOT_AVAILABLE_BEFORE_FRESH_RETRAINING
FULLY_CONVERGED,NO
PENALTY1500_STARTED,NO
NO_FA_MSP_TRAINING,YES
NO_OOS_RERUN,YES
NO_PARAMETER_WRITEBACK,YES
GRID_HOSTING_LP_ONLY,YES
