state_id,intensity,loc,lfw,n_draws,n_exact_groups,multiplicity_sum,q_g_sum,q_g_fsum,representative_min_path_id,representative_max_path_id,signature,candidate_bank_path,candidate_bank_bytes,candidate_bank_sha256,source_stage88_bank_sha256,source_scenario_sha256,source_DAC_sha256,gate
1,2,1,0,15000,7123,15000,1.0,1.0,1,14999,"(Dres,Aroad,Aelec,C)",terminalLoh_wdro/output/stage89j_topology_h2_dual_channel_w_candidate/run-001/state-001_stage89j_candidate_grouped.mat,14301940,7a4047c0b4300480a78a2cdc51526179b7181d29be4a766e3a9aac54d6a5daa0,289cded2c97c3b47ff11b4f84e58f1bfbbe890f2183ba00b925f5bd4f292a6fb,d03550e48fdbfcd9bb72ddf6d9a7028d86da912efe6e08666ecfe568f292f091,1ad52233f7d54337bed13b6d578936c065ec06a60d33b7528d1b59e17126a41b,PASS
2,2,2,0,15000,7111,15000,1.0,1.0,1,15000,"(Dres,Aroad,Aelec,C)",terminalLoh_wdro/output/stage89j_topology_h2_dual_channel_w_candidate/run-001/state-002_stage89j_candidate_grouped.mat,15034391,60bdbb967ab3a6c71d2e578519b433ddf0d4f51a034ebeb2b2f40f64f9984af9,ab0f8c779e0cb17b256772455e09da4e84e42b46ab8cf4c08be8baad30780b84,48cce0464201c763bb77336650484de355859a1c76c7de280da8120532dc83db,5ee9555548c2a3513e6114f8fbcf642e5a5f12af13098759c5548c3f49650542,PASS
3,2,3,0,15000,7083,15000,1.0,1.0,1,15000,"(Dres,Aroad,Aelec,C)",terminalLoh_wdro/output/stage89j_topology_h2_dual_channel_w_candidate/run-001/state-003_stage89j_candidate_grouped.mat,15274061,58ce3094e744882a70f560f28fbc7b3f3acefbebe9276469aedc1be0838e2b2d,7db633aadd111b19b27cb1b4e9f10241a189a6dfb30b37dcdff5886dacfdbd93,fc584565f22741de4ec70a44c5a223d9d2c391d1a8f9831360b6336f246a6c80,d9c6974135699bcdd7e4eff5a93d469dd34d40731b0de47f64bd50ae9f2bd1ac,PASS
4,2,4,0,15000,7004,15000,1.0,1.0,1,15000,"(Dres,Aroad,Aelec,C)",terminalLoh_wdro/output/stage89j_topology_h2_dual_channel_w_candidate/run-001/state-004_stage89j_candidate_grouped.mat,14894229,096c1c1b1a811cb5f07da4edb9df89eedf84d73c202fd0305dac709f57ec79de,5043a7c3d08b96084a7e5a426574814178cb10adf78dd20d1a90e03cc3777bf3,ff5fe2e51ce77d0bc2dbb68388e55c947b04411f695ba4bcdecd0a4481386684,336c9aa7fa1cdf1b2a56a583b4820eca8e1b398c86c52d304cbfab313d550421,PASS
5,2,5,0,15000,7176,15000,1.0,1.0,1,15000,"(Dres,Aroad,Aelec,C)",terminalLoh_wdro/output/stage89j_topology_h2_dual_channel_w_candidate/run-001/state-005_stage89j_candidate_grouped.mat,14459672,dd801bcc748690082a5685f97edf73c501bca10ad4b3abbd6dbc62f2682c79ca,f8e09d693d7144a3ae53ee31cb1e7e08c7d16107a856e223e0a32e40706f1e6b,3a53b66f95beaac3369f3bd49b020fe654d30e8d585647703e811a484afc3b9d,91776a2418916b7f63c8ddf25c614c7e4f192db9a0f407a344ad49873fd521eb,PASS
6,2,6,0,15000,7061,15000,1.0,1.0,1,14998,"(Dres,Aroad,Aelec,C)",terminalLoh_wdro/output/stage89j_topology_h2_dual_channel_w_candidate/run-001/state-006_stage89j_candidate_grouped.mat,12873422,cd449170258d165e2c0dd45001b6fc01f0b47ff7fc4c0e436073ce21912dbf77,e0c2ce322895f48e7a359f7ba17ee628c2cab94c363ee013d05dd6d6af115fda,bb4a555f90742734c0a59548e12026ab8cfb13068900dda4c460544f609ab5a0,7bfb4ee0c7c2e866e5edf09d4417002bd2c0df8cd3c2173565e043caa015d747,PASS
7,2,7,0,15000,7130,15000,1.0,1.0,1,15000,"(Dres,Aroad,Aelec,C)",terminalLoh_wdro/output/stage89j_topology_h2_dual_channel_w_candidate/run-001/state-007_stage89j_candidate_grouped.mat,11389436,1d6da54f93b69ffbf53413cd5db13605c07c736e99fcc9b5526383d2bcad98f7,817e97cf001854e6f23439d414abd54de00cdcab61f3183d93ecd842434ddf56,29b9b3b90fe02f99ff1a8e6a7ffe3ed2b8395f2dc910545ac6c7174926cd9ef2,704a92e3f0166b660d6ba1e972da9315d20fe6dffd3dbaf6a00a72878c46f1e4,PASS
8,3,1,0,15000,13262,15000,1.0000000000000002,1.0,1,15000,"(Dres,Aroad,Aelec,C)",terminalLoh_wdro/output/stage89j_topology_h2_dual_channel_w_candidate/run-001/state-008_stage89j_candidate_grouped.mat,30339930,b5cf79aabff710f8b5769d7f6277ce19494be9ac7dcc421472e8317110fc516d,06e90361c6edf93e119d0d694e8628db1e3503e965e8227d4737dc66153bd246,7f973b83518c0461875cf0bbdaf3415f51399ac343aae694ed582d9f550715c6,e778d3e325a9b6200924e9aa389409c9767aa02e4e09e949a02cb22056ea7a51,PASS
9,3,2,0,15000,13262,15000,1.0000000000000002,1.0,1,15000,"(Dres,Aroad,Aelec,C)",terminalLoh_wdro/output/stage89j_topology_h2_dual_channel_w_candidate/run-001/state-009_stage89j_candidate_grouped.mat,31349197,da7f664fc2405b98d2921bfa2f5566e01073ec3f2d0cf61130e5dacf68c5f018,fd34d241b875d753f7d66e805500a88fc36fe84c5915fcc8b4ea897cc30f3ffd,3feb81d5593b2dc715efaa801cd18d1f7e7893d63ffab74bade5f24db11e4c7e,336f6a209644235f3fb1394b33d94eb5f793435c956542fa0957baf9f9841b9c,PASS
10,3,3,0,15000,13263,15000,1.0000000000000002,1.0,1,15000,"(Dres,Aroad,Aelec,C)",terminalLoh_wdro/output/stage89j_topology_h2_dual_channel_w_candidate/run-001/state-010_stage89j_candidate_grouped.mat,31673507,379fa11c69706516a08aaf399f5692bb63a9a6030bf571203c90af9c1fbc3d05,4d208c4cd6465f0122b23bac172ecbbc01bba0721d6b3c463d811b29961ce846,7e63e37804d91829e1b294c70add53b7743b63d0e9501fc7e318761dcfd3bc8d,8bc5c23702a5faecc365f66137b786307b35cde67b70e71fc72f76bf75ffd09b,PASS
