a0,loc0,lfw0,N,stage,stage_index,distribution_type,max_abs_error,total_variation_distance,support_size,empirical_weight,weighting_mode
2,1,0,15000,W1,1,intensity,0.00180000000000002,0.00200000000000001,6,6.66666666666667e-05,uniform_count_not_path_probability
2,1,0,15000,W1,1,loc,0.00473333333333334,0.00753333333333336,13,6.66666666666667e-05,uniform_count_not_path_probability
2,1,0,15000,W1,1,lfw,0.00393333333333332,0.00393333333333331,4,6.66666666666667e-05,uniform_count_not_path_probability
2,1,0,15000,W1,1,joint,0.00493083333333333,0.0158522666666667,312,6.66666666666667e-05,uniform_count_not_path_probability
2,1,0,15000,W2,2,intensity,0.00527133333333335,0.00531299999999996,6,6.66666666666667e-05,uniform_count_not_path_probability
2,1,0,15000,W2,2,loc,0.00360794573643416,0.00666627906976739,13,6.66666666666667e-05,uniform_count_not_path_probability
2,1,0,15000,W2,2,lfw,0.00226666666666665,0.00349999999999997,4,6.66666666666667e-05,uniform_count_not_path_probability
2,1,0,15000,W2,2,joint,0.00299592105522974,0.0246160263665127,312,6.66666666666667e-05,uniform_count_not_path_probability
2,1,0,15000,W3,3,intensity,0.00436565799999999,0.00444518466666661,6,6.66666666666667e-05,uniform_count_not_path_probability
2,1,0,15000,W3,3,loc,0.00590812427325585,0.00767075199995494,13,6.66666666666667e-05,uniform_count_not_path_probability
2,1,0,15000,W3,3,lfw,0.00464833333333334,0.00476466666666668,4,6.66666666666667e-05,uniform_count_not_path_probability
2,1,0,15000,W3,3,joint,0.00313781371706347,0.030436115416027,312,6.66666666666667e-05,uniform_count_not_path_probability
2,2,0,15000,W1,1,intensity,0.00293333333333334,0.00306666666666668,6,6.66666666666667e-05,uniform_count_not_path_probability
2,2,0,15000,W1,1,loc,0.00473333333333334,0.00933333333333335,13,6.66666666666667e-05,uniform_count_not_path_probability
2,2,0,15000,W1,1,lfw,0.00166666666666667,0.00166666666666666,4,6.66666666666667e-05,uniform_count_not_path_probability
2,2,0,15000,W1,1,joint,0.00376833333333335,0.0166609333333334,312,6.66666666666667e-05,uniform_count_not_path_probability
2,2,0,15000,W2,2,intensity,0.00133866666666667,0.00143700000000005,6,6.66666666666667e-05,uniform_count_not_path_probability
2,2,0,15000,W2,2,loc,0.00546724806201554,0.010487015503876,13,6.66666666666667e-05,uniform_count_not_path_probability
2,2,0,15000,W2,2,lfw,0.00463333333333332,0.00590000000000003,4,6.66666666666667e-05,uniform_count_not_path_probability
2,2,0,15000,W2,2,joint,0.00433143124460509,0.0303408120123725,312,6.66666666666667e-05,uniform_count_not_path_probability
2,2,0,15000,W3,3,intensity,0.000888156777777871,0.000888156777777833,6,6.66666666666667e-05,uniform_count_not_path_probability
2,2,0,15000,W3,3,loc,0.00430000193235082,0.0093892224492495,13,6.66666666666667e-05,uniform_count_not_path_probability
2,2,0,15000,W3,3,lfw,0.0064616666666667,0.00646166666666668,4,6.66666666666667e-05,uniform_count_not_path_probability
2,2,0,15000,W3,3,joint,0.00343203799125592,0.0312631714087222,312,6.66666666666667e-05,uniform_count_not_path_probability
2,3,0,15000,W1,1,intensity,0.000666666666666666,0.000666666666666652,6,6.66666666666667e-05,uniform_count_not_path_probability
2,3,0,15000,W1,1,loc,0.00426666666666667,0.00680000000000001,13,6.66666666666667e-05,uniform_count_not_path_probability
2,3,0,15000,W1,1,lfw,0.00833333333333333,0.00833333333333333,4,6.66666666666667e-05,uniform_count_not_path_probability
2,3,0,15000,W1,1,joint,0.00308793333333333,0.0178070666666667,312,6.66666666666667e-05,uniform_count_not_path_probability
2,3,0,15000,W2,2,intensity,0.00180466666666668,0.00180466666666662,6,6.66666666666667e-05,uniform_count_not_path_probability
2,3,0,15000,W2,2,loc,0.00240000000000003,0.00725000000000002,13,6.66666666666667e-05,uniform_count_not_path_probability
2,3,0,15000,W2,2,lfw,0.00523333333333331,0.00683333333333329,4,6.66666666666667e-05,uniform_count_not_path_probability
2,3,0,15000,W2,2,joint,0.00397169100133333,0.0261317996367155,312,6.66666666666667e-05,uniform_count_not_path_probability
2,3,0,15000,W3,3,intensity,0.00369899133333329,0.00371185133333327,6,6.66666666666667e-05,uniform_count_not_path_probability
2,3,0,15000,W3,3,loc,0.00667750000000003,0.0107280274539511,13,6.66666666666667e-05,uniform_count_not_path_probability
2,3,0,15000,W3,3,lfw,0.00327166666666662,0.00327166666666663,4,6.66666666666667e-05,uniform_count_not_path_probability
2,3,0,15000,W3,3,joint,0.00226429414419518,0.0298408594592865,312,6.66666666666667e-05,uniform_count_not_path_probability
2,4,0,15000,W1,1,intensity,0.00213333333333335,0.00333333333333334,6,6.66666666666667e-05,uniform_count_not_path_probability
2,4,0,15000,W1,1,loc,0.00820000000000004,0.0103333333333334,13,6.66666666666667e-05,uniform_count_not_path_probability
2,4,0,15000,W1,1,lfw,0.0053333333333333,0.00533333333333332,4,6.66666666666667e-05,uniform_count_not_path_probability
2,4,0,15000,W1,1,joint,0.00541000000000003,0.0206321,312,6.66666666666667e-05,uniform_count_not_path_probability
2,4,0,15000,W2,2,intensity,0.00444766666666652,0.00495133333333326,6,6.66666666666667e-05,uniform_count_not_path_probability
2,4,0,15000,W2,2,loc,0.00400000000000003,0.0088,13,6.66666666666667e-05,uniform_count_not_path_probability
2,4,0,15000,W2,2,lfw,0.00243333333333329,0.0024333333333333,4,6.66666666666667e-05,uniform_count_not_path_probability
2,4,0,15000,W2,2,joint,0.00210613849944,0.02657997147906,312,6.66666666666667e-05,uniform_count_not_path_probability
2,4,0,15000,W3,3,intensity,0.00291184322222204,0.00295844322222213,6,6.66666666666667e-05,uniform_count_not_path_probability
2,4,0,15000,W3,3,loc,0.00491953786906288,0.0132678216899468,13,6.66666666666667e-05,uniform_count_not_path_probability
2,4,0,15000,W3,3,lfw,0.00123633333333334,0.00158799999999999,4,6.66666666666667e-05,uniform_count_not_path_probability
2,4,0,15000,W3,3,joint,0.00250172207015378,0.0322981470460638,312,6.66666666666667e-05,uniform_count_not_path_probability
2,5,0,15000,W1,1,intensity,0.00806666666666667,0.00846666666666666,6,6.66666666666667e-05,uniform_count_not_path_probability
2,5,0,15000,W1,1,loc,0.00233333333333334,0.00446666666666666,13,6.66666666666667e-05,uniform_count_not_path_probability
2,5,0,15000,W1,1,lfw,0.00413333333333332,0.00413333333333333,4,6.66666666666667e-05,uniform_count_not_path_probability
2,5,0,15000,W1,1,joint,0.004635,0.0176840333333333,312,6.66666666666667e-05,uniform_count_not_path_probability
2,5,0,15000,W2,2,intensity,0.0104856666666667,0.0105273333333334,6,6.66666666666667e-05,uniform_count_not_path_probability
2,5,0,15000,W2,2,loc,0.00639999999999999,0.00924736842105262,13,6.66666666666667e-05,uniform_count_not_path_probability
2,5,0,15000,W2,2,lfw,0.00616666666666665,0.0063666666666666,4,6.66666666666667e-05,uniform_count_not_path_probability
2,5,0,15000,W2,2,joint,0.00401621120007615,0.0264139791248312,312,6.66666666666667e-05,uniform_count_not_path_probability
2,5,0,15000,W3,3,intensity,0.00556767533333336,0.0060937692222223,6,6.66666666666667e-05,uniform_count_not_path_probability
2,5,0,15000,W3,3,loc,0.0037137192982456,0.010484856916051,13,6.66666666666667e-05,uniform_count_not_path_probability
2,5,0,15000,W3,3,lfw,0.00410300000000002,0.00410299999999999,4,6.66666666666667e-05,uniform_count_not_path_probability
2,5,0,15000,W3,3,joint,0.00196023619694323,0.0310684103361011,312,6.66666666666667e-05,uniform_count_not_path_probability
2,6,0,15000,W1,1,intensity,0.00173333333333336,0.00226666666666667,6,6.66666666666667e-05,uniform_count_not_path_probability
2,6,0,15000,W1,1,loc,0.00613333333333335,0.00760000000000003,13,6.66666666666667e-05,uniform_count_not_path_probability
2,6,0,15000,W1,1,lfw,0.00406666666666666,0.00406666666666668,4,6.66666666666667e-05,uniform_count_not_path_probability
2,6,0,15000,W1,1,joint,0.00479833333333334,0.0176390333333333,312,6.66666666666667e-05,uniform_count_not_path_probability
2,6,0,15000,W2,2,intensity,0.00506200000000001,0.00534700000000005,6,6.66666666666667e-05,uniform_count_not_path_probability
2,6,0,15000,W2,2,loc,0.0076100984167736,0.00840308087291395,13,6.66666666666667e-05,uniform_count_not_path_probability
2,6,0,15000,W2,2,lfw,0.00823333333333331,0.00823333333333332,4,6.66666666666667e-05,uniform_count_not_path_probability
2,6,0,15000,W2,2,joint,0.00520399198637954,0.030932265907776,312,6.66666666666667e-05,uniform_count_not_path_probability
2,6,0,15000,W3,3,intensity,0.00455482344444458,0.00455482344444454,6,6.66666666666667e-05,uniform_count_not_path_probability
2,6,0,15000,W3,3,loc,0.00493874626723567,0.00994549206317812,13,6.66666666666667e-05,uniform_count_not_path_probability
2,6,0,15000,W3,3,lfw,0.00727166666666662,0.00727166666666666,4,6.66666666666667e-05,uniform_count_not_path_probability
2,6,0,15000,W3,3,joint,0.00450643711465791,0.0357791500993384,312,6.66666666666667e-05,uniform_count_not_path_probability
2,7,0,15000,W1,1,intensity,0.00306666666666669,0.00306666666666669,6,6.66666666666667e-05,uniform_count_not_path_probability
2,7,0,15000,W1,1,loc,0.00286666666666668,0.00473333333333335,13,6.66666666666667e-05,uniform_count_not_path_probability
2,7,0,15000,W1,1,lfw,0.00486666666666669,0.00486666666666669,4,6.66666666666667e-05,uniform_count_not_path_probability
2,7,0,15000,W1,1,joint,0.00293166666666667,0.0167748666666667,312,6.66666666666667e-05,uniform_count_not_path_probability
2,7,0,15000,W2,2,intensity,0.00607133333333332,0.00663433333333327,6,6.66666666666667e-05,uniform_count_not_path_probability
2,7,0,15000,W2,2,loc,0.00740053249655304,0.00963392763752197,13,6.66666666666667e-05,uniform_count_not_path_probability
2,7,0,15000,W2,2,lfw,0.00663333333333327,0.00906666666666664,4,6.66666666666667e-05,uniform_count_not_path_probability
2,7,0,15000,W2,2,joint,0.00656059539347044,0.0268994423366352,312,6.66666666666667e-05,uniform_count_not_path_probability
2,7,0,15000,W3,3,intensity,0.00436565799999999,0.00471905799999993,6,6.66666666666667e-05,uniform_count_not_path_probability
2,7,0,15000,W3,3,loc,0.0038202320864206,0.00938272477508038,13,6.66666666666667e-05,uniform_count_not_path_probability
2,7,0,15000,W3,3,lfw,0.00389699999999998,0.00389700000000003,4,6.66666666666667e-05,uniform_count_not_path_probability
2,7,0,15000,W3,3,joint,0.00297291168342747,0.0288131367542226,312,6.66666666666667e-05,uniform_count_not_path_probability
3,1,0,15000,W1,1,intensity,0.00246666666666634,0.00286666666666631,6,6.66666666666667e-05,uniform_count_not_path_probability
3,1,0,15000,W1,1,loc,0.00806666666666667,0.0112,13,6.66666666666667e-05,uniform_count_not_path_probability
3,1,0,15000,W1,1,lfw,0.00213333333333332,0.00213333333333332,4,6.66666666666667e-05,uniform_count_not_path_probability
3,1,0,15000,W1,1,joint,0.00560833333333338,0.024215,312,6.66666666666667e-05,uniform_count_not_path_probability
3,1,0,15000,W2,2,intensity,0.00203666666666663,0.00203666666666667,6,6.66666666666667e-05,uniform_count_not_path_probability
3,1,0,15000,W2,2,loc,0.00500562015503883,0.0101003875968993,13,6.66666666666667e-05,uniform_count_not_path_probability
3,1,0,15000,W2,2,lfw,0.00216666666666676,0.00216666666666672,4,6.66666666666667e-05,uniform_count_not_path_probability
3,1,0,15000,W2,2,joint,0.00213560781977778,0.0312064327629974,312,6.66666666666667e-05,uniform_count_not_path_probability
3,1,0,15000,W3,3,intensity,0.00192895981481439,0.00332979092592546,6,6.66666666666667e-05,uniform_count_not_path_probability
3,1,0,15000,W3,3,loc,0.00556253875968989,0.0114377684277538,13,6.66666666666667e-05,uniform_count_not_path_probability
3,1,0,15000,W3,3,lfw,0.00643033333333332,0.00643033333333334,4,6.66666666666667e-05,uniform_count_not_path_probability
3,1,0,15000,W3,3,joint,0.00308992449870804,0.0376504375946541,312,6.66666666666667e-05,uniform_count_not_path_probability
3,2,0,15000,W1,1,intensity,0.00213333333333333,0.00379999999999962,6,6.66666666666667e-05,uniform_count_not_path_probability
3,2,0,15000,W1,1,loc,0.00460000000000005,0.00460000000000003,13,6.66666666666667e-05,uniform_count_not_path_probability
3,2,0,15000,W1,1,lfw,0.000599999999999989,0.000599999999999969,4,6.66666666666667e-05,uniform_count_not_path_probability
3,2,0,15000,W1,1,joint,0.00288333333333343,0.0182521666666667,312,6.66666666666667e-05,uniform_count_not_path_probability
3,2,0,15000,W2,2,intensity,0.00386666666666662,0.00662222222222176,6,6.66666666666667e-05,uniform_count_not_path_probability
3,2,0,15000,W2,2,loc,0.00719941860465112,0.013843992248062,13,6.66666666666667e-05,uniform_count_not_path_probability
3,2,0,15000,W2,2,lfw,0.00323333333333331,0.00329999999999999,4,6.66666666666667e-05,uniform_count_not_path_probability
3,2,0,15000,W2,2,joint,0.0029576355937257,0.0361792253386074,312,6.66666666666667e-05,uniform_count_not_path_probability
3,2,0,15000,W3,3,intensity,0.00448867777777767,0.00502638462962993,6,6.66666666666667e-05,uniform_count_not_path_probability
3,2,0,15000,W3,3,loc,0.00616666859901749,0.0140622878591913,13,6.66666666666667e-05,uniform_count_not_path_probability
3,2,0,15000,W3,3,lfw,0.00360499999999997,0.00360499999999999,4,6.66666666666667e-05,uniform_count_not_path_probability
3,2,0,15000,W3,3,joint,0.00259587503053083,0.0419949932655509,312,6.66666666666667e-05,uniform_count_not_path_probability
