stage,stage_index,matrix,transition_record_count,nonconfigured_transition_count,configured_transition_count
W1,1,intensity,525000,0,525000
W1,1,loc,525000,0,525000
W1,1,lfw,525000,0,525000
W2,2,intensity,525000,0,525000
W2,2,loc,525000,0,525000
W2,2,lfw,525000,0,525000
W3,3,intensity,525000,0,525000
W3,3,loc,525000,0,525000
W3,3,lfw,525000,0,525000
