"process_label","process_type","started_at","ended_at","runtime_sec","exit_code","status","log_path"
"prepare_markov_datasets","MATLAB","2026-08-02T17:36:48.2713461+08:00","2026-08-02T17:46:53.6238625+08:00","605.3525164","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\prepare_process.txt"
"fixed_T_seed001_dist001","MATLAB","2026-08-02T17:46:53.7530691+08:00","2026-08-02T17:47:18.6635613+08:00","24.9104922","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-001_dist-001_process.txt"
"fixed_T_seed001_dist002","MATLAB","2026-08-02T17:47:19.4211715+08:00","2026-08-02T17:47:44.2843852+08:00","24.8632137","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-001_dist-002_process.txt"
"fixed_T_seed001_dist003","MATLAB","2026-08-02T17:47:44.8474771+08:00","2026-08-02T17:48:08.3225016+08:00","23.4750245","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-001_dist-003_process.txt"
"fixed_T_seed001_dist004","MATLAB","2026-08-02T17:48:08.7845759+08:00","2026-08-02T17:48:35.4732815+08:00","26.6887056","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-001_dist-004_process.txt"
"fixed_T_seed001_dist005","MATLAB","2026-08-02T17:48:36.0698191+08:00","2026-08-02T17:49:02.8070837+08:00","26.7372646","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-001_dist-005_process.txt"
"fixed_T_seed001_dist006","MATLAB","2026-08-02T17:49:03.3753478+08:00","2026-08-02T17:49:31.7132513+08:00","28.3379035","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-001_dist-006_process.txt"
"fixed_T_seed001_dist007","MATLAB","2026-08-02T17:49:32.2557125+08:00","2026-08-02T17:50:03.5792293+08:00","31.3235168","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-001_dist-007_process.txt"
"fixed_T_seed002_dist001","MATLAB","2026-08-02T17:50:04.0036539+08:00","2026-08-02T17:50:27.6938783+08:00","23.6902244","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-002_dist-001_process.txt"
"fixed_T_seed002_dist002","MATLAB","2026-08-02T17:50:28.2875696+08:00","2026-08-02T17:50:54.3263595+08:00","26.0387899","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-002_dist-002_process.txt"
"fixed_T_seed002_dist003","MATLAB","2026-08-02T17:50:54.8587581+08:00","2026-08-02T17:51:20.2149572+08:00","25.3561991","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-002_dist-003_process.txt"
"fixed_T_seed002_dist004","MATLAB","2026-08-02T17:51:20.8342534+08:00","2026-08-02T17:51:46.5477984+08:00","25.713545","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-002_dist-004_process.txt"
"fixed_T_seed002_dist005","MATLAB","2026-08-02T17:51:47.1004058+08:00","2026-08-02T17:52:12.2323960+08:00","25.1319902","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-002_dist-005_process.txt"
