seed_id,distribution_id,distribution_label,decision_id,decision_label,eta,T1_kg,T2_kg,T3_kg,T4_kg,TerminalLOH_total_kg,T1_capacity_binding,T2_capacity_binding,T3_capacity_binding,T4_capacity_binding,capacity_binding_count,sample_count,sample_weight,weight_sum,mean_total_cost,mean_operating_loss,mean_service_cost,mean_shortage_kg,mean_service_rate,zero_shortage_service_share,operating_loss_q95,operating_loss_q99,operating_loss_q995,operating_loss_CVaR95,operating_loss_CVaR99,operating_loss_CVaR995,maximum_operating_loss,shortage_q95_kg,shortage_q99_kg,shortage_q995_kg,maximum_shortage_kg,fixed_T_solve_runtime_sec,maximum_mechanical_residual,solver_status,mean_total_cost_absolute_change_vs_SAA,mean_total_cost_percent_change_vs_SAA,mean_operating_loss_absolute_change_vs_SAA,mean_operating_loss_percent_change_vs_SAA,mean_service_cost_absolute_change_vs_SAA,mean_service_cost_percent_change_vs_SAA,mean_shortage_kg_absolute_change_vs_SAA,mean_shortage_kg_percent_change_vs_SAA,mean_service_rate_absolute_change_vs_SAA,mean_service_rate_percent_change_vs_SAA,zero_shortage_service_share_absolute_change_vs_SAA,zero_shortage_service_share_percent_change_vs_SAA,operating_loss_q95_absolute_change_vs_SAA,operating_loss_q95_percent_change_vs_SAA,operating_loss_q99_absolute_change_vs_SAA,operating_loss_q99_percent_change_vs_SAA,operating_loss_q995_absolute_change_vs_SAA,operating_loss_q995_percent_change_vs_SAA,operating_loss_CVaR95_absolute_change_vs_SAA,operating_loss_CVaR95_percent_change_vs_SAA,operating_loss_CVaR99_absolute_change_vs_SAA,operating_loss_CVaR99_percent_change_vs_SAA,operating_loss_CVaR995_absolute_change_vs_SAA,operating_loss_CVaR995_percent_change_vs_SAA,maximum_operating_loss_absolute_change_vs_SAA,maximum_operating_loss_percent_change_vs_SAA,shortage_q95_kg_absolute_change_vs_SAA,shortage_q95_kg_percent_change_vs_SAA,shortage_q99_kg_absolute_change_vs_SAA,shortage_q99_kg_percent_change_vs_SAA,shortage_q995_kg_absolute_change_vs_SAA,shortage_q995_kg_percent_change_vs_SAA,maximum_shortage_kg_absolute_change_vs_SAA,maximum_shortage_kg_percent_change_vs_SAA
1,1,nominal,1,SAA,0.0,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,0,0,0,1,1,15000,6.66666666666667e-05,1,11499.3690817727,10146.5065227894,886.190673022645,4.63015792488341,0.986988748627125,0.863866666666667,64191.2687385832,181689.52725427,254764.162164837,141142.01915002,289635.743823984,365585.559716245,803815.490582051,30.5485093963942,89.4784933038758,126.55811035649,401.76744947222,4.410862,3.97903932025656e-13,OPTIMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,nominal,2,ETA_0.003,0.003,299.211738691929,137.483280118695,94.3580963878466,150,681.053115198471,0,0,0,1,1,15000,6.66666666666667e-05,1,11496.5330522583,10134.4268218611,886.286387660828,4.62407021710014,0.986999498015152,0.863933333333333,64191.2687385832,181689.52725427,254764.162164837,140986.181323662,289441.217173602,365473.42073729,803815.490582051,30.5485093963942,89.4784933038758,126.55811035649,401.76744947222,3.9978659,5.6843418860808e-14,OPTIMAL,-2.8360295143993426,-0.024662479256315435,-12.079700928299644,-0.11905280799029917,0.09571463818303982,0.010800682189147122,-0.006087707783270169,-0.13147948476127755,1.0749388026920492e-05,0.0010891094799077097,6.666666666599319e-05,0.007717240314785441,0.0,0.0,0.0,0.0,0.0,0.0,-155.8378263580089,-0.1104120709739661,-194.526650381973,-0.06716251516946395,-112.13897895498667,-0.030673798779696088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,nominal,3,ETA_0.01,0.01,300.0,143.468150246686,100.0,150,693.468150246686,1,0,1,1,3,15000,6.66666666666667e-05,1,11506.3265400614,10119.3902395679,886.09115830514,4.61664954063138,0.987013227502764,0.864266666666667,64191.2687385832,181689.52725427,254764.162164837,140825.41288105,289196.976290265,365178.863185945,803815.490582051,30.5485093963942,89.4784933038758,126.55811035649,401.76744947222,4.1237767,5.6843418860808e-14,OPTIMAL,6.957458288699854,0.06050295663375054,-27.116283221499543,-0.26724748227969347,-0.0995147175050306,-0.011229492764305779,-0.013508384252030048,-0.29174780798368116,2.4478875638944686e-05,0.0024801575167897453,0.00039999999999995595,0.04630344188917531,0.0,0.0,0.0,0.0,0.0,0.0,-316.60626897000475,-0.22431751428572352,-438.7675337190158,-0.15148942873075133,-406.6965302999597,-0.11124523917619275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,nominal,1,SAA,0.0,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,0,0,0,1,1,15000,6.66666666666667e-05,1,11157.6694561434,9804.8068971602,885.584065786152,4.45961141568703,0.987369890631121,0.869133333333333,59569.2284605393,185959.515688577,265820.841091781,139724.578479901,289989.052044766,359457.062470765,637755.631112218,28.3664730109375,90.5545099964542,130.922183127404,317.486294083954,4.2887239,4.54747350886464e-13,OPTIMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,nominal,2,ETA_0.003,0.003,299.211738691929,137.483280118695,94.3580963878466,150,681.053115198471,0,0,0,1,1,15000,6.66666666666667e-05,1,11158.7722633976,9796.6660330004,885.607838080826,4.4555290974598,0.987376590955512,0.869133333333333,59569.2284605393,185959.247643546,265820.622909073,139626.868387924,289903.297585818,359456.719451171,637755.631112218,28.3664730109375,90.5545099964542,130.922183127404,317.486294083954,4.1583739,2.8421709430404e-14,OPTIMAL,1.1028072542012524,0.00988384947713295,-8.140864159800913,-0.08302931659121995,0.023772294674017758,0.0026843634153370386,-0.004082318227230708,-0.09153977435950665,6.700324390984669e-06,0.0006786032726501171,0.0,0.0,0.0,0.0,-0.2680450309999287,-0.0001441416052345602,-0.21818270796211436,-8.207885697223476e-05,-97.71009197700187,-0.06993049686749077,-85.75445894803852,-0.029571619460585872,-0.3430195940309204,-9.542713994075955e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,nominal,3,ETA_0.01,0.01,300.0,143.468150246686,100.0,150,693.468150246686,1,0,1,1,3,15000,6.66666666666667e-05,1,11163.7822962007,9776.84599570718,885.318051421675,4.44576397214276,0.987395089104115,0.869466666666667,59212.5851862622,185958.126432599,265819.71026824,139367.869807446,289682.598191041,359375.015439741,637755.631112218,28.3664730109375,90.5545099964542,130.922183127404,317.486294083954,3.9577436,2.8421709430404e-14,OPTIMAL,6.112840057299763,0.05478599344896385,-27.960901453021506,-0.28517544247730076,-0.26601436447697324,-0.030038296165686602,-0.013847443544269922,-0.31050785042751616,2.519847299398137e-05,0.002552080353379487,0.0003333333333340738,0.03835238168298771,-356.6432742770994,-0.5987038669022752,-1.389255977992434,-0.0007470744225420525,-1.1308235409669578,-0.0004254081569836407,-356.7086724550172,-0.2552941481990792,-306.45385372504825,-0.1056777321640889,-82.04703102400526,-0.02282526609994712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,nominal,1,SAA,0.0,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,0,0,0,1,1,15000,6.66666666666667e-05,1,11119.0253145474,9766.16275556414,898.358884267936,4.43390193564812,0.987885422634629,0.868466666666667,57189.8900844614,178477.264169171,254934.396569107,138974.535565405,290955.359361862,370298.163114822,659242.870666993,27.2754548182091,86.7359463219049,125.452090663612,328.941985107602,4.236931,5.11590769747272e-13,OPTIMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,nominal,2,ETA_0.003,0.003,299.211738691929,137.483280118695,94.3580963878466,150,681.053115198471,0,0,0,1,1,15000,6.66666666666667e-05,1,11120.6708311355,9758.56460073829,898.379854163411,4.43009237328746,0.987892179570497,0.868466666666667,57189.8900844614,178477.048760362,250539.730071432,138853.576004645,290675.475621377,370120.668005427,659242.870666993,27.2754548182091,86.7359463219049,123.285055778305,328.941985107602,4.2015234,5.6843418860808e-14,OPTIMAL,1.645516588099781,0.014799108209124192,-7.598154825851452,-0.07780082122348929,0.020969895474991063,0.002334244792611945,-0.0038095623606606566,-0.08591895842423043,6.7569358680463765e-06,0.0006839797119412947,0.0,0.0,0.0,0.0,-0.21540880898828618,-0.00012069257672176629,-4394.6664976750035,-1.723842116567314,-120.95956076000584,-0.08703721172220011,-279.88374048500555,-0.096194736229936,-177.4951093950076,-0.04793302453946279,0.0,0.0,0.0,0.0,0.0,0.0,-2.167034885307004,-1.7273804476624501,0.0,0.0
3,1,nominal,3,ETA_0.01,0.01,300.0,143.468150246686,100.0,150,693.468150246686,1,0,1,1,3,15000,6.66666666666667e-05,1,11129.1878242067,9742.25152371319,898.082315301291,4.42208460420597,0.987908538168659,0.8686,57189.8900844614,178458.19584968,250349.11998807,138605.759559398,289855.294254344,369767.274115769,659242.870666993,27.2754548182091,86.7359463219049,123.285055778305,328.941985107602,4.1222413,2.8421709430404e-14,OPTIMAL,10.162509659299758,0.09139748648655202,-23.91123185095057,-0.2448375318886373,-0.2765689666449589,-0.030786022322285184,-0.011817331442150802,-0.26652216520939853,2.311553403000488e-05,0.0023399003062882727,0.00013333333333298558,0.015352728947530382,0.0,0.0,-19.068319490994327,-0.010683892752255704,-4585.276581037004,-1.7986104043806572,-368.7760060070141,-0.26535509149693004,-1100.0651075179921,-0.3780872467620843,-530.888999052986,-0.1433679807070412,0.0,0.0,0.0,0.0,0.0,0.0,-2.167034885307004,-1.7273804476624501,0.0,0.0
1,2,intensity-only,1,SAA,0.0,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,0,0,0,1,1,15000,6.66666666666667e-05,1,27117.6055043047,25764.7429453225,1117.07254191845,12.3238352017019,0.969137030980048,0.791,171628.013412965,435395.629330873,492835.383571076,320935.448234759,511594.312955012,559252.034162699,803815.490582051,83.7356462919019,216.56711125658,244.933584267518,401.76744947222,4.8029518,5.11590769747272e-13,OPTIMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
