seed_id,distribution_id,distribution_label,path_uniform_A_sha256,path_uniform_location_sha256,path_uniform_lfw_sha256,wind_uniform_sha256,line_resistance_uniform_sha256,road_resistance_uniform_sha256,wind_CRN_matches_nominal,line_resistance_CRN_matches_nominal,road_resistance_CRN_matches_nominal
2,4,lfw-only,06b574bd11d856f7af4f04509e4ac9c0b323c63aa22315f078548d63bdba6894,5dd2e32e4adee93448ea78fb2bf4129df8d27c2ac33cf03d193922e3e5d60dcb,93977f17d091cef58f1bf3d135d03171cfd603ac4d8988caf453e102c071bceb,7db587ff86aa999f8fff604f246562cc0cf0da013e1cb5290c87a4741d38d2f3,e7f4b9a70a19e2834fa5ae26d26bad5087268793481d086c5186a77d5de73b40,b4f33ee99d72eef501b40aff38b14eade92ce839ad49290dd1287cb3114e9e1e,1,1,1
2,5,combined-mild,06b574bd11d856f7af4f04509e4ac9c0b323c63aa22315f078548d63bdba6894,5dd2e32e4adee93448ea78fb2bf4129df8d27c2ac33cf03d193922e3e5d60dcb,93977f17d091cef58f1bf3d135d03171cfd603ac4d8988caf453e102c071bceb,7db587ff86aa999f8fff604f246562cc0cf0da013e1cb5290c87a4741d38d2f3,e7f4b9a70a19e2834fa5ae26d26bad5087268793481d086c5186a77d5de73b40,b4f33ee99d72eef501b40aff38b14eade92ce839ad49290dd1287cb3114e9e1e,1,1,1
2,6,combined-medium,06b574bd11d856f7af4f04509e4ac9c0b323c63aa22315f078548d63bdba6894,5dd2e32e4adee93448ea78fb2bf4129df8d27c2ac33cf03d193922e3e5d60dcb,93977f17d091cef58f1bf3d135d03171cfd603ac4d8988caf453e102c071bceb,7db587ff86aa999f8fff604f246562cc0cf0da013e1cb5290c87a4741d38d2f3,e7f4b9a70a19e2834fa5ae26d26bad5087268793481d086c5186a77d5de73b40,b4f33ee99d72eef501b40aff38b14eade92ce839ad49290dd1287cb3114e9e1e,1,1,1
2,7,combined-strong,06b574bd11d856f7af4f04509e4ac9c0b323c63aa22315f078548d63bdba6894,5dd2e32e4adee93448ea78fb2bf4129df8d27c2ac33cf03d193922e3e5d60dcb,93977f17d091cef58f1bf3d135d03171cfd603ac4d8988caf453e102c071bceb,7db587ff86aa999f8fff604f246562cc0cf0da013e1cb5290c87a4741d38d2f3,e7f4b9a70a19e2834fa5ae26d26bad5087268793481d086c5186a77d5de73b40,b4f33ee99d72eef501b40aff38b14eade92ce839ad49290dd1287cb3114e9e1e,1,1,1
3,1,nominal,2c10aa9638541faa3866fd41b8d747832f2e71c7b0762b6251a6dc62d0ff9b7a,3ab528ad916ecd2da6e00a172d2c6fd4904f46507ea0d81a5c39518c02b676d9,69cffe1576e789513989e36f7840cbd84ddfe2a0b8f42584ce0cd35e5e247db7,933c4d23511aa99ecae0eb5a4e5536c9446c5f4e8fc5eda80144e9e98547d500,cd54aa0cc6dd798c933b1068ef5e37853ecef54baa20dcd316fdb93f1690910f,fe392349355d64310e9483cde1b54496f98ec4a276cf75cb11bc61d2e272adb0,1,1,1
3,2,intensity-only,2c10aa9638541faa3866fd41b8d747832f2e71c7b0762b6251a6dc62d0ff9b7a,3ab528ad916ecd2da6e00a172d2c6fd4904f46507ea0d81a5c39518c02b676d9,69cffe1576e789513989e36f7840cbd84ddfe2a0b8f42584ce0cd35e5e247db7,933c4d23511aa99ecae0eb5a4e5536c9446c5f4e8fc5eda80144e9e98547d500,cd54aa0cc6dd798c933b1068ef5e37853ecef54baa20dcd316fdb93f1690910f,fe392349355d64310e9483cde1b54496f98ec4a276cf75cb11bc61d2e272adb0,1,1,1
3,3,location-only,2c10aa9638541faa3866fd41b8d747832f2e71c7b0762b6251a6dc62d0ff9b7a,3ab528ad916ecd2da6e00a172d2c6fd4904f46507ea0d81a5c39518c02b676d9,69cffe1576e789513989e36f7840cbd84ddfe2a0b8f42584ce0cd35e5e247db7,933c4d23511aa99ecae0eb5a4e5536c9446c5f4e8fc5eda80144e9e98547d500,cd54aa0cc6dd798c933b1068ef5e37853ecef54baa20dcd316fdb93f1690910f,fe392349355d64310e9483cde1b54496f98ec4a276cf75cb11bc61d2e272adb0,1,1,1
3,4,lfw-only,2c10aa9638541faa3866fd41b8d747832f2e71c7b0762b6251a6dc62d0ff9b7a,3ab528ad916ecd2da6e00a172d2c6fd4904f46507ea0d81a5c39518c02b676d9,69cffe1576e789513989e36f7840cbd84ddfe2a0b8f42584ce0cd35e5e247db7,933c4d23511aa99ecae0eb5a4e5536c9446c5f4e8fc5eda80144e9e98547d500,cd54aa0cc6dd798c933b1068ef5e37853ecef54baa20dcd316fdb93f1690910f,fe392349355d64310e9483cde1b54496f98ec4a276cf75cb11bc61d2e272adb0,1,1,1
3,5,combined-mild,2c10aa9638541faa3866fd41b8d747832f2e71c7b0762b6251a6dc62d0ff9b7a,3ab528ad916ecd2da6e00a172d2c6fd4904f46507ea0d81a5c39518c02b676d9,69cffe1576e789513989e36f7840cbd84ddfe2a0b8f42584ce0cd35e5e247db7,933c4d23511aa99ecae0eb5a4e5536c9446c5f4e8fc5eda80144e9e98547d500,cd54aa0cc6dd798c933b1068ef5e37853ecef54baa20dcd316fdb93f1690910f,fe392349355d64310e9483cde1b54496f98ec4a276cf75cb11bc61d2e272adb0,1,1,1
3,6,combined-medium,2c10aa9638541faa3866fd41b8d747832f2e71c7b0762b6251a6dc62d0ff9b7a,3ab528ad916ecd2da6e00a172d2c6fd4904f46507ea0d81a5c39518c02b676d9,69cffe1576e789513989e36f7840cbd84ddfe2a0b8f42584ce0cd35e5e247db7,933c4d23511aa99ecae0eb5a4e5536c9446c5f4e8fc5eda80144e9e98547d500,cd54aa0cc6dd798c933b1068ef5e37853ecef54baa20dcd316fdb93f1690910f,fe392349355d64310e9483cde1b54496f98ec4a276cf75cb11bc61d2e272adb0,1,1,1
3,7,combined-strong,2c10aa9638541faa3866fd41b8d747832f2e71c7b0762b6251a6dc62d0ff9b7a,3ab528ad916ecd2da6e00a172d2c6fd4904f46507ea0d81a5c39518c02b676d9,69cffe1576e789513989e36f7840cbd84ddfe2a0b8f42584ce0cd35e5e247db7,933c4d23511aa99ecae0eb5a4e5536c9446c5f4e8fc5eda80144e9e98547d500,cd54aa0cc6dd798c933b1068ef5e37853ecef54baa20dcd316fdb93f1690910f,fe392349355d64310e9483cde1b54496f98ec4a276cf75cb11bc61d2e272adb0,1,1,1
