location_state,mean_d_system_min,minimum_d_system_min,maximum_d_system_min,risk_score_negative_mean_distance,exposure_rank,ranking_rule,source_file
-2,84.3243399866044,61.4593397635543,120.120209807127,-84.3243399866044,9,Wstep40 d_system_min equal-weight mean over lfw 0:3; lower distance is higher exposure,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage2_foundation_fix_Hres3h_Wstep40_reaudit\foundation_fix_geometry_by_loc.csv
-1,71.3713545029689,44.6346327885871,112.095509569503,-71.3713545029689,8,Wstep40 d_system_min equal-weight mean over lfw 0:3; lower distance is higher exposure,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage2_foundation_fix_Hres3h_Wstep40_reaudit\foundation_fix_geometry_by_loc.csv
0,59.8947328955977,28.0223204637305,106.207070043312,-59.8947328955977,5,Wstep40 d_system_min equal-weight mean over lfw 0:3; lower distance is higher exposure,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage2_foundation_fix_Hres3h_Wstep40_reaudit\foundation_fix_geometry_by_loc.csv
1,50.9328497886334,12.3358698531478,102.822566534412,-50.9328497886334,4,Wstep40 d_system_min equal-weight mean over lfw 0:3; lower distance is higher exposure,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage2_foundation_fix_Hres3h_Wstep40_reaudit\foundation_fix_geometry_by_loc.csv
2,47.1256774587613,2.52579517547878,101.284063570437,-47.1256774587613,2,Wstep40 d_system_min equal-weight mean over lfw 0:3; lower distance is higher exposure,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage2_foundation_fix_Hres3h_Wstep40_reaudit\foundation_fix_geometry_by_loc.csv
3,45.1417815798968,0.566988329675864,99.9999999743943,-45.1417815798968,1,Wstep40 d_system_min equal-weight mean over lfw 0:3; lower distance is higher exposure,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage2_foundation_fix_Hres3h_Wstep40_reaudit\foundation_fix_geometry_by_loc.csv
4,49.9991004011675,10.0346596899433,101.421815258175,-49.9991004011675,3,Wstep40 d_system_min equal-weight mean over lfw 0:3; lower distance is higher exposure,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage2_foundation_fix_Hres3h_Wstep40_reaudit\foundation_fix_geometry_by_loc.csv
5,60.2201384499207,27.0128561076568,105.597202735906,-60.2201384499207,6,Wstep40 d_system_min equal-weight mean over lfw 0:3; lower distance is higher exposure,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage2_foundation_fix_Hres3h_Wstep40_reaudit\foundation_fix_geometry_by_loc.csv
6,71.2982438220312,43.0080736036035,111.768992512175,-71.2982438220312,7,Wstep40 d_system_min equal-weight mean over lfw 0:3; lower distance is higher exposure,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage2_foundation_fix_Hres3h_Wstep40_reaudit\foundation_fix_geometry_by_loc.csv
7,84.4565607288286,60.0057863467597,120.327437862572,-84.4565607288286,10,Wstep40 d_system_min equal-weight mean over lfw 0:3; lower distance is higher exposure,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage2_foundation_fix_Hres3h_Wstep40_reaudit\foundation_fix_geometry_by_loc.csv
8,98.5644961376883,77.0045089270295,130.549136029143,-98.5644961376883,11,Wstep40 d_system_min equal-weight mean over lfw 0:3; lower distance is higher exposure,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage2_foundation_fix_Hres3h_Wstep40_reaudit\foundation_fix_geometry_by_loc.csv
9,113.198585707555,94.0036935183558,142.075548682173,-113.198585707555,12,Wstep40 d_system_min equal-weight mean over lfw 0:3; lower distance is higher exposure,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage2_foundation_fix_Hres3h_Wstep40_reaudit\foundation_fix_geometry_by_loc.csv
10,128.295300052859,111.003127861754,154.615154977528,-128.295300052859,13,Wstep40 d_system_min equal-weight mean over lfw 0:3; lower distance is higher exposure,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage2_foundation_fix_Hres3h_Wstep40_reaudit\foundation_fix_geometry_by_loc.csv
