seed_id,distribution_id,distribution_label,candidate_label,eta,metric,difference_direction,paired_sample_count,paired_mean_difference,paired_sd,paired_standard_error,student_t_critical_975,paired_mean_difference_CI95_lower,paired_mean_difference_CI95_upper,improved_share,worsened_share,equal_share
1,1,nominal,ETA_0.003,0.003,operating_loss,candidate_minus_SAA_negative_is_improvement,15000,-12.079700928344826,318.58041168747934,2.6011981689337422,1.9601221590464062,-17.17836709934279,-6.981034757346861,0.0496,0.004733333333333333,0.9456666666666667
1,1,nominal,ETA_0.003,0.003,shortage_kg,candidate_minus_SAA_negative_is_improvement,15000,-0.006087707783264518,0.16213716852505128,0.0013238444374200687,1.9601221590464062,-0.008682604600181918,-0.0034928109663471176,0.0018,0.0,0.9982
1,1,nominal,ETA_0.003,0.003,total_cost,candidate_minus_SAA_negative_is_improvement,15000,-2.8360295145749097,318.5804116874744,2.601198168933702,1.9601221590464062,-7.9346956855727955,2.262636656422976,0.004,0.996,0.0
1,1,nominal,ETA_0.01,0.01,operating_loss,candidate_minus_SAA_negative_is_improvement,15000,-27.11628322156613,681.5128711451538,5.564529291482559,1.9601221590464062,-38.02344039046389,-16.209126052668367,0.054266666666666664,0.0,0.9457333333333333
1,1,nominal,ETA_0.01,0.01,shortage_kg,candidate_minus_SAA_negative_is_improvement,15000,-0.013508384252030579,0.34608951302079033,0.00282580904076417,1.9601221590464062,-0.0190473151700661,-0.007969453333995059,0.0018,0.0,0.9982
1,1,nominal,ETA_0.01,0.01,total_cost,candidate_minus_SAA_negative_is_improvement,15000,6.957458288634359,681.512871145148,5.564529291482512,1.9601221590464062,-3.9496988802633117,17.86461545753203,0.005666666666666667,0.9943333333333333,0.0
2,1,nominal,ETA_0.003,0.003,operating_loss,candidate_minus_SAA_negative_is_improvement,15000,-8.140864159795768,282.5829052781952,2.3072797598826984,1.9601221590464062,-12.663414344261117,-3.6183139753304197,0.053733333333333334,0.0056,0.9406666666666667
2,1,nominal,ETA_0.003,0.003,shortage_kg,candidate_minus_SAA_negative_is_improvement,15000,-0.00408231822723507,0.14335412867435432,0.001170481559244836,1.9601221590464062,-0.006376605068266062,-0.001788031386204078,0.0014,0.0002666666666666667,0.9983333333333333
2,1,nominal,ETA_0.003,0.003,total_cost,candidate_minus_SAA_negative_is_improvement,15000,1.102807253974789,282.58290527819423,2.3072797598826904,1.9601221590464062,-3.4197429304905436,5.625357438440122,0.0041333333333333335,0.9958666666666667,0.0
2,1,nominal,ETA_0.01,0.01,operating_loss,candidate_minus_SAA_negative_is_improvement,15000,-27.960901453018842,740.2901245455943,6.044443555860382,1.9601221590464062,-39.80874920596603,-16.113053700071653,0.059333333333333335,0.0,0.9406666666666667
2,1,nominal,ETA_0.01,0.01,shortage_kg,candidate_minus_SAA_negative_is_improvement,15000,-0.013847443544271296,0.3755845468512857,0.003066634983533641,1.9601221590464062,-0.019858422729202498,-0.007836464359340094,0.0016666666666666668,0.0,0.9983333333333333
2,1,nominal,ETA_0.01,0.01,total_cost,candidate_minus_SAA_negative_is_improvement,15000,6.112840057181371,740.2901245455945,6.044443555860384,1.9601221590464062,-5.735007695765821,17.96068781012856,0.006466666666666667,0.9935333333333334,0.0
3,1,nominal,ETA_0.003,0.003,operating_loss,candidate_minus_SAA_negative_is_improvement,15000,-7.598154825847155,265.14113920397597,2.1648683362332863,1.9601221590464062,-11.841561223115946,-3.3547484285783646,0.054066666666666666,0.0062,0.9397333333333333
3,1,nominal,ETA_0.003,0.003,shortage_kg,candidate_minus_SAA_negative_is_improvement,15000,-0.003809562360660896,0.13495240770610611,0.0011018817948000015,1.9601221590464062,-0.005969385283298204,-0.0016497394380235878,0.0014666666666666667,0.0002666666666666667,0.9982666666666666
3,1,nominal,ETA_0.003,0.003,total_cost,candidate_minus_SAA_negative_is_improvement,15000,1.6455165879240885,265.1411392039821,2.1648683362333365,1.9601221590464062,-2.5978898093448004,5.888922985192978,0.004,0.996,0.0
3,1,nominal,ETA_0.01,0.01,operating_loss,candidate_minus_SAA_negative_is_improvement,15000,-23.911231850948905,639.731440022389,5.223385334902512,1.9601221590464062,-34.14970519112936,-13.672758510768457,0.06013333333333333,0.0,0.9398666666666666
3,1,nominal,ETA_0.01,0.01,shortage_kg,candidate_minus_SAA_negative_is_improvement,15000,-0.011817331442151852,0.3251370960544106,0.002654733272611959,1.9601221590464062,-0.017020932956156337,-0.006613729928147368,0.0016666666666666668,0.0,0.9983333333333333
