seed_id,distribution_id,distribution_label,decision_id,decision_label,eta,solver_status,exitflag,sample_count,sample_weight,weight_sum,max_demand_balance_error,max_site_capacity_violation,objective_reconstruction_abs_error,maximum_mechanical_residual,solve_runtime_sec,certificate_pass
1,4,lfw-only,1,SAA,0.0,OPTIMAL,1,15000,6.66666666666667e-05,1,9.05941988094128e-14,3.97903932025656e-13,9.00030136108398e-06,3.97903932025656e-13,5.1736155,1
1,4,lfw-only,2,ETA_0.003,0.003,OPTIMAL,1,15000,6.66666666666667e-05,1,3.5527136788005e-15,5.6843418860808e-14,8.76188278198242e-06,5.6843418860808e-14,4.9470323,1
1,4,lfw-only,3,ETA_0.01,0.01,OPTIMAL,1,15000,6.66666666666667e-05,1,3.5527136788005e-15,5.6843418860808e-14,8.52346420288086e-06,5.6843418860808e-14,4.6757147,1
2,4,lfw-only,1,SAA,0.0,OPTIMAL,1,15000,6.66666666666667e-05,1,9.05941988094128e-14,5.11590769747272e-13,8.04662704467773e-06,5.11590769747272e-13,4.6168471,1
2,4,lfw-only,2,ETA_0.003,0.003,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,5.6843418860808e-14,7.98702239990234e-06,5.6843418860808e-14,4.5499603,1
2,4,lfw-only,3,ETA_0.01,0.01,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,5.6843418860808e-14,7.53998756408691e-06,5.6843418860808e-14,4.5465443,1
3,4,lfw-only,1,SAA,0.0,OPTIMAL,1,15000,6.66666666666667e-05,1,3.5527136788005e-15,5.11590769747272e-13,6.61611557006836e-06,5.11590769747272e-13,4.8236266,1
3,4,lfw-only,2,ETA_0.003,0.003,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,5.6843418860808e-14,6.40749931335449e-06,5.6843418860808e-14,4.7114868,1
3,4,lfw-only,3,ETA_0.01,0.01,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,2.8421709430404e-14,6.22868537902832e-06,3.91920120794228e-14,4.628554,1
1,5,combined-mild,1,SAA,0.0,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,5.11590769747272e-13,4.39584255218506e-05,5.11590769747272e-13,4.8426371,1
1,5,combined-mild,2,ETA_0.003,0.003,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,5.6843418860808e-14,4.40478324890137e-05,1.65665675826228e-13,4.7760881,1
1,5,combined-mild,3,ETA_0.01,0.01,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,2.8421709430404e-14,4.39584255218506e-05,1.65715826659692e-13,4.753157,1
2,5,combined-mild,1,SAA,0.0,OPTIMAL,1,15000,6.66666666666667e-05,1,9.05941988094128e-14,5.11590769747272e-13,5.96046447753906e-07,5.11590769747272e-13,4.7124452,1
2,5,combined-mild,2,ETA_0.003,0.003,OPTIMAL,1,15000,6.66666666666667e-05,1,3.5527136788005e-15,1.13686837721616e-13,5.0663948059082e-07,1.13686837721616e-13,4.657676,1
2,5,combined-mild,3,ETA_0.01,0.01,OPTIMAL,1,15000,6.66666666666667e-05,1,3.5527136788005e-15,1.13686837721616e-13,3.87430191040039e-07,1.13686837721616e-13,4.6547297,1
3,5,combined-mild,1,SAA,0.0,OPTIMAL,1,15000,6.66666666666667e-05,1,9.63673585374636e-14,5.684341886080799e-13,2.65240669250488e-06,5.684341886080799e-13,4.9526776,1
