distribution_id,distribution_label,matrix_name,from_state,delta,nominal_support_size,deterministic_row,row_sum_error,minimum_probability,support_violation,contamination_formula_error,deterministic_unchanged_error,row_L1_change,audit_pass
1,nominal,intensity,1,0,1,1,0,0,0,0,0,0,1
1,nominal,intensity,2,0,4,0,0,0,0,0,0,0,1
1,nominal,intensity,3,0,5,0,0,0,0,0,0,0,1
1,nominal,intensity,4,0,5,0,0,0,0,0,0,0,1
1,nominal,intensity,5,0,4,0,0,0,0,0,0,0,1
1,nominal,intensity,6,0,3,0,0,0,0,0,0,0,1
1,nominal,location,-2,0,4,0,0,0,0,0,0,0,1
1,nominal,location,-1,0,5,0,9.99200722162641e-16,0,0,0,0,0,1
1,nominal,location,0,0,6,0,1.11022302462516e-15,0,0,0,0,0,1
1,nominal,location,1,0,7,0,0,0,0,0,0,0,1
1,nominal,location,2,0,7,0,0,0,0,0,0,0,1
1,nominal,location,3,0,7,0,0,0,0,0,0,0,1
1,nominal,location,4,0,7,0,0,0,0,0,0,0,1
1,nominal,location,5,0,7,0,0,0,0,0,0,0,1
1,nominal,location,6,0,7,0,0,0,0,0,0,0,1
1,nominal,location,7,0,7,0,0,0,0,0,0,0,1
1,nominal,location,8,0,6,0,3.33066907387547e-16,0,0,0,0,0,1
1,nominal,location,9,0,5,0,9.99200722162641e-16,0,0,0,0,0,1
1,nominal,location,10,0,4,0,8.88178419700125e-16,0,0,0,0,0,1
1,nominal,lfw,0,0,3,0,0,0,0,0,0,0,1
1,nominal,lfw,1,0,4,0,0,0.02,0,0,0,0,1
1,nominal,lfw,2,0,3,0,0,0,0,0,0,0,1
1,nominal,lfw,3,0,2,0,0,0,0,0,0,0,1
2,intensity-only,intensity,1,0.05,1,1,0,0,0,0,0,0,1
2,intensity-only,intensity,2,0.05,4,0,1.11022302462516e-16,0,0,0,0,0.0995,1
2,intensity-only,intensity,3,0.05,5,0,0,0,0,0,0,0.0995,1
2,intensity-only,intensity,4,0.05,5,0,1.11022302462516e-16,0,0,0,0,0.0995000000000001,1
2,intensity-only,intensity,5,0.05,4,0,1.11022302462516e-16,0,0,0,0,0.0994,1
2,intensity-only,intensity,6,0.05,3,0,0,0,0,0,0,0.062,1
2,intensity-only,location,-2,0,4,0,0,0,0,0,0,0,1
2,intensity-only,location,-1,0,5,0,9.99200722162641e-16,0,0,0,0,0,1
2,intensity-only,location,0,0,6,0,1.11022302462516e-15,0,0,0,0,0,1
2,intensity-only,location,1,0,7,0,0,0,0,0,0,0,1
2,intensity-only,location,2,0,7,0,0,0,0,0,0,0,1
2,intensity-only,location,3,0,7,0,0,0,0,0,0,0,1
2,intensity-only,location,4,0,7,0,0,0,0,0,0,0,1
2,intensity-only,location,5,0,7,0,0,0,0,0,0,0,1
2,intensity-only,location,6,0,7,0,0,0,0,0,0,0,1
2,intensity-only,location,7,0,7,0,0,0,0,0,0,0,1
2,intensity-only,location,8,0,6,0,3.33066907387547e-16,0,0,0,0,0,1
2,intensity-only,location,9,0,5,0,9.99200722162641e-16,0,0,0,0,0,1
2,intensity-only,location,10,0,4,0,8.88178419700125e-16,0,0,0,0,0,1
2,intensity-only,lfw,0,0,3,0,0,0,0,0,0,0,1
2,intensity-only,lfw,1,0,4,0,0,0.02,0,0,0,0,1
2,intensity-only,lfw,2,0,3,0,0,0,0,0,0,0,1
2,intensity-only,lfw,3,0,2,0,0,0,0,0,0,0,1
3,location-only,intensity,1,0,1,1,0,0,0,0,0,0,1
3,location-only,intensity,2,0,4,0,0,0,0,0,0,0,1
3,location-only,intensity,3,0,5,0,0,0,0,0,0,0,1
3,location-only,intensity,4,0,5,0,0,0,0,0,0,0,1
3,location-only,intensity,5,0,4,0,0,0,0,0,0,0,1
3,location-only,intensity,6,0,3,0,0,0,0,0,0,0,1
3,location-only,location,-2,0.05,4,0,0,0,0,0,0,0.0921875000000001,1
3,location-only,location,-1,0.05,5,0,1.11022302462516e-15,0,0,0,0,0.0941860465116279,1
3,location-only,location,0,0.05,6,0,1.11022302462516e-15,0,0,0,0,0.0947916666666668,1
3,location-only,location,1,0.05,7,0,1.11022302462516e-16,0,0,0,0,0.087,1
3,location-only,location,2,0.05,7,0,1.11022302462516e-16,0,0,0,0,0.072,1
3,location-only,location,3,0.05,7,0,1.11022302462516e-16,0,0,0,0,0.082,1
3,location-only,location,4,0.05,7,0,1.11022302462516e-16,0,0,0,0,0.078,1
3,location-only,location,5,0.05,7,0,1.11022302462516e-16,0,0,0,0,0.0900000000000001,1
3,location-only,location,6,0.05,7,0,1.11022302462516e-16,0,0,0,0,0.096,1
3,location-only,location,7,0.05,7,0,1.11022302462516e-16,0,0,0,0,0.096,1
3,location-only,location,8,0.05,6,0,2.22044604925031e-16,0,0,0,0,0.0957894736842105,1
