candidate_label,eta,seed_id,metric,difference_direction,nominal_difference,intensity_only_delta005_difference,location_only_delta005_difference,lfw_only_delta005_difference,combined_mild_delta002_difference,combined_medium_delta005_difference,combined_strong_delta010_difference,combined_advantage_monotonic_nonincreasing,combined_strong_improves
ETA_0.003,0.003,1,mean_operating_loss,candidate_minus_SAA_negative_is_improvement,-12.079700928299644,-36.11354964709972,-10.653755680999893,-19.706587730799583,-26.10634951819884,-42.96728160609928,-78.15378252660594,True,True
ETA_0.003,0.003,2,mean_operating_loss,candidate_minus_SAA_negative_is_improvement,-8.140864159800913,-39.22819785650063,-6.71830728670102,-12.586215020999589,-21.511067545499827,-38.204388847101654,-69.0280992327971,True,True
ETA_0.003,0.003,3,mean_operating_loss,candidate_minus_SAA_negative_is_improvement,-7.598154825851452,-28.465689553398988,-9.580740711000544,-13.017621875900659,-21.565881754700968,-36.270701164597995,-70.48807232349645,True,True
ETA_0.003,0.003,1,mean_shortage_kg,candidate_minus_SAA_negative_is_improvement,-0.006087707783270169,-0.018271123334599793,-0.005363363413430022,-0.009932642456480067,-0.013205893498820842,-0.021730212881999833,-0.03955673550549932,True,True
ETA_0.003,0.003,2,mean_shortage_kg,candidate_minus_SAA_negative_is_improvement,-0.004082318227230708,-0.019820929386499486,-0.003376157286379744,-0.006309912509789406,-0.010840827723790802,-0.019278428616299692,-0.034886547654799926,True,True
ETA_0.003,0.003,3,mean_shortage_kg,candidate_minus_SAA_negative_is_improvement,-0.0038095623606606566,-0.014283721697099239,-0.004824846277870165,-0.006543299944240744,-0.01082463733352057,-0.018255938508699998,-0.03556932751359909,True,True
ETA_0.003,0.003,1,mean_total_cost,candidate_minus_SAA_negative_is_improvement,-2.8360295143993426,-26.869878232402698,-1.4100842670995917,-10.462916316801056,-16.862678103800135,-33.723610191500484,-68.9101111120981,True,True
ETA_0.003,0.003,2,mean_total_cost,candidate_minus_SAA_negative_is_improvement,1.1028072542012524,-29.98452644200006,2.5253641272993264,-3.3425436068991985,-12.267396131101123,-28.96071743269931,-59.78442781820195,True,True
ETA_0.003,0.003,3,mean_total_cost,candidate_minus_SAA_negative_is_improvement,1.645516588099781,-19.22201813869833,-0.3370692969983793,-3.7739504618002684,-12.322210340302263,-27.027029750101065,-61.24440090900316,True,True
ETA_0.003,0.003,1,operating_loss_CVaR995,candidate_minus_SAA_negative_is_improvement,-112.13897895498667,-35.131168902036734,-224.76939933700487,-473.0709322980256,-258.3496097680181,-140.29108405299485,-70.81093496503308,False,True
