distribution_id,distribution_label,matrix_name,from_state,to_state,delta,nominal_probability,stress_probability,perturbed_probability,successor_risk_score,selected_highest_risk_successor,deterministic_row
1,nominal,intensity,1,1,0,1,1,1,1,1,1
1,nominal,intensity,2,1,0,0.142,0,0.142,1,0,0
1,nominal,intensity,2,2,0,0.841,0,0.841,2,0,0
1,nominal,intensity,2,3,0,0.012,0,0.012,3,0,0
1,nominal,intensity,2,4,0,0.005,1,0.005,4,1,0
1,nominal,intensity,3,1,0,0.02,0,0.02,1,0,0
1,nominal,intensity,3,2,0,0.283333333333333,0,0.283333333333333,2,0,0
1,nominal,intensity,3,3,0,0.641666666666667,0,0.641666666666667,3,0,0
1,nominal,intensity,3,4,0,0.05,0,0.05,4,0,0
1,nominal,intensity,3,5,0,0.005,1,0.005,5,1,0
1,nominal,intensity,4,2,0,0.02,0,0.02,2,0,0
1,nominal,intensity,4,3,0,0.189333333333333,0,0.189333333333333,3,0,0
1,nominal,intensity,4,4,0,0.729666666666667,0,0.729666666666667,4,0,0
1,nominal,intensity,4,5,0,0.056,0,0.056,5,0,0
1,nominal,intensity,4,6,0,0.005,1,0.005,6,1,0
1,nominal,intensity,5,3,0,0.02,0,0.02,3,0,0
1,nominal,intensity,5,4,0,0.196,0,0.196,4,0,0
1,nominal,intensity,5,5,0,0.778,0,0.778,5,0,0
1,nominal,intensity,5,6,0,0.006,1,0.006,6,1,0
1,nominal,intensity,6,4,0,0.02,0,0.02,4,0,0
1,nominal,intensity,6,5,0,0.6,0,0.6,5,0,0
1,nominal,intensity,6,6,0,0.38,1,0.38,6,1,0
1,nominal,location,-2,-2,0,0.28125,0,0.28125,-84.3243399866044,0,0
1,nominal,location,-2,-1,0,0.4375,0,0.4375,-71.3713545029689,0,0
1,nominal,location,-2,0,0,0.203125,0,0.203125,-59.8947328955977,0,0
1,nominal,location,-2,1,0,0.078125,1,0.078125,-50.9328497886334,1,0
1,nominal,location,-1,-2,0,0.255813953488372,0,0.255813953488372,-84.3243399866044,0,0
1,nominal,location,-1,-1,0,0.209302325581395,0,0.209302325581395,-71.3713545029689,0,0
1,nominal,location,-1,0,0,0.325581395348837,0,0.325581395348837,-59.8947328955977,0,0
1,nominal,location,-1,1,0,0.151162790697674,0,0.151162790697674,-50.9328497886334,0,0
1,nominal,location,-1,2,0,0.0581395348837209,1,0.0581395348837209,-47.1256774587613,1,0
1,nominal,location,0,-2,0,0.104166666666667,0,0.104166666666667,-84.3243399866044,0,0
1,nominal,location,0,-1,0,0.229166666666667,0,0.229166666666667,-71.3713545029689,0,0
1,nominal,location,0,0,0,0.1875,0,0.1875,-59.8947328955977,0,0
1,nominal,location,0,1,0,0.291666666666667,0,0.291666666666667,-50.9328497886334,0,0
1,nominal,location,0,2,0,0.135416666666667,0,0.135416666666667,-47.1256774587613,0,0
1,nominal,location,0,3,0,0.0520833333333333,1,0.0520833333333333,-45.1417815798968,1,0
1,nominal,location,1,-2,0,0.04,0,0.04,-84.3243399866044,0,0
1,nominal,location,1,-1,0,0.1,0,0.1,-71.3713545029689,0,0
1,nominal,location,1,0,0,0.22,0,0.22,-59.8947328955977,0,0
1,nominal,location,1,1,0,0.18,0,0.18,-50.9328497886334,0,0
1,nominal,location,1,2,0,0.28,0,0.28,-47.1256774587613,0,0
1,nominal,location,1,3,0,0.13,1,0.13,-45.1417815798968,1,0
1,nominal,location,1,4,0,0.05,0,0.05,-49.9991004011675,0,0
1,nominal,location,2,-1,0,0.04,0,0.04,-71.3713545029689,0,0
1,nominal,location,2,0,0,0.1,0,0.1,-59.8947328955977,0,0
1,nominal,location,2,1,0,0.22,0,0.22,-50.9328497886334,0,0
1,nominal,location,2,2,0,0.18,0,0.18,-47.1256774587613,0,0
1,nominal,location,2,3,0,0.28,1,0.28,-45.1417815798968,1,0
1,nominal,location,2,4,0,0.13,0,0.13,-49.9991004011675,0,0
1,nominal,location,2,5,0,0.05,0,0.05,-60.2201384499207,0,0
1,nominal,location,3,0,0,0.04,0,0.04,-59.8947328955977,0,0
1,nominal,location,3,1,0,0.1,0,0.1,-50.9328497886334,0,0
1,nominal,location,3,2,0,0.22,0,0.22,-47.1256774587613,0,0
1,nominal,location,3,3,0,0.18,1,0.18,-45.1417815798968,1,0
1,nominal,location,3,4,0,0.28,0,0.28,-49.9991004011675,0,0
1,nominal,location,3,5,0,0.13,0,0.13,-60.2201384499207,0,0
1,nominal,location,3,6,0,0.05,0,0.05,-71.2982438220312,0,0
1,nominal,location,4,1,0,0.04,0,0.04,-50.9328497886334,0,0
1,nominal,location,4,2,0,0.1,0,0.1,-47.1256774587613,0,0
1,nominal,location,4,3,0,0.22,1,0.22,-45.1417815798968,1,0
1,nominal,location,4,4,0,0.18,0,0.18,-49.9991004011675,0,0
1,nominal,location,4,5,0,0.28,0,0.28,-60.2201384499207,0,0
1,nominal,location,4,6,0,0.13,0,0.13,-71.2982438220312,0,0
1,nominal,location,4,7,0,0.05,0,0.05,-84.4565607288286,0,0
1,nominal,location,5,2,0,0.04,0,0.04,-47.1256774587613,0,0
1,nominal,location,5,3,0,0.1,1,0.1,-45.1417815798968,1,0
1,nominal,location,5,4,0,0.22,0,0.22,-49.9991004011675,0,0
1,nominal,location,5,5,0,0.18,0,0.18,-60.2201384499207,0,0
1,nominal,location,5,6,0,0.28,0,0.28,-71.2982438220312,0,0
1,nominal,location,5,7,0,0.13,0,0.13,-84.4565607288286,0,0
1,nominal,location,5,8,0,0.05,0,0.05,-98.5644961376883,0,0
1,nominal,location,6,3,0,0.04,1,0.04,-45.1417815798968,1,0
1,nominal,location,6,4,0,0.1,0,0.1,-49.9991004011675,0,0
1,nominal,location,6,5,0,0.22,0,0.22,-60.2201384499207,0,0
1,nominal,location,6,6,0,0.18,0,0.18,-71.2982438220312,0,0
1,nominal,location,6,7,0,0.28,0,0.28,-84.4565607288286,0,0
1,nominal,location,6,8,0,0.13,0,0.13,-98.5644961376883,0,0
1,nominal,location,6,9,0,0.05,0,0.05,-113.198585707555,0,0
1,nominal,location,7,4,0,0.04,1,0.04,-49.9991004011675,1,0
1,nominal,location,7,5,0,0.1,0,0.1,-60.2201384499207,0,0
1,nominal,location,7,6,0,0.22,0,0.22,-71.2982438220312,0,0
