distribution_id,distribution_label,seed_id,matrix_name,from_state,transition_count,maximum_absolute_frequency_error,row_L1_frequency_error,six_sigma_plus_floor_tolerance,unobserved_outside_support_count,frequency_status,frequency_audit_pass
1,nominal,1,intensity,1,91,0,0,0.02,0,PASS,1
1,nominal,1,intensity,2,1477,0.00869532836831421,0.0173906567366283,0.0577667220350803,0,PASS,1
1,nominal,1,intensity,3,6739,0.0063523272493442,0.0130667260226535,0.0351954721163925,0,PASS,1
1,nominal,1,intensity,4,34360,0.00128637951105937,0.00279394644935967,0.02,0,PASS,1
1,nominal,1,intensity,5,2177,0.00197887000459346,0.00395774000918694,0.0539020391610707,0,PASS,1
1,nominal,1,intensity,6,156,0.0751282051282051,0.15025641025641,0.241749618576077,0,PASS,1
1,nominal,1,location,-2,0,NaN,NaN,NaN,0,NOT_VISITED,1
1,nominal,1,location,-1,25,0.154418604651163,0.406511627906977,0.602310000361206,0,PASS,1
1,nominal,1,location,0,122,0.0495218579234969,0.147199453551913,0.255103818726877,0,PASS,1
1,nominal,1,location,1,404,0.0204950495049505,0.0952475247524753,0.136506424627856,0,PASS,1
1,nominal,1,location,2,1501,0.0139240506329114,0.031672218520986,0.0702016562839011,0,PASS,1
1,nominal,1,location,3,3129,0.0220134228187919,0.0552444870565676,0.0484803953941446,0,PASS,1
1,nominal,1,location,4,5497,0.00645079134073129,0.0263780243769329,0.0365176269960559,0,PASS,1
1,nominal,1,location,5,20484,0.00453622339386839,0.0108767818785393,0.02,0,PASS,1
1,nominal,1,location,6,6721,0.00522243713733075,0.0231275107870852,0.0330096959160179,0,PASS,1
1,nominal,1,location,7,4048,0.00705533596837946,0.0220355731225296,0.0425895127738494,0,PASS,1
1,nominal,1,location,8,2185,0.0196796338672772,0.0512585812356986,0.0589795556315746,0,PASS,1
1,nominal,1,location,9,686,0.0360876057740173,0.102894119320202,0.110088090185291,0,PASS,1
1,nominal,1,location,10,198,0.0420875420875425,0.107744107744108,0.214563625402075,0,PASS,1
1,nominal,1,lfw,0,19834,0.00264696984975299,0.00529393969950592,0.02,0,PASS,1
1,nominal,1,lfw,1,15868,0.00428535417191833,0.00874716410385683,0.0206878695253128,0,PASS,1
1,nominal,1,lfw,2,8823,0.00469228153689219,0.00938456307378442,0.0277728033019622,0,PASS,1
1,nominal,1,lfw,3,475,0.00684210526315789,0.0136842105263158,0.0621052631578948,0,PASS,1
2,intensity-only,1,intensity,1,78,0,0,0.02,0,PASS,1
2,intensity-only,1,intensity,2,1353,0.0155363266814487,0.0363583887657059,0.0661144730451556,0,PASS,1
2,intensity-only,1,intensity,3,6231,0.00467778045257583,0.00935556090515165,0.0372416290945942,0,PASS,1
2,intensity-only,1,intensity,4,32964,0.00267247300084972,0.00827638636087915,0.02,0,PASS,1
2,intensity-only,1,intensity,5,2572,0.00351275272161744,0.0094609642301711,0.0523410582047915,0,PASS,1
2,intensity-only,1,intensity,6,1802,0.012418423973363,0.0248368479467258,0.0705303587730215,0,PASS,1
2,intensity-only,1,location,-2,0,NaN,NaN,NaN,0,NOT_VISITED,1
2,intensity-only,1,location,-1,25,0.154418604651163,0.406511627906977,0.602310000361206,0,PASS,1
2,intensity-only,1,location,0,122,0.0495218579234969,0.147199453551913,0.255103818726877,0,PASS,1
2,intensity-only,1,location,1,404,0.0204950495049505,0.0952475247524753,0.136506424627856,0,PASS,1
2,intensity-only,1,location,2,1501,0.0139240506329114,0.031672218520986,0.0702016562839011,0,PASS,1
2,intensity-only,1,location,3,3129,0.0220134228187919,0.0552444870565676,0.0484803953941446,0,PASS,1
2,intensity-only,1,location,4,5497,0.00645079134073129,0.0263780243769329,0.0365176269960559,0,PASS,1
2,intensity-only,1,location,5,20484,0.00453622339386839,0.0108767818785393,0.02,0,PASS,1
2,intensity-only,1,location,6,6721,0.00522243713733075,0.0231275107870852,0.0330096959160179,0,PASS,1
2,intensity-only,1,location,7,4048,0.00705533596837946,0.0220355731225296,0.0425895127738494,0,PASS,1
2,intensity-only,1,location,8,2185,0.0196796338672772,0.0512585812356986,0.0589795556315746,0,PASS,1
2,intensity-only,1,location,9,686,0.0360876057740173,0.102894119320202,0.110088090185291,0,PASS,1
2,intensity-only,1,location,10,198,0.0420875420875425,0.107744107744108,0.214563625402075,0,PASS,1
2,intensity-only,1,lfw,0,19834,0.00264696984975299,0.00529393969950592,0.02,0,PASS,1
2,intensity-only,1,lfw,1,15868,0.00428535417191833,0.00874716410385683,0.0206878695253128,0,PASS,1
2,intensity-only,1,lfw,2,8823,0.00469228153689219,0.00938456307378442,0.0277728033019622,0,PASS,1
2,intensity-only,1,lfw,3,475,0.00684210526315789,0.0136842105263158,0.0621052631578948,0,PASS,1
3,location-only,1,intensity,1,91,0,0,0.02,0,PASS,1
3,location-only,1,intensity,2,1477,0.00869532836831421,0.0173906567366283,0.0577667220350803,0,PASS,1
3,location-only,1,intensity,3,6739,0.0063523272493442,0.0130667260226535,0.0351954721163925,0,PASS,1
3,location-only,1,intensity,4,34360,0.00128637951105937,0.00279394644935967,0.02,0,PASS,1
3,location-only,1,intensity,5,2177,0.00197887000459346,0.00395774000918694,0.0539020391610707,0,PASS,1
