dataset_id,seed_id,distribution_id,distribution_label,path_hash_first,path_hash_replay,path_replay_pass,D_hash_first,D_hash_replay,A_hash_first,A_hash_replay,C_hash_first,C_hash_replay,scenario_hash_first,scenario_hash_replay,damage_hash_first,damage_hash_replay,formal_replay_pass,generation_and_replay_runtime_sec
1,1,1,nominal,4e0f3da61ce50a9cdeabcda480ed2243ed86ad29b9010e4d016353ea661a6768,4e0f3da61ce50a9cdeabcda480ed2243ed86ad29b9010e4d016353ea661a6768,1,04fb581f3cf9ead539fd44d3eada55e40a865c023ba29f2fb3125e8c87707824,04fb581f3cf9ead539fd44d3eada55e40a865c023ba29f2fb3125e8c87707824,2868158016a63f9b06c35ec8eeba0bedf4b4e4514e97a1be5eb690b3fd52d288,2868158016a63f9b06c35ec8eeba0bedf4b4e4514e97a1be5eb690b3fd52d288,c65cd3d34f29f8d09a4e0cb4b543265c6404108bea170e108fb9b2663022e110,c65cd3d34f29f8d09a4e0cb4b543265c6404108bea170e108fb9b2663022e110,83897902e700da0ba21a45f1a6fedc590674cb496cb899d6aa29a46856866c9f,83897902e700da0ba21a45f1a6fedc590674cb496cb899d6aa29a46856866c9f,d2a7a468b26032e7f88f8795a772252675c4d67fcd73461a0c30f7d044bc3644,d2a7a468b26032e7f88f8795a772252675c4d67fcd73461a0c30f7d044bc3644,1,25.6181211
2,1,2,intensity-only,4fdabac538eb5fac763eb1c0450c6d158de59e45f061d4a42b5294b3219559ef,4fdabac538eb5fac763eb1c0450c6d158de59e45f061d4a42b5294b3219559ef,1,bf1b5263004a02b75a57e208f91e76abdd9773f4bef7750b162fd9059a77fbca,bf1b5263004a02b75a57e208f91e76abdd9773f4bef7750b162fd9059a77fbca,8ace40f4780be273529b311d226a3d937f4dc5b8da11d69efdfdb020836bdf44,8ace40f4780be273529b311d226a3d937f4dc5b8da11d69efdfdb020836bdf44,b1b9b2de96cc72abfe2f313b5e8761db6da42c8abbd81a392643c012f0e71f01,b1b9b2de96cc72abfe2f313b5e8761db6da42c8abbd81a392643c012f0e71f01,639d144ae126dff6c20b6bcd86dd0a98535bca2bf1f5b6c9c6c82a8200c8a29e,639d144ae126dff6c20b6bcd86dd0a98535bca2bf1f5b6c9c6c82a8200c8a29e,929c222b67531b6c2213072646739249ff5254b2716dea33a3de50c1f4785bb6,929c222b67531b6c2213072646739249ff5254b2716dea33a3de50c1f4785bb6,1,27.8943075
3,1,3,location-only,d33b7526a8861666c85ee819d1b8141195fbf0a7cbc923bf22f2438e924771b2,d33b7526a8861666c85ee819d1b8141195fbf0a7cbc923bf22f2438e924771b2,1,0df626bb5c165e5f4d82cc2ddb0311b1f212d085074efc55b96de2e0503f27a3,0df626bb5c165e5f4d82cc2ddb0311b1f212d085074efc55b96de2e0503f27a3,67c610f6cd7472fe1401a51fba748fb0f3a2d80ac59c1743ad684e875cb1ef9e,67c610f6cd7472fe1401a51fba748fb0f3a2d80ac59c1743ad684e875cb1ef9e,84f6c6283483e370405b01bb99de11d5816ce06b1dbce2a98ce7476fdcafa23d,84f6c6283483e370405b01bb99de11d5816ce06b1dbce2a98ce7476fdcafa23d,31f0af971ec2995b07f9a42978db633a3f53c99fd36aa7d8976fb7ba0de752fc,31f0af971ec2995b07f9a42978db633a3f53c99fd36aa7d8976fb7ba0de752fc,c7bd17bb5010e4804f07d91c58fadf47c66c03720cef196b2d3e27f307c5dc14,c7bd17bb5010e4804f07d91c58fadf47c66c03720cef196b2d3e27f307c5dc14,1,29.8620575
4,1,4,lfw-only,284e97c9dee78f9be512494b47f77210175335f26518a342ce06ae9a3a404cae,284e97c9dee78f9be512494b47f77210175335f26518a342ce06ae9a3a404cae,1,c8de98669157b4c0b10c71dcb40601c3bb8e27ed73a6affa7d256abf46fb65e2,c8de98669157b4c0b10c71dcb40601c3bb8e27ed73a6affa7d256abf46fb65e2,4c0b9cebfe5a095be7a8fd305fd0fb04ea88f345c5b5130ebd110ac47618657e,4c0b9cebfe5a095be7a8fd305fd0fb04ea88f345c5b5130ebd110ac47618657e,11b881327e568c432f2f840f88fc43c11c97cc948a9d4b6d3561d3abcb60aeb4,11b881327e568c432f2f840f88fc43c11c97cc948a9d4b6d3561d3abcb60aeb4,1e07081149b1d13af548fec0fc51da243ffcbc4ed7238859d7fdf6f6e4cc8896,1e07081149b1d13af548fec0fc51da243ffcbc4ed7238859d7fdf6f6e4cc8896,374fc8158edc06a65470d781de3a1d8bd5f9b1bc07001418ea8fd36dadc4365b,374fc8158edc06a65470d781de3a1d8bd5f9b1bc07001418ea8fd36dadc4365b,1,26.9151842
5,1,5,combined-mild,3eaf9f9d67ce62154165c62f2cd5b9ff310bdec7ffa844e2f3aef09c2dec65e2,3eaf9f9d67ce62154165c62f2cd5b9ff310bdec7ffa844e2f3aef09c2dec65e2,1,0d164838833821c4c9057558ff3a7aa0e242225981e0ccbd66e694fff1a7028a,0d164838833821c4c9057558ff3a7aa0e242225981e0ccbd66e694fff1a7028a,359949d0ac105a228210f2887f810896b886b84f92dd3d33617b14631b4be70b,359949d0ac105a228210f2887f810896b886b84f92dd3d33617b14631b4be70b,b6e9de08dda4d0ae7325424d689ea399268b8e97e8cb2a83999197b78127ad65,b6e9de08dda4d0ae7325424d689ea399268b8e97e8cb2a83999197b78127ad65,1a8a7760290887b159b677c4991a9714b198fdc738b235765c872b0973a8199f,1a8a7760290887b159b677c4991a9714b198fdc738b235765c872b0973a8199f,a9be663c2e68c7b075d51566076c763be735cf46c1dac0cad2c1dbd904269f81,a9be663c2e68c7b075d51566076c763be735cf46c1dac0cad2c1dbd904269f81,1,23.2684799
6,1,6,combined-medium,35427ce5e76c045fee49bd43d234307a03a4aaf95b90b9ccf9ddc586d71ba5a3,35427ce5e76c045fee49bd43d234307a03a4aaf95b90b9ccf9ddc586d71ba5a3,1,f94efc05981c707aafce56ecedd38e843d79030b2bcf95ca1c92ee860008b811,f94efc05981c707aafce56ecedd38e843d79030b2bcf95ca1c92ee860008b811,218e26a3810889986fc2213d62067f1b7e8ade0d89f9003f59ee4e609de8dee9,218e26a3810889986fc2213d62067f1b7e8ade0d89f9003f59ee4e609de8dee9,9e196bc5a8591c90ceb1c35b5621db91057b64ce2eb608727a3ac33d0b8de0e4,9e196bc5a8591c90ceb1c35b5621db91057b64ce2eb608727a3ac33d0b8de0e4,35078257936785762900e76ddc8bac2d9415f1dc18f9bd1ec928438d696cb3dc,35078257936785762900e76ddc8bac2d9415f1dc18f9bd1ec928438d696cb3dc,d1db8d0997a8274d18a7dcb37679ff54c510a1243938b64e7eb3f5bcaede0004,d1db8d0997a8274d18a7dcb37679ff54c510a1243938b64e7eb3f5bcaede0004,1,22.9447547
7,1,7,combined-strong,5219ffd07bbbab36139952b5b5a2b3d84f73b174e8384ffb23ce1d3225b191ff,5219ffd07bbbab36139952b5b5a2b3d84f73b174e8384ffb23ce1d3225b191ff,1,14c6aed6e2bff0ae8f329e18055bf94fab25ada570bbc09292830e7a622bfebe,14c6aed6e2bff0ae8f329e18055bf94fab25ada570bbc09292830e7a622bfebe,8a6afe297c1511cc7c3370148d2a7bf1396026799007ea71703ee9db0c3fe8a4,8a6afe297c1511cc7c3370148d2a7bf1396026799007ea71703ee9db0c3fe8a4,97e363b51fb886b5cb1530e8ae814c54a563df703aed2a0c7f965faed23982e3,97e363b51fb886b5cb1530e8ae814c54a563df703aed2a0c7f965faed23982e3,3ad1dbbeb7a0931a498da6056999ebb70407fabd93337d79f3def5955e1599c9,3ad1dbbeb7a0931a498da6056999ebb70407fabd93337d79f3def5955e1599c9,17a3efc3850cb850317678660dd0047e4263a1c4e7206fdeab4be281939dda7b,17a3efc3850cb850317678660dd0047e4263a1c4e7206fdeab4be281939dda7b,1,25.7573593
8,2,1,nominal,9eed524bf0022c53d0c723c819fffdd16af6bec8e3b69d323e6eed39f78eb3dd,9eed524bf0022c53d0c723c819fffdd16af6bec8e3b69d323e6eed39f78eb3dd,1,1a5e4a236df7ebce415d573958d4f3f888d9689a936d4864731dd1af0e5cc47b,1a5e4a236df7ebce415d573958d4f3f888d9689a936d4864731dd1af0e5cc47b,9b01b507d4e059fff1150a29f95bb24b31d507e7ed64c856a0db8bb317d986ad,9b01b507d4e059fff1150a29f95bb24b31d507e7ed64c856a0db8bb317d986ad,3698784bb3c12c3cedfa74b858f13a0f0e521e56761d6bd94a493b9e4d26d005,3698784bb3c12c3cedfa74b858f13a0f0e521e56761d6bd94a493b9e4d26d005,a11094f20e9e40373747e053dc47a05dd37ba1aac3c46fde24e46dfe01d20c9a,a11094f20e9e40373747e053dc47a05dd37ba1aac3c46fde24e46dfe01d20c9a,d1094d1eb54b42ddc7e6409fc05e3dd0235c3a48736535489fbd146778bf77ce,d1094d1eb54b42ddc7e6409fc05e3dd0235c3a48736535489fbd146778bf77ce,1,21.337376
9,2,2,intensity-only,b1f551152e8f1aa2041ae4f7b4025a801754053acd10f58cf88ab3b1180cc7ee,b1f551152e8f1aa2041ae4f7b4025a801754053acd10f58cf88ab3b1180cc7ee,1,aacc4652d5d4d7a47f137a6387539a519de601b1cd19e4b3bc6b86fa2bb6ac9c,aacc4652d5d4d7a47f137a6387539a519de601b1cd19e4b3bc6b86fa2bb6ac9c,152b50a8fde3906e8cf84296f950fb9fc098cc75cd8714e5ca1edf68cc6c0a94,152b50a8fde3906e8cf84296f950fb9fc098cc75cd8714e5ca1edf68cc6c0a94,daad265d7bda46f4c0bfa091109953fd418ce204263c32acceb1b0b49e357ec5,daad265d7bda46f4c0bfa091109953fd418ce204263c32acceb1b0b49e357ec5,f58cf41a5301cf700ac9b54f4c4f732606fdbe4c2e24c96e46bd1c7dcc4132fa,f58cf41a5301cf700ac9b54f4c4f732606fdbe4c2e24c96e46bd1c7dcc4132fa,dfb1bffdbe706f233fd43dec6760a97269e1cace0cd697e397d6f4d49f83c622,dfb1bffdbe706f233fd43dec6760a97269e1cace0cd697e397d6f4d49f83c622,1,21.3741545
10,2,3,location-only,813368ded1c951c9b50ee39f9bc96bbd2c387f4ef8a0fd9642d6447f6b01761a,813368ded1c951c9b50ee39f9bc96bbd2c387f4ef8a0fd9642d6447f6b01761a,1,01b10d21c9984360b049bbec54437a63a282098ea47e5ace8845ddd23aecc79f,01b10d21c9984360b049bbec54437a63a282098ea47e5ace8845ddd23aecc79f,ef7812c13f603dab865c68e63c8415d7ed835dc887493578abea4ed804f73571,ef7812c13f603dab865c68e63c8415d7ed835dc887493578abea4ed804f73571,4f4408a409e77df7d302a9c8c7b9eb237a3f27c3d69e163edbf668776d127964,4f4408a409e77df7d302a9c8c7b9eb237a3f27c3d69e163edbf668776d127964,4284168589a781de6b2aa02aa449cf6cced95e189af59bc1c3d79d5c68039aab,4284168589a781de6b2aa02aa449cf6cced95e189af59bc1c3d79d5c68039aab,8b90b115b88a1b85fd5c46a7b8de8f9747c5564e02c9e651ece135702a8c88e8,8b90b115b88a1b85fd5c46a7b8de8f9747c5564e02c9e651ece135702a8c88e8,1,22.2764736
