seed_id,distribution_id,distribution_label,candidate_label,eta,paired_sample_count,difference_direction,total_cost_paired_mean_difference,total_cost_improved_share,total_cost_worsened_share,total_cost_equal_share,total_cost_paired_CI95_lower,total_cost_paired_CI95_upper,operating_loss_paired_mean_difference,operating_loss_improved_share,operating_loss_worsened_share,operating_loss_equal_share,operating_loss_paired_CI95_lower,operating_loss_paired_CI95_upper,shortage_kg_paired_mean_difference,shortage_kg_improved_share,shortage_kg_worsened_share,shortage_kg_equal_share,shortage_kg_paired_CI95_lower,shortage_kg_paired_CI95_upper
1,1,nominal,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,-2.8360295145749097,0.004,0.996,0.0,-7.9346956855727955,2.262636656422976,-12.079700928344826,0.0496,0.004733333333333333,0.9456666666666667,-17.17836709934279,-6.981034757346861,-0.006087707783264518,0.0018,0.0,0.9982,-0.008682604600181918,-0.0034928109663471176
1,1,nominal,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,6.957458288634359,0.005666666666666667,0.9943333333333333,0.0,-3.9496988802633117,17.86461545753203,-27.11628322156613,0.054266666666666664,0.0,0.9457333333333333,-38.02344039046389,-16.209126052668367,-0.013508384252030579,0.0018,0.0,0.9982,-0.0190473151700661,-0.007969453333995059
2,1,nominal,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,1.102807253974789,0.0041333333333333335,0.9958666666666667,0.0,-3.4197429304905436,5.625357438440122,-8.140864159795768,0.053733333333333334,0.0056,0.9406666666666667,-12.663414344261117,-3.6183139753304197,-0.00408231822723507,0.0014,0.0002666666666666667,0.9983333333333333,-0.006376605068266062,-0.001788031386204078
2,1,nominal,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,6.112840057181371,0.006466666666666667,0.9935333333333334,0.0,-5.735007695765821,17.96068781012856,-27.960901453018842,0.059333333333333335,0.0,0.9406666666666667,-39.80874920596603,-16.113053700071653,-0.013847443544271296,0.0016666666666666668,0.0,0.9983333333333333,-0.019858422729202498,-0.007836464359340094
3,1,nominal,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,1.6455165879240885,0.004,0.996,0.0,-2.5978898093448004,5.888922985192978,-7.598154825847155,0.054066666666666666,0.0062,0.9397333333333333,-11.841561223115946,-3.3547484285783646,-0.003809562360660896,0.0014666666666666667,0.0002666666666666667,0.9982666666666666,-0.005969385283298204,-0.0016497394380235878
3,1,nominal,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,10.162509659252201,0.005866666666666667,0.9941333333333333,0.0,-0.07596368092822736,20.400982999432628,-23.911231850948905,0.06013333333333333,0.0,0.9398666666666666,-34.14970519112936,-13.672758510768457,-0.011817331442151852,0.0016666666666666668,0.0,0.9983333333333333,-0.017020932956156337,-0.006613729928147368
1,2,intensity-only,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,-26.86987823324583,0.012466666666666666,0.9875333333333334,0.0,-36.349423951876034,-17.39033251461563,-36.11354964701617,0.06913333333333334,0.009666666666666667,0.9212,-45.593095365646334,-26.634003928386008,-0.018271123334657143,0.005933333333333333,0.0012,0.9928666666666667,-0.023098991653581438,-0.013443255015732845
1,2,intensity-only,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,-68.23643661740954,0.016866666666666665,0.9831333333333333,0.0,-88.79635174392973,-47.67652149088934,-102.31017812761006,0.07873333333333334,0.0,0.9212666666666667,-122.87009325413025,-81.75026300108986,-0.05147853145738929,0.0071333333333333335,0.0,0.9928666666666667,-0.0619460959432173,-0.04101096697156127
2,2,intensity-only,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,-29.98452644271832,0.0126,0.9874,0.0,-39.79869180281381,-20.170361082622826,-39.228197856490716,0.07186666666666666,0.011,0.9171333333333334,-49.04236321658628,-29.41403249639515,-0.01982092938643675,0.005666666666666667,0.0008,0.9935333333333334,-0.024814719473524385,-0.014827139299349116
2,2,intensity-only,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,-60.1337174476206,0.017,0.983,0.0,-80.48010338686434,-39.78733150837685,-94.20745895782314,0.08286666666666667,0.0,0.9171333333333334,-114.55384489706688,-73.86107301857939,-0.04722437746483229,0.0064,0.0,0.9936,-0.057572928153595264,-0.03687582677606931
3,2,intensity-only,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,-19.2220181395674,0.013533333333333333,0.9864666666666667,0.0,-27.386082028284555,-11.057954250850246,-28.465689553340116,0.0742,0.0106,0.9152,-36.629753442057265,-20.30162566462297,-0.014283721697098064,0.0054666666666666665,0.0011333333333333334,0.9934,-0.018432569977837578,-0.010134873416358551
3,2,intensity-only,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,-50.45589509362582,0.0172,0.9828,0.0,-68.64682514445828,-32.264965042793364,-84.52963660382808,0.08453333333333334,0.0,0.9154666666666667,-102.72056665466059,-66.33870655299557,-0.04226089044785457,0.006466666666666667,0.0,0.9935333333333334,-0.05151155020751054,-0.0330102306881986
1,3,location-only,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,-1.4100842672802716,0.0042,0.9958,0.0,-6.233047099886896,3.4128785653263525,-10.65375568105029,0.05466666666666667,0.006,0.9393333333333334,-15.476718513656985,-5.830792848443595,-0.005363363413436524,0.0016666666666666668,6.666666666666667e-05,0.9982666666666666,-0.007817599015412412,-0.002909127811460636
1,3,location-only,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,6.92295395676818,0.006466666666666667,0.9935333333333334,0.0,-4.099647170936209,17.94555508447257,-27.150787553432746,0.06046666666666667,0.0,0.9395333333333333,-38.17338868113727,-16.128186425728224,-0.013469239960318256,0.0017333333333333333,0.0,0.9982666666666666,-0.019068281644405854,-0.007870198276230658
