candidate,profile_id,global_hour,site1_lp_pel_kw,site2_lp_pel_kw,site3_lp_pel_kw,site4_lp_pel_kw,site1_effective_increment_above_base_kw,site2_effective_increment_above_base_kw,site3_effective_increment_above_base_kw,site4_effective_increment_above_base_kw,effective_total_physical_pmax_kw,candidate_increment_hostable,missing_candidate_increment_kw,minimum_voltage_pu,minimum_voltage_margin_pu,critical_bus,critical_branch,voltage_limited_flag,branch_limited_flag,substation_limited_flag,source,site_resolved_joint_witness
B1000,26,16,375,0,0,0,75,0,0,0,845,YES,0,0.932111738237,0.0321117382372,33,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,27,16,375,200,120,150,75,0,0,0,845,YES,0,0.912241368708,0.0122413687083,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,28,17,375,0,0,0,75,0,0,0,845,YES,0,0.93200731351,0.0320073135099,33,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,36,17,375,200,0,150,75,0,0,0,845,YES,0,0.920344412453,0.0203444124535,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,37,17,375,200,120,150,75,0,0,0,845,YES,0,0.911303550732,0.0113035507317,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,38,18,375,0,0,0,75,0,0,0,845,YES,0,0.93325377239,0.0332537723904,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,41,18,375,200,0,150,75,0,0,0,845,YES,0,0.92071586579,0.0207158657903,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,42,18,375,200,120,150,75,0,0,0,845,YES,0,0.911678687674,0.0116786876744,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,43,19,375,0,0,0,75,0,0,0,845,YES,0,0.92784125699,0.0278412569902,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,48,19,375,0,0,150,75,0,0,0,845,YES,0,0.924009197633,0.0240091976327,33,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,49,19,375,200,0,150,75,0,0,0,845,YES,0,0.91522920627,0.0152292062704,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,50,19,375,200,120,150,75,0,0,0,845,YES,0,0.906137309712,0.00613730971202,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,51,20,375,0,0,0,75,0,0,0,845,YES,0,0.916574961704,0.0165749617042,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,55,20,375,0,0,0,75,0,0,0,845,YES,0,0.916574961704,0.0165749617042,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,56,20,375,0,0,150,75,0,0,0,845,YES,0,0.913850367122,0.0138503671218,33,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,60,20,300,200,53.7144125081,150,0,0,0,0,770,NO,75,0.9,0,18,1,True,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,61,20,300,200,53.7144125081,150,0,0,0,0,770,NO,75,0.9,0,18,1,True,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,62,20,300,200,53.7144125081,150,0,0,0,0,770,NO,75,0.9,0,18,1,True,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,63,20,300,200,53.7144125081,150,0,0,0,0,770,NO,75,0.9,0,18,1,True,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,65,21,375,0,0,0,75,0,0,0,845,YES,0,0.914444080036,0.0144440800356,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,72,21,375,0,0,60.9344548861,75,0,0,0,845,YES,0,0.91354922664,0.0135492266395,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,73,21,375,0,0,150,75,0,0,0,845,YES,0,0.911797705889,0.0117977058894,33,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,77,21,300,200,25.4407801931,150,0,0,0,0,770,NO,75,0.9,0,18,1,True,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,78,21,300,200,25.4407801931,150,0,0,0,0,770,NO,75,0.9,0,18,1,True,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,79,21,300,200,25.4407801931,150,0,0,0,0,770,NO,75,0.9,0,18,1,True,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,80,22,375,0,0,0,75,0,0,0,845,YES,0,0.916574961704,0.0165749617042,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,89,22,375,200,0,150,75,0,0,0,845,YES,0,0.90380571046,0.00380571045998,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,90,22,300,200,53.7144125081,150,0,0,0,0,770,NO,75,0.9,0,18,1,True,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,92,22,300,200,53.7144125081,150,0,0,0,0,770,NO,75,0.9,0,18,1,True,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,93,22,300,200,53.7144125081,150,0,0,0,0,770,NO,75,0.9,0,18,1,True,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,96,23,375,0,0,0,75,0,0,0,845,YES,0,0.917614940733,0.0176149407325,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,97,23,375,0,0,150,75,0,0,0,845,YES,0,0.914852229221,0.0148522292212,33,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,105,23,375,0,0,150,75,0,0,0,845,YES,0,0.914852229221,0.0148522292212,33,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,108,23,300,200,67.537284676,150,0,0,0,0,770,NO,75,0.9,0,18,1,True,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,110,23,300,200,67.537284676,150,0,0,0,0,770,NO,75,0.9,0,18,1,True,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,111,23,300,200,67.537284676,150,0,0,0,0,770,NO,75,0.9,0,18,1,True,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,112,23,300,200,67.537284676,150,0,0,0,0,770,NO,75,0.9,0,18,1,True,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,113,23,300,200,67.537284676,150,0,0,0,0,770,NO,75,0.9,0,18,1,True,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,115,23,300,200,67.537284676,150,0,0,0,0,770,NO,75,0.9,0,18,1,True,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,125,24,375,0,120,150,75,0,0,0,845,YES,0,0.913000198874,0.0130001988743,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,126,24,375,200,120,150,75,0,0,0,845,YES,0,0.902414104723,0.00241410472258,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,136,25,375,0,0,150,75,0,0,0,845,YES,0,0.93001911105,0.0300191110501,33,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,140,25,375,0,120,150,75,0,0,0,845,YES,0,0.92225995177,0.0222599517703,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,143,25,375,200,120,150,75,0,0,0,845,YES,0,0.911781372861,0.0117813728614,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,206,26,375,0,108.131239292,150,75,0,0,0,845,YES,0,0.927083837745,0.0270838377449,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,224,26,375,104.329349622,120,150,75,0,0,0,845,YES,0,0.92077223108,0.0207722310795,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,246,26,375,200,120,150,75,0,0,0,845,YES,0,0.915766585183,0.015766585183,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,264,27,375,0,0,150,75,0,0,0,845,YES,0,0.934997817162,0.0349978171623,33,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,299,27,375,0,120,150,75,0,0,0,845,YES,0,0.927486379453,0.0274863794529,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
B1000,314,27,375,200,120,150,75,0,0,0,845,YES,0,0.917067520594,0.017067520594,18,1,False,False,False,STAGE89Q_G_SINGLE_SITE_CACHE,YES
