candidate,H2_recovered_events,required_unique_profiles,closure_source,new_joint_LP_solves,reused_profile_or_event_records,base_grid_state_recomputed,independent_headrooms_summed
B0000,0,0,NO_H2_GAIN,0,0,NO,NO
B1000,60,81,STAGE89Q_G_SINGLE_SITE_CACHE,0,81,NO,NO
B0100,50,65,STAGE89Q_G_SINGLE_SITE_CACHE,0,65,NO,NO
B0010,38,65,STAGE89Q_G_SINGLE_SITE_CACHE,0,65,NO,NO
B0001,48,65,STAGE89Q_G2_FORMAL_EVENT_CLOSURE,0,65,NO,NO
B1100,89,86,G4_NEW_CANDIDATE_DEPENDENT_JOINT_LP,86,0,NO,NO
B1010,78,85,G4_NEW_CANDIDATE_DEPENDENT_JOINT_LP,85,0,NO,NO
B1001,81,85,G4_NEW_CANDIDATE_DEPENDENT_JOINT_LP,85,0,NO,NO
B0110,61,81,G4_NEW_CANDIDATE_DEPENDENT_JOINT_LP,81,0,NO,NO
B0101,63,85,G4_NEW_CANDIDATE_DEPENDENT_JOINT_LP,85,0,NO,NO
B0011,54,68,G4_NEW_CANDIDATE_DEPENDENT_JOINT_LP,68,0,NO,NO
B1110,96,86,G4_NEW_CANDIDATE_DEPENDENT_JOINT_LP,86,0,NO,NO
B1101,105,86,G4_NEW_CANDIDATE_DEPENDENT_JOINT_LP,86,0,NO,NO
B1011,96,86,G4_NEW_CANDIDATE_DEPENDENT_JOINT_LP,86,0,NO,NO
B0111,83,85,G4_NEW_CANDIDATE_DEPENDENT_JOINT_LP,85,0,NO,NO
B1111,118,88,STAGE89Q_G3_FORMAL_EVENT_CLOSURE,0,88,NO,NO
