surplus_bin,N,mean_surplus_kg,mean_actual_cost_yuan,median_actual_cost_yuan,q95_actual_cost_yuan,cost_mean_bootstrap_ci95_low,cost_mean_bootstrap_ci95_high,mean_production_kg,mean_HTT_kg,mean_ordinary_shortage_kg
0-50 kg,32,32.9934932343,68873.2056341,60199.6725294,97382.2272628,64215.1052297,74163.7691753,268.074177159,24.0190677234,6.5405497984
50-100 kg,98,79.2832174936,75366.1469996,68701.1092629,111961.003504,71595.0502726,79250.4120329,292.307030102,25.9336000007,12.8665768019
100-200 kg,208,149.532120993,77841.0167345,70137.2129477,109666.004382,75384.2152444,80251.7877892,358.850485496,39.3434494268,16.8392096548
>200 kg,312,312.454068438,85898.2897528,87781.2064761,116218.603337,83973.7639336,87766.1559789,455.12928248,54.3956088899,12.7429225955
