group,N,mean_production_kg,mean_HTT_kg,mean_ordinary_shortage_kg,mean_final_inventory_kg,mean_target_kg,mean_terminal_surplus_kg,mean_terminal_gap_kg,actual_cost_mean_yuan,actual_cost_median_yuan,actual_cost_q95_yuan,actual_cost_mean_bootstrap_ci95_low,actual_cost_mean_bootstrap_ci95_high
all_10000,10000,195.428090389,7.42590312804,2.00460466949,195.667220495,25.6281799531,171.676332114,2.15882815314,56192.3696759,58228.7647362,98829.1622353,55732.0833652,56641.9725145
dissipation,3497,137.762226374,0.397912174673,0.014667103924,192.651636203,0,192.651636203,0,35266.6123888,28954.6708721,78040.238814,34477.2514632,35990.9428996
Stage7_zero_target,5001,194.556820619,4.43094215274,0.342796151129,163.862991784,0,163.862991784,0,65173.4511601,58463.1258743,98933.6934853,64768.6922691,65589.9262446
positive_target_adequate,650,390.562614979,43.7922621871,13.7670301202,357.425126559,146.019130225,211.405996334,1.366428338e-16,80893.8813383,79794.794034,113452.440677,79406.1503951,82277.2346156
surplus_0_50,32,268.074177159,24.0190677234,6.5405497984,243.745322626,210.751829392,32.9934932343,2.77555756156e-15,68873.2056341,60199.6725294,97382.2272628,64102.5497479,73988.3696238
surplus_50_100,98,292.307030102,25.9336000007,12.8665768019,263.270360566,183.987143073,79.2832174936,0,75366.1469996,68701.1092629,111961.003504,71621.4541812,79252.0146485
surplus_100_200,208,358.850485496,39.3434494268,16.8392096548,335.210979045,185.678858051,149.532120993,0,77841.0167345,70137.2129477,109666.004382,75432.4312113,80295.6877297
surplus_gt200,312,455.12928248,54.3956088899,12.7429225955,413.468278725,101.014210287,312.454068438,0,85898.2897528,87781.2064761,116218.603337,84164.2948764,87716.8942677
positive_target_shortfall,473,352.489539612,41.3538334018,18.2798057676,331.010580945,341.161447961,24.4641767917,45.6411871701,78311.7358751,73843.241275,118259.45768,76524.9279681,80223.3320025
pure_quantity,118,287.045826365,27.9401898761,16.2632883194,269.288661804,358.260593377,0,88.9719315728,72982.9465649,69586.3772418,100825.422957,69961.9113436,75920.0941059
pure_location,203,408.39354222,52.1132293341,17.6253106855,381.523304796,324.52056774,57.0027370566,14.4028348256,82226.1527404,77998.3417976,120429.101411,79193.6953524,85225.0858266
mixed,152,328.633260885,37.3976002555,20.719355508,311.465209346,350.111444841,0,53.7224877385,77220.7524209,73929.5532589,114383.838431,74141.7116042,80267.3573235
ordinary_shortage_paths,550,396.113789893,54.6343618604,36.4473576271,384.871535427,237.131263732,164.225393663,21.437153888,86040.2666393,84078.9852893,119357.541017,84471.4936921,87605.8672891
difficult4,245,353.695141788,42.2228070423,19.5683653645,331.145227677,353.635385264,8.4903482032,47.8405788407,79607.749952,77169.0526719,119724.555062,76874.1629887,82258.9491148
extreme1,62,318.760398936,33.7866315478,26.8629575372,314.779416528,452.914525685,0,139.720010978,75368.3654764,69586.3772418,101878.262633,71589.0749196,79316.1871699
