a0,loc0,lfw0,seed_id,base_seed,derived_seed,mode,a6_Vmax_mps,N,contains_a6_path_count,contains_a6_path_share,D_mean_kg,D_q95_kg,D_q99_kg,full_loss_probability,A0_pair_share,reachable_pair_share,C_reachable_mean_km,C_reachable_q95_km,W3_failed_lines_mean,W3_failed_lines_q95,W3_closed_roads_mean,W3_closed_roads_q95,D_upper_bound_hit_share,D_min_kg,D_max_kg,nonfinite_count,negative_value_count,invalid_A_or_C_count
5,4,0,1,20260723,22760798,M0,55.5,2000,31,0.0155,341.05474183782,607.969887897881,607.969887897881,0.0905,0.142176767676768,0.857823232323233,21.3679207119931,27.0707095053167,10.0335,21,5.4405,16,0.0905,0,607.969887897881,0,0,0
5,4,0,1,20260723,22760798,M6_MEDIAN,60,2000,31,0.0155,341.241033194228,607.969887897881,607.969887897881,0.0915,0.14286994949495,0.857130050505051,21.369501634575,27.0768860124483,10.0705,22,5.4935,16,0.0915,0,607.969887897881,0,0,0
5,4,0,1,20260723,22760798,M6_Q90,75,2000,31,0.0155,341.859504132231,607.969887897881,607.969887897881,0.0925,0.145375,0.854625,21.3196804399478,27.0707095053167,10.1765,22,5.6435,16,0.0925,0,607.969887897881,0,0,0
5,4,0,1,20260723,22760798,M6_Q95,80,2000,31,0.0155,341.867686768677,607.969887897881,607.969887897881,0.093,0.145772727272727,0.854227272727273,21.3041873866305,27.0707095053167,10.196,22,5.7,16,0.093,0,607.969887897881,0,0,0
2,6,0,1,20260723,20860741,M0,55.5,2000,0,0,0.86490467228541,0,0,0,0.000236111111111111,0.999763888888889,19.0171303627163,19.0137618887991,0.028,0,0.015,0,0,0,394.403076671303,0,0,0
2,6,0,1,20260723,20860741,M6_MEDIAN,60,2000,0,0,0.86490467228541,0,0,0,0.000236111111111111,0.999763888888889,19.0171303627163,19.0137618887991,0.028,0,0.015,0,0,0,394.403076671303,0,0,0
2,6,0,1,20260723,20860741,M6_Q90,75,2000,0,0,0.86490467228541,0,0,0,0.000236111111111111,0.999763888888889,19.0171303627163,19.0137618887991,0.028,0,0.015,0,0,0,394.403076671303,0,0,0
2,6,0,1,20260723,20860741,M6_Q95,80,2000,0,0,0.86490467228541,0,0,0,0.000236111111111111,0.999763888888889,19.0171303627163,19.0137618887991,0.028,0,0.015,0,0,0,394.403076671303,0,0,0
2,1,0,1,20260723,20360726,M0,55.5,2000,1,0.0005,2.86064970133377,0,112.102119302839,0,0.000196969696969697,0.99980303030303,19.0250545335282,19.0137618887991,0.0835,0,0.0275,0,0,0,498.32255952868,0,0,0
2,1,0,1,20260723,20360726,M6_MEDIAN,60,2000,1,0.0005,2.87319641055015,0,112.102119302839,0,0.000207070707070707,0.999792929292929,19.0252342354986,19.0137618887991,0.0865,0,0.0295,0,0,0,498.32255952868,0,0,0
2,1,0,1,20260723,20360726,M6_Q90,75,2000,1,0.0005,2.87319641055015,0,112.102119302839,0,0.000319444444444444,0.999680555555556,19.0251684920448,19.0137618887991,0.0895,0,0.0355,0,0,0,498.32255952868,0,0,0
2,1,0,1,20260723,20360726,M6_Q95,80,2000,1,0.0005,2.87319641055015,0,112.102119302839,0,0.000343434343434343,0.999656565656566,19.0246702916498,19.0137618887991,0.0915,0,0.037,0,0,0,498.32255952868,0,0,0
4,4,0,1,20260723,22060777,M0,55.5,2000,24,0.012,160.944821754903,486.866868505032,607.969887897881,0.0155,0.0416300505050505,0.95836994949495,19.905971753735,23.2312280000968,4.5265,16,1.952,10,0.0155,0,607.969887897881,0,0,0
4,4,0,1,20260723,22060777,M6_MEDIAN,60,2000,24,0.012,161.115293347517,496.686032239588,607.969887897881,0.0165,0.042364898989899,0.957635101010101,19.8919477112357,23.2100053156926,4.552,17,1.98,10,0.0165,0,607.969887897881,0,0,0
4,4,0,1,20260723,22060777,M6_Q90,75,2000,24,0.012,161.439598505305,496.686032239588,607.969887897881,0.021,0.0442840909090909,0.955715909090909,19.8173823731809,23.2100053156926,4.644,17,2.108,10,0.021,0,607.969887897881,0,0,0
4,4,0,1,20260723,22060777,M6_Q95,80,2000,24,0.012,161.495240433134,498.868068625044,607.969887897881,0.021,0.0447222222222222,0.955277777777778,19.8131894562686,23.2100053156926,4.6525,17,2.1545,10,0.021,0,607.969887897881,0,0,0
6,7,0,1,20260723,23760828,M0,55.5,2000,755,0.3775,257.574121048468,607.969887897881,607.969887897881,0.0565,0.106661616161616,0.893338383838384,20.839743423667,27.4475286337876,7.571,21,3.919,16,0.0565,0,607.969887897881,0,0,0
6,7,0,1,20260723,23760828,M6_MEDIAN,60,2000,755,0.3775,286.107656220167,607.969887897881,607.969887897881,0.0865,0.135015151515152,0.864984848484849,21.2407927623426,29.0743195193048,8.377,23,4.642,17,0.0865,0,607.969887897881,0,0,0
6,7,0,1,20260723,23760828,M6_Q90,75,2000,755,0.3775,330.359217739955,607.969887897881,607.969887897881,0.1935,0.265867424242424,0.734132575757576,20.6416686781471,32.8034456917035,11.7345,32,8.076,29,0.1935,0,607.969887897881,0,0,0
6,7,0,1,20260723,23760828,M6_Q95,80,2000,755,0.3775,336.278400567329,607.969887897881,607.969887897881,0.2335,0.306484848484849,0.693515151515152,19.5181195307665,31.2921697556116,12.84,32,9.3915,34,0.2335,0,607.969887897881,0,0,0
5,4,0,2,20260724,22760799,M0,55.5,2000,33,0.0165,343.715053323514,607.969887897881,607.969887897881,0.097,0.151020202020202,0.848979797979799,21.5055367728178,27.885752600134,10.206,22,5.7575,15,0.097,0,607.969887897881,0,0,0
5,4,0,2,20260724,22760799,M6_MEDIAN,60,2000,33,0.0165,343.984534817118,607.969887897881,607.969887897881,0.0975,0.152282828282828,0.847717171717172,21.4799228207945,27.8838920138835,10.247,22,5.8235,15,0.0975,0,607.969887897881,0,0,0
5,4,0,2,20260724,22760799,M6_Q90,75,2000,33,0.0165,344.155551918828,607.969887897881,607.969887897881,0.0985,0.154212121212121,0.845787878787879,21.4227048014924,27.7783681640526,10.3345,22,5.995,16,0.0985,0,607.969887897881,0,0,0
5,4,0,2,20260724,22760799,M6_Q95,80,2000,33,0.0165,344.193737555573,607.969887897881,607.969887897881,0.1,0.15455303030303,0.84544696969697,21.4012192820256,27.7783681640526,10.346,22,6.0385,16,0.1,0,607.969887897881,0,0,0
2,6,0,2,20260724,20860742,M0,55.5,2000,0,0,1.80113465892044,0,8.18263644546273,0,0.000460858585858586,0.999539141414141,19.0196088246897,19.0137618887991,0.0655,0,0.0235,0,0,0,384.583912936748,0,0,0
2,6,0,2,20260724,20860742,M6_MEDIAN,60,2000,0,0,1.80113465892044,0,8.18263644546273,0,0.000460858585858586,0.999539141414141,19.0196088246897,19.0137618887991,0.0655,0,0.0235,0,0,0,384.583912936748,0,0,0
