a0,loc0,lfw0,seed_id,base_seed,derived_seed,mode,a6_Vmax_mps,path_group,path_count,metric,M0_mean,mode_mean,paired_difference_mean,paired_absolute_difference_mean,paired_difference_q05,paired_difference_median,paired_difference_q95,paired_difference_min,paired_difference_max,nonzero_difference_share
5,4,0,1,20260723,22760798,M6_Q90,75,contains_a6,31,A0Share,0.353698273053112,0.560035842293907,0.206337569240795,0.206337569240795,0,0.161616161616162,0.643939393939394,0,0.661616161616162,0.935483870967742
5,4,0,1,20260723,22760798,M6_Q90,75,contains_a6,31,reachableShare,0.646301726946888,0.439964157706093,-0.206337569240795,0.206337569240795,-0.643939393939394,-0.161616161616162,0,-0.661616161616162,0,0.935483870967742
5,4,0,1,20260723,22760798,M6_Q90,75,contains_a6,31,CScenarioMean,21.8732619932087,18.7609863773868,-3.11227561582195,4.58859452044474,-18.9822983906798,-0.359588946648493,6.82252858803638,-37.7014389384139,7.23415319125565,1
5,4,0,1,20260723,22760798,M6_Q90,75,contains_a6,31,W3Failed,19.5483870967742,28.7741935483871,9.2258064516129,9.2258064516129,2,8,20,0,21,0.967741935483871
5,4,0,1,20260723,22760798,M6_Q90,75,contains_a6,31,W3Closed,15.258064516129,28.3548387096774,13.0967741935484,13.0967741935484,1,15,19,0,20,0.967741935483871
5,4,0,1,20260723,22760798,M6_Q90,75,no_a6,1969,Dtotal,339.862417840657,339.862417840657,0,0,0,0,0,0,0,0
5,4,0,1,20260723,22760798,M6_Q90,75,no_a6,1969,fullLoss,0.090401218892839,0.090401218892839,0,0,0,0,0,0,0,0
5,4,0,1,20260723,22760798,M6_Q90,75,no_a6,1969,A0Share,0.138846566220868,0.138846566220868,0,0,0,0,0,0,0,0
5,4,0,1,20260723,22760798,M6_Q90,75,no_a6,1969,reachableShare,0.861153433779133,0.861153433779133,0,0,0,0,0,0,0,0
5,4,0,1,20260723,22760798,M6_Q90,75,no_a6,1969,CScenarioMean,21.3599646024361,21.3599646024361,0,0,0,0,0,0,0,0
5,4,0,1,20260723,22760798,M6_Q90,75,no_a6,1969,W3Failed,9.88369730827831,9.88369730827831,0,0,0,0,0,0,0,0
5,4,0,1,20260723,22760798,M6_Q90,75,no_a6,1969,W3Closed,5.28593194514982,5.28593194514982,0,0,0,0,0,0,0,0
5,4,0,1,20260723,22760798,M6_Q95,80,all_paths,2000,Dtotal,341.05474183782,341.867686768677,0.812944930856722,0.812944930856722,0,0,0,0,472.138122903199,0.0065
5,4,0,1,20260723,22760798,M6_Q95,80,all_paths,2000,fullLoss,0.0905,0.093,0.0025,0.0025,0,0,0,0,1,0.0025
5,4,0,1,20260723,22760798,M6_Q95,80,all_paths,2000,A0Share,0.142176767676768,0.145772727272727,0.0035959595959596,0.0035959595959596,0,0,0,0,0.813131313131313,0.015
5,4,0,1,20260723,22760798,M6_Q95,80,all_paths,2000,reachableShare,0.857823232323233,0.854227272727273,-0.0035959595959596,0.0035959595959596,0,0,0,-0.813131313131313,0,0.015
5,4,0,1,20260723,22760798,M6_Q95,80,all_paths,2000,CScenarioMean,21.3679207119931,21.3041873866305,-0.0637333253625624,0.080453331152104,0,0,0,-37.5180013510769,8.82124129765398,0.0155
5,4,0,1,20260723,22760798,M6_Q95,80,all_paths,2000,W3Failed,10.0335,10.196,0.1625,0.1625,0,0,0,0,26,0.015
5,4,0,1,20260723,22760798,M6_Q95,80,all_paths,2000,W3Closed,5.4405,5.7,0.2595,0.2595,0,0,0,0,28,0.015
5,4,0,1,20260723,22760798,M6_Q95,80,contains_a6,31,Dtotal,416.78654668986,469.234606745132,52.4480600552724,52.4480600552724,0,0,274.936584567548,0,472.138122903199,0.419354838709677
5,4,0,1,20260723,22760798,M6_Q95,80,contains_a6,31,fullLoss,0.0967741935483871,0.258064516129032,0.161290322580645,0.161290322580645,0,0,1,0,1,0.161290322580645
5,4,0,1,20260723,22760798,M6_Q95,80,contains_a6,31,A0Share,0.353698273053112,0.585695666340828,0.231997393287716,0.231997393287716,0.00757575757575757,0.169191919191919,0.666666666666667,0,0.813131313131313,0.967741935483871
5,4,0,1,20260723,22760798,M6_Q95,80,contains_a6,31,reachableShare,0.646301726946888,0.414304333659172,-0.231997393287716,0.231997393287716,-0.666666666666667,-0.169191919191919,-0.00757575757575757,-0.813131313131313,0,0.967741935483871
5,4,0,1,20260723,22760798,M6_Q95,80,contains_a6,31,CScenarioMean,21.8732619932087,17.7614345504627,-4.11182744274596,5.19053749368413,-25.0600856044708,-0.422857287518568,3.42504284408028,-37.5180013510769,8.82124129765398,1
5,4,0,1,20260723,22760798,M6_Q95,80,contains_a6,31,W3Failed,19.5483870967742,30.0322580645161,10.4838709677419,10.4838709677419,2,9,22,0,26,0.967741935483871
5,4,0,1,20260723,22760798,M6_Q95,80,contains_a6,31,W3Closed,15.258064516129,32,16.741935483871,16.741935483871,6,17,24,0,28,0.967741935483871
5,4,0,1,20260723,22760798,M6_Q95,80,no_a6,1969,Dtotal,339.862417840657,339.862417840657,0,0,0,0,0,0,0,0
5,4,0,1,20260723,22760798,M6_Q95,80,no_a6,1969,fullLoss,0.090401218892839,0.090401218892839,0,0,0,0,0,0,0,0
5,4,0,1,20260723,22760798,M6_Q95,80,no_a6,1969,A0Share,0.138846566220868,0.138846566220868,0,0,0,0,0,0,0,0
5,4,0,1,20260723,22760798,M6_Q95,80,no_a6,1969,reachableShare,0.861153433779133,0.861153433779133,0,0,0,0,0,0,0,0
5,4,0,1,20260723,22760798,M6_Q95,80,no_a6,1969,CScenarioMean,21.3599646024361,21.3599646024361,0,0,0,0,0,0,0,0
