a0,loc0,lfw0,metric,mode,step3e_M0_three_seed_mean,step3e_M0_seed_std,step3e_M0_seed_range,mode_three_seed_mean,mode_shift_vs_M0,absolute_mode_shift_vs_M0,shift_over_seed_std,shift_over_seed_range
5,4,0,D_mean_kg,M0,342.294774932038,1.3392836053713,2.66031148569397,342.294774932038,0,0,0,0
5,4,0,D_mean_kg,M6_MEDIAN,342.294774932038,1.3392836053713,2.66031148569397,342.523297784324,0.228522852285266,0.228522852285266,0.170630665057615,0.0859007877514215
5,4,0,D_mean_kg,M6_Q90,342.294774932038,1.3392836053713,2.66031148569397,342.903835838129,0.609060906090633,0.609060906090633,0.45476619264803,0.228943456195226
5,4,0,D_mean_kg,M6_Q95,342.294774932038,1.3392836053713,2.66031148569397,342.952113393157,0.657338461118854,0.657338461118854,0.490813490497865,0.247090787922295
5,4,0,D_q95_kg,M0,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
5,4,0,D_q95_kg,M6_MEDIAN,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
5,4,0,D_q95_kg,M6_Q90,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
5,4,0,D_q95_kg,M6_Q95,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
5,4,0,D_q99_kg,M0,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
5,4,0,D_q99_kg,M6_MEDIAN,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
5,4,0,D_q99_kg,M6_Q90,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
5,4,0,D_q99_kg,M6_Q95,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
5,4,0,full_loss_probability,M0,0.0943333333333333,0.00340342964277703,0.00650000000000001,0.0943333333333333,0,0,0,0
5,4,0,full_loss_probability,M6_MEDIAN,0.0943333333333333,0.00340342964277703,0.00650000000000001,0.0948333333333333,0.000499999999999987,0.000499999999999987,0.146910632062313,0.0769230769230748
5,4,0,full_loss_probability,M6_Q90,0.0943333333333333,0.00340342964277703,0.00650000000000001,0.0965,0.00216666666666665,0.00216666666666665,0.636612738936704,0.33333333333333
5,4,0,full_loss_probability,M6_Q95,0.0943333333333333,0.00340342964277703,0.00650000000000001,0.0971666666666667,0.00283333333333333,0.00283333333333333,0.832493581686463,0.435897435897434
5,4,0,A0_pair_share,M0,0.146013468013468,0.00453633297261311,0.00884343434343399,0.146013468013468,1.38777878078145e-16,1.38777878078145e-16,3.05925246043399e-14,1.5692758343503e-14
5,4,0,A0_pair_share,M6_MEDIAN,0.146013468013468,0.00453633297261311,0.00884343434343399,0.146901936026936,0.000888468013468147,0.000888468013468147,0.195855996204872,0.100466400152313
5,4,0,A0_pair_share,M6_Q90,0.146013468013468,0.00453633297261311,0.00884343434343399,0.149185185185185,0.0031717171717173,0.0031717171717173,0.699180856181786,0.358652198743604
5,4,0,A0_pair_share,M6_Q95,0.146013468013468,0.00453633297261311,0.00884343434343399,0.149550084175084,0.0035366161616163,0.0035366161616163,0.779620055002062,0.399914334665937
5,4,0,C_reachable_mean_km,M0,21.4249496099576,0.0717689970175218,0.137616060824698,21.4249496099576,-1.4210854715202e-14,1.4210854715202e-14,1.9800826688065e-13,1.03264507282362e-13
5,4,0,C_reachable_mean_km,M6_MEDIAN,21.4249496099576,0.0717689970175218,0.137616060824698,21.4194432249427,-0.00550638501489686,0.00550638501489686,0.0767237281238935,0.0400126626347137
5,4,0,C_reachable_mean_km,M6_Q90,21.4249496099576,0.0717689970175218,0.137616060824698,21.3628113460566,-0.0621382639009767,0.0621382639009767,0.865809283719071,0.451533516717438
5,4,0,C_reachable_mean_km,M6_Q95,21.4249496099576,0.0717689970175218,0.137616060824698,21.346510943736,-0.0784386662216114,0.0784386662216114,1.09293245664923,0.569981917456063
5,4,0,W3_failed_lines_mean,M0,10.074,0.11712493329774,0.2235,10.074,0,0,0,0
5,4,0,W3_failed_lines_mean,M6_MEDIAN,10.074,0.11712493329774,0.2235,10.1153333333333,0.0413333333333323,0.0413333333333323,0.35289952505894,0.184936614466812
5,4,0,W3_failed_lines_mean,M6_Q90,10.074,0.11712493329774,0.2235,10.2188333333333,0.144833333333334,0.144833333333334,1.23657131966221,0.64802386278897
5,4,0,W3_failed_lines_mean,M6_Q95,10.074,0.11712493329774,0.2235,10.2376666666667,0.163666666666668,0.163666666666668,1.39736828067698,0.732289336316188
5,4,0,W3_closed_roads_mean,M0,5.55583333333333,0.175249346170916,0.317,5.55583333333333,0,0,0,0
5,4,0,W3_closed_roads_mean,M6_MEDIAN,5.55583333333333,0.175249346170916,0.317,5.61816666666667,0.062333333333334,0.062333333333334,0.355683685533081,0.196635120925344
5,4,0,W3_closed_roads_mean,M6_Q90,5.55583333333333,0.175249346170916,0.317,5.7865,0.230666666666667,0.230666666666667,1.31621984165182,0.727655099894848
5,4,0,W3_closed_roads_mean,M6_Q95,5.55583333333333,0.175249346170916,0.317,5.83466666666667,0.278833333333334,0.278833333333334,1.59106632592738,0.879600420609886
2,6,0,D_mean_kg,M0,1.64789206193347,0.718724929915103,1.41273218230914,1.64789206193347,-6.66133814775094e-16,6.66133814775094e-16,9.26827200572795e-16,4.71521653655744e-16
