wind_mode,is_default,intensity_level,distribution,lower_mps,mode_mps,upper_mps,stage_quantile_rule,random_layer,upper_bound_role
fixed_representative,0,1,fixed,0,0,0,no_random_draw,none,fixed_representative_value
fixed_representative,0,2,fixed,20.8,20.8,20.8,no_random_draw,none,fixed_representative_value
fixed_representative,0,3,fixed,28.55,28.55,28.55,no_random_draw,none,fixed_representative_value
fixed_representative,0,4,fixed,37.05,37.05,37.05,no_random_draw,none,fixed_representative_value
fixed_representative,0,5,fixed,46.2,46.2,46.2,no_random_draw,none,fixed_representative_value
fixed_representative,0,6,fixed,55.5,55.5,55.5,no_random_draw,none,fixed_representative_value
stagewise_random_triangular,1,1,fixed,0,0,0,independent_q_each_W_stage,second_layer_B3_joint_consequence,fixed_zero
stagewise_random_triangular,1,2,triangular,17.2,20.8,24.4,independent_q_each_W_stage,second_layer_B3_joint_consequence,project_grade_interval
stagewise_random_triangular,1,3,triangular,24.5,28.55,32.6,independent_q_each_W_stage,second_layer_B3_joint_consequence,project_grade_interval
stagewise_random_triangular,1,4,triangular,32.7,37.05,41.4,independent_q_each_W_stage,second_layer_B3_joint_consequence,project_grade_interval
stagewise_random_triangular,1,5,triangular,41.5,46.2,50.9,independent_q_each_W_stage,second_layer_B3_joint_consequence,project_grade_interval
stagewise_random_triangular,1,6,triangular,51,55.5,60,independent_q_each_W_stage,second_layer_B3_joint_consequence,project_computational_limit_not_official_or_physical_upper_bound
