a0,loc0,lfw0,seed_id,N,nested_parent_N,prefix_start,prefix_end,record_weight,record_weight_sum,nested_in_parent_pass,resistance_seed,wind_seed,state_id,base_seed,permutation_checksum,prefix_record_id_sha256,selected_record_id_min,selected_record_id_max,selected_record_id_unique_count,q_W1_prefix_sha256,q_W2_prefix_sha256,q_W3_prefix_sha256,wind_bounds_pass,separate_wind_resistance_seed_pass,sampling_unit,weight_definition,path_probability_weighting
2,1,0,1,500,1000,1,500,0.002,1,1,20360726,350360742,1,20260723,896091526,909f5163e0ade997464bff47a43407e5cee92127f33cbd1cdba3e8dd5082ec73,6,14902,500,a8271d3ed1336c5cec3e9511d962413c6a0dbde0e5c300be7724900e5a0f8190,e08e6697d474afbbd3f54379dbd2cc1e816c6b6c0a3165d4c5f3db868c88f90a,0ab5712a579e7b61f0483f536781999bdc81ad77dbd8538e04af585e488e3557,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,1,0,1,1000,2000,1,1000,0.001,1,1,20360726,350360742,1,20260723,3723352258,397a09e1b789df18b27034ed1791fc4c2fca9640060213184de2ba91565ee1ca,6,14947,1000,a8ad06ebc035ca4bf89dbadacb36e173ad6b780ce3b8f03be4ec13ba564895ac,24a1bb6619a564dc26a84c13c3f6b7456e2659274b8add5f4e62389e4b52033a,511111be931e5a9c86e080104f2debf286106f10f846261d95fe3d94b4f6ca0a,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,1,0,1,2000,5000,1,2000,0.0005,1,1,20360726,350360742,1,20260723,15045013413,e95c4125303ced9ceece83e50eeb54b9d88c1f3cf8956fe68c66e98e65ed5c3a,6,14984,2000,907f30f315aefe5c26e74b7ee8de991ab04794eb822206911a03d2c6c37ee52a,7f960b87525016c9be4caf33bd7805a319e10379050a14977d97fac8e9fb10c4,82d12dabbd78a15ba820338dee9574f90432f4b8d0046a1772cc0625bbda4b4f,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,1,0,1,5000,10000,1,5000,0.0002,1.00000000000002,1,20360726,350360742,1,20260723,93136320681,79ea83551c305222271402ba791f9dee3ed89d2a1d257201c2f00ad42cd17262,1,15000,5000,151516622cf5a8cce3e8c50a01bda4bf0406a9b7a4522c639134efde488b4d2d,79d2258a9dd6109b6a6bab60f95bd1a4aabf40b7b53cadd117dc7402980ebb3d,57366677e661571672bfcdf958851da254e9edc49a2ac0e958198f8a1ec3f850,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,1,0,1,10000,15000,1,10000,0.0001,0.999999999999955,1,20360726,350360742,1,20260723,374836396008,c7ca133ea5b4f3ebbf2cea04c5a37451018d6ce81fc2a25c9ef3bff025fd40b2,1,15000,10000,b4ea9764827767a6efe20058ecec4791983441b133fcb2dcc18d27a85075a7a9,8745ed0e1fff00821def3b84c279edc49b7590d1ed9f19e0f6b76bf325020ea4,82e2c524c9e16403dfcf4c276d7f6f47e51db2abadf57f8f54a2e37b1bbfc474,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,1,0,1,15000,NaN,1,15000,6.66666666666667e-05,0.999999999999968,1,20360726,350360742,1,20260723,844351869943,5b0aa9c4cdb7861c3e99cfa99f0c4c6a47d067c5d3f2c2d66b48dd9e838b325c,1,15000,15000,c2a3687868dbc917acf48fad55de52d3c9dac9383c97e56950169648ada45c3b,6952da85ff84ec0993ac76dcd35cb2a092f8f1cd1f8797a55b04b4e8f93d6a7a,859dc29ead2270339052ab1260279f381efdad35c91f3af754848f65c0538703,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,1,0,2,500,1000,1,500,0.002,1,1,20360727,350360743,1,20260724,876911864,113afdaba84decedd607c617bc956a1661f18140d74b068d626457b9d0671eb6,59,14933,500,b79131f3873e4cb9d6d8b240f5a82e3f3a7437747dd8755a0a1a8ddb87349f11,26388856f204517d7dd88c088dbde5306496aea6c5aaa13a13556fc03aa7efc5,3dc8fd174ef564f740559da124506de6fb2cb0a9b6ae2c2bf174094d12d12ebf,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,1,0,2,1000,2000,1,1000,0.001,1,1,20360727,350360743,1,20260724,3621213282,7c1baac27384f9f81a1cd0a4d83be4dc44098dd7af4c49701ae86f688a23ec81,11,14978,1000,f333b95de3cd0f0a85416b5ff01d40131624413c6f1294dbd5469dfb88ed524b,ca710fe785e141a07ca3c123e5b1e0711cb0473bd013a1fce1acf038b730f62c,15e411d49f1cde03c0595e596077ce85663cfca1ec69b37de7528e09cfbfcb15,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,1,0,2,2000,5000,1,2000,0.0005,1,1,20360727,350360743,1,20260724,15122076087,863c6d4aed0ef3f30400b42714135f1a34cec08490d668e23e50c8787ae992cc,4,14998,2000,cd173bd773dfba70a304f91fa532ab27adf5181e489aca1d5fb0863c71d48ffb,e1d0adfae8cffa651e24391c17d45d7980d9e4507bf293a97eab5732813cc30f,f45cb225cdc78a5c22a0761eac35d0db100aec57ec9f09c68bf52996f77fee40,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,1,0,2,5000,10000,1,5000,0.0002,1.00000000000002,1,20360727,350360743,1,20260724,93716410964,99b8ce5172e76a6a45f25f8eff73b0299be24520dcb22a2741abd582f73d1399,2,15000,5000,bd7e68b6ecf7383cd80088efa2cad3a04c9bcdb99b0adbff3c000d8902162d60,9335b7b7579ffa9d9e6915283cc2ee0a068287184b3c03f30f37066460514dc4,245a4a7ccf86c7d242fa5b9d08dd606007104a405ae7d4a3fea97c0547c2478a,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,1,0,2,10000,15000,1,10000,0.0001,0.999999999999955,1,20360727,350360743,1,20260724,375777997376,7ab85a3627ca72f191ad56aa9a66c044a4007a3da4d68592815ba5e391ee4914,2,15000,10000,e5d7671b61ddfdf6e203475687385af54c45aeaf5f783c3b8ffc5f49decb6a23,c070bc3aacc4291651ffd8179b3e93103f40f4b72a3b09896288521465323563,0e05da5c208df0aacde6c4549fe2ae2e3d689e8fda2f4941b5a318f8cd1da6d0,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,1,0,2,15000,NaN,1,15000,6.66666666666667e-05,0.999999999999968,1,20360727,350360743,1,20260724,845314367475,6f36047d2363bf3b06a89b4cd36b17c9ac2d75cffea5e7969b5549394612e2bd,1,15000,15000,c5e6c4806ee9c7328fd909d1ec8d1407b40ee93d62df8606efaeda84b97f1e8e,169f7c292a5868c0b3de64d9c146269161cbec1ec6aaab770858ce7afd0d9610,56b2a1399338ebc9b410dd4bc39b7082e11daefe0eb73f9efe355f89c7ef5c9a,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,1,0,3,500,1000,1,500,0.002,1,1,20360728,350360744,1,20260725,955225705,6edf8a6d7762276d2b67475281e107f1bfa32cbec0f627ce119d8114a97ff50e,5,14982,500,545e21b17d2aebbb41458a152e57285522df65d56c8df31d54d4b5a680204f37,53d30d5db876c9d80148260af1de4c618441e942bcdc0c9a54be7923965a4c29,e7c7a183f69836ffebb522610275e9d3968f17c154d724e0bef85882d04e0c2a,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,1,0,3,1000,2000,1,1000,0.001,1,1,20360728,350360744,1,20260725,3757430650,c52e22ea9e4d8680fe38363857e92ecf0c2532b4f16a734b76106f42de8b5e81,4,14982,1000,07e2e73eb20c9dbd409648b77ce45e3a686f85d74e13bf376f83802072828b6b,36c1c6f8d7572ed651e2f90a4db4009eddb7ec0e7d36921b30ba3a93e8c20427,cea958766f7d7589344552919cf28f2723b0fd430448177ced5df4079fa80700,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,1,0,3,2000,5000,1,2000,0.0005,1,1,20360728,350360744,1,20260725,15234834244,8b7dac291a77ec4f8aa09c870f6dc0715c4cfe4c2ee83879adaece0654bd0dbe,4,14982,2000,ff494cf1f3f2a619358339dbac9a89778dbac5b427af81feaa0c746e0424fc20,533853342799f35d9a029b4f83c5e73986134838320d67b83a8f3cc0d1fdb797,a9785a3864cd4bc966bef76d260dd06023e6761b627aa91b0319bb3b9b87db6d,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,1,0,3,5000,10000,1,5000,0.0002,1.00000000000002,1,20360728,350360744,1,20260725,92917170300,c741b57b37d9bb990553a2cfb8b46a811bf407f3c0676924b415d7b2e115ca77,4,14998,5000,19e6ba456c89be3ba4c7ad326f6864cd12fc5c2e56d9dc67a30e2d8198c99d96,c2f59e5108931e37838f2b47fc14a7c68420b878a187a7ed6b0f532c8083fa1e,9d4d45a81b2d7143805bbe0033a3d17d8729ab12fd493916ac2786a93a478ce8,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,1,0,3,10000,15000,1,10000,0.0001,0.999999999999955,1,20360728,350360744,1,20260725,373080953846,05c8995d2840ff0480d443cc9f3da79d91fda4b4403d325716fa668c920703c0,2,15000,10000,0e9f5f7673fa80a039c81eb960aba61290be37ba036b02af54442195d63d9745,f5cfc8452fb1aebc5bd8b589c45bae13072f5ac1781ab4e881e08d24d5862a9b,71793f19de81916654f1cc7b5b03745564f124919a328b3b709db10e5c2c96b2,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,1,0,3,15000,NaN,1,15000,6.66666666666667e-05,0.999999999999968,1,20360728,350360744,1,20260725,844181844531,2cc07033eee519e6102a30a30d3d38e0f1562f6a5e043533c9e01320a19564d5,1,15000,15000,af08bffa3dcbead9ae263d6de558e0e556986ae3e349620e60e1623d4cbf3080,1d749baf2bf5267054a576ff3e8e0624e2950108c3121faad6e51fa1904179fc,e00c3017bd9604ce5cfab07fe27cfc9870e87a562b3b73fe966dc80397b61f45,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,2,0,1,500,1000,1,500,0.002,1,1,20460729,350460761,2,20260723,949636013,508b688ce99a53ccd371970982341b0fe263f301c1b3f9b1a7aed2e4e461decf,7,14982,500,85b4934d0e1e502782c51c647f9086e6fff05f0444759fe4c6260ab08ed891dd,19ae9afa775515661f7a08eaef1d0f72c47fafda71cc864511a7d678554ac518,973767f4b59a8e1c64833ea18f9e9f5c5718603c6c41a31c6d41a3660b0feb02,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,2,0,1,1000,2000,1,1000,0.001,1,1,20460729,350460761,2,20260723,3733712303,1dfc7b5b02f2a2d48d5f2bba587e43152e8dfed8938623687bf3835d973c0a6c,7,15000,1000,b8561faff70bc21994c298269b10ac43121f161cc403a3369ac755fbb99a4ca6,dbd06784cbe609b18a6094bc11de66ec73449815db5b9c445baff7b99bb66982,9ae1b84910df5dca7556a74afd320564932c5a6be9afb6ae9c9aed499081a64b,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,2,0,1,2000,5000,1,2000,0.0005,1,1,20460729,350460761,2,20260723,14761968046,40bf74eba5084ca72d3191ed99f53853ef4dbb56619375a7f54209a89b2598fa,7,15000,2000,3e9b7220732891b4cebc0777b57c702a18077534b93126c89ef4413fa18f7266,6dcf3777df45ff90eb380e650fa012a8b6724de7f6e8717a7281023e30f84864,e7574a3a1dd92500d8660b09895c30e832e3293ff07b6b14d3d894f58688a2c1,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,2,0,1,5000,10000,1,5000,0.0002,1.00000000000002,1,20460729,350460761,2,20260723,94005724468,a10e249a48156f123b691554b7d010e0150da6bee8379db157a7d56be9500137,3,15000,5000,58a161c6810844c783b54423e9778c7af6abc552e4ab5cfa2c8d3ff77af32a51,ff701695a805a033f106fcbf1955b7c7eb01b5ebeca3561cd608a4ce2640d305,71cb2cba9c73d04c3711f333cf51e37c4836d54fc2d011ef83cfd60ac998a6b3,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,2,0,1,10000,15000,1,10000,0.0001,0.999999999999955,1,20460729,350460761,2,20260723,377840155826,43f6f1023b0baa94ce3cacbb1d4c518c627362db5928af9d2500c8f4e70d8359,3,15000,10000,8a33c64ef0b67f3591f0a8f19c5581ca5d7d58fa844d9701aeb3703dfd671ee2,09214dccc7e02f2349f174be68505286b632395528fb3026e9adb74e5947d38c,627a586052982835948e98a5fa530530730d53b0c9083a4cfafaaa54bac6ab59,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
2,2,0,1,15000,NaN,1,15000,6.66666666666667e-05,0.999999999999968,1,20460729,350460761,2,20260723,843995350667,4ee513958a84b9fc79c8a443e03b53d9e9be5beb7de40ead453f86b7ea5a719d,1,15000,15000,5e9dce9c85fce2ce92854714902002029317ea2a83e8df81bcd21513e3d91280,b82dea1416f395946f32e995ec5d05bd3e3bead95812d4eb4e4703e508f823df,712324ea47891709d85a84efe7f40cf649b85f9c5189532595abf6b9d70ba006,1,1,main_sample_record_prefix,each selected record has weight 1/N,path_probability_not_reused
