a0,loc0,lfw0,seed_id,base_seed,derived_seed,N,D_mean_kg,D_q95_kg,D_q99_kg,full_loss_probability,D_upper_bound_hit_share,A0_pair_share,reachable_pair_share,C_reachable_mean_km,C_reachable_q95_km,W3_failed_lines_mean,W3_failed_lines_q95,W3_closed_roads_mean,W3_closed_roads_q95,D_min_kg,D_max_kg,A0_min,A0_max,C_mean_min_km,C_mean_max_km,D_nonfinite_count,C_nonfinite_count,D_negative_count,C_negative_count,A_invalid_scenario_count,C_invalid_value_count
2,1,0,1,20260723,20360726,500,3.00848266644846,0,156.015601560156,0,0,0.000196969696969697,0.99980303030303,19.0288374224951,19.0137618887991,0.11,0,0.028,0,0,405.313258598587,0,0.0883838383838384,19.0137618887991,22.857426980331,0,0,0,0,0,0
2,1,0,1,20260723,20360726,1000,3.21277582303685,0,162.834465264708,0,0,0.000361111111111111,0.999638888888889,19.0230882442197,19.0137618887991,0.093,0,0.032,0,0,405.313258598587,0,0.262626262626263,18.8200002285096,22.857426980331,0,0,0,0,0,0
2,1,0,1,20260723,20360726,2000,3.06153342606988,0,138.28655592832,0,0,0.000244949494949495,0.999755050505051,19.0248236531532,19.0137618887991,0.09,0,0.0255,0,0,498.32255952868,0,0.262626262626263,18.8109853097581,24.4414656151971,0,0,0,0,0,0
2,1,0,1,20260723,20360726,5000,3.18211821182118,0,138.28655592832,0,0,0.000267676767676768,0.999732323232323,19.0287981411364,19.0137618887991,0.0886,0,0.0296,0,0,498.32255952868,0,0.262626262626263,18.8109853097581,25.7803505657726,0,0,0,0,0,0
2,1,0,1,20260723,20360726,10000,3.20391130022093,0,131.74044677195,0.0001,0.0001,0.000371969696969697,0.99962803030303,19.0271274684356,19.0137618887991,0.0906,0,0.0306,0,0,607.969887897881,0,0.46969696969697,18.564825235669,25.7803505657726,0,0,0,0,0,0
2,1,0,1,20260723,20360726,15000,3.09807344370801,0,125.19433761558,6.66666666666667e-05,6.66666666666667e-05,0.00044006734006734,0.999559932659933,19.0249403463613,19.0137618887991,0.0862,0,0.0292666666666667,0,0,607.969887897881,0,0.51010101010101,16.9368166157542,25.7803505657726,0,0,0,0,0,0
2,1,0,2,20260724,20360727,500,2.09966451190574,0,3.27305457818509,0,0,0.00095959595959596,0.999040404040404,19.0163046187348,19.0137618887991,0.084,0,0.032,0,0,405.313258598587,0,0.308080808080808,19.0137618887991,19.6631905903031,0,0,0,0,0,0
2,1,0,2,20260724,20360727,1000,2.52870741619616,0,66.5521097564302,0,0,0.00073989898989899,0.999260101010101,19.0223554835884,19.0137618887991,0.08,0,0.031,0,0,405.313258598587,0,0.308080808080808,19.0137618887991,23.8622010755269,0,0,0,0,0,0
2,1,0,2,20260724,20360727,2000,2.66303903117584,0,117.284455718299,0,0,0.000545454545454545,0.999454545454545,19.0235574111867,19.0137618887991,0.082,0,0.0325,0,0,405.313258598587,0,0.308080808080808,18.7243656104305,23.8622010755269,0,0,0,0,0,0
2,1,0,2,20260724,20360727,5000,3.11436598205275,0,121.921283037395,0,0,0.000425252525252525,0.999574747474748,19.0254444987929,19.0137618887991,0.0826,0,0.031,0,0,418.950986007692,0,0.467171717171717,18.3375424223646,24.3328263369221,0,0,0,0,0,0
