N,metric,value_mean_across_states_seeds,value_p05,value_median,value_p95,absolute_error_mean,absolute_error_median,absolute_error_p95,absolute_error_max,relative_error_mean,relative_error_p95,relative_error_max,seed_std_mean_across_states,seed_std_p95_across_states,seed_std_max_across_states,worst_error_a0,worst_error_loc0,worst_error_seed_id,worst_absolute_error
500,D_mean_kg,178.806514417676,1.25248888525216,160.590240842266,470.27302730273,4.39499222649539,3.12944021674974,11.6319450126831,17.5887406922507,0.11067435115405,0.575314202404275,1.23813112283346,4.50357112772821,10.1622579944511,12.6924519734273,6,4,1,17.5887406922507
500,D_q95_kg,376.931199613468,0,473.774650192292,607.969887897881,9.05804866200906,0,56.1874369255108,72.007200720072,0.0383470364658113,0.18809980806142,0.30625,11.655887809969,56.6229069842917,68.1051230118724,3,3,3,72.007200720072
500,D_q99_kg,444.106748337172,0,607.969887897881,607.969887897881,15.4794700249246,0,81.5536099064452,121.921283037395,0.12290791242183,1,1,14.1421007894025,76.6849464763137,78.8949308196281,2,2,1,121.921283037395
500,full_loss_probability,0.0535047619047619,0,0.012,0.222,0.00557333333333333,0.00233333333333334,0.0234,0.043,0.468271398146145,1.22222222222222,3.09090909090909,0.00650928191622999,0.0230072452356499,0.0343122912865541,6,3,3,0.043
500,D_upper_bound_hit_share,0.0535047619047619,0,0.012,0.222,0.00557333333333333,0.00233333333333334,0.0234,0.043,0.468271398146145,1.22222222222222,3.09090909090909,0.00650928191622999,0.0230072452356499,0.0343122912865541,6,3,3,0.043
500,A0_pair_share,0.0794494468494469,0,0.0336969696969697,0.27379797979798,0.00374911335577995,0.00147609427609417,0.0149952861952838,0.0244531986531985,0.234469293640214,1,1.27363382528919,0.00376490136190284,0.0136841002579915,0.0164377305245423,4,4,3,0.0244531986531985
500,reachable_pair_share,0.920550553150553,0.72620202020202,0.96630303030303,1,0.00374911335578003,0.00147609427609774,0.014995286195281,0.0244531986532019,0.00444773526924289,0.0198939978752002,0.0274514453454719,0.00376490136190284,0.0136841002579914,0.0164377305245423,4,4,3,0.0244531986532019
500,C_reachable_mean_km,20.293308950444,19.0157671662437,19.8648558646754,22.9610185329937,0.0708111437910521,0.0356120641366644,0.24171887884917,0.480626266846798,0.00333248808538844,0.011480600719581,0.0208161284774377,0.086518008916241,0.260973989948078,0.302488594031655,6,3,1,0.480626266846798
500,C_reachable_q95_km,23.8572205587634,19.0137618887991,23.3420351343613,31.440147209985,0.280183358534966,0.181257987635465,0.839290107560938,1.13252792987455,0.0108200129270079,0.0328133062435626,0.0404910000409461,0.29730131173812,0.783748648878344,0.877040897763636,5,1,3,1.13252792987455
500,W3_failed_lines_mean,5.36476190476191,0.04,4.55,14.772,0.151067301587302,0.0975333333333332,0.460333333333333,0.747466666666666,0.0996046867691579,0.509345794392523,0.702479338842975,0.166529075134108,0.457044126243116,0.47501298227873,6,5,1,0.747466666666666
500,W3_failed_lines_q95,13.4,0,15,27,0.628571428571429,1,2,3,0.0711090708994275,0.333333333333333,0.5,0.705770406557557,2.08166599946613,2.08166599946613,3,2,3,3
500,W3_closed_roads_mean,2.97721904761905,0.006,1.932,9.326,0.123555555555556,0.0663333333333336,0.431333333333333,0.681866666666667,0.173300194901428,0.666666666666667,1,0.140384348559819,0.439290336793333,0.591246141636459,4,4,3,0.681866666666667
500,W3_closed_roads_q95,9.03809523809524,0,9,21,0.495238095238095,0,2,3,0.0955995801584037,0.5,1,0.574467759353512,1.52752523165195,2.08166599946613,4,4,3,3
1000,D_mean_kg,178.085325415658,1.45105419632872,163.022938657502,464.350162288956,3.04494206996455,1.99378119630142,8.21409413668812,11.33355153697,0.0787813457215188,0.367245209221252,0.766279473240693,3.29974340758103,8.80822282852267,10.0215087335544,4,1,3,11.33355153697
1000,D_q95_kg,376.606491818013,0,503.232141395958,607.969887897881,6.86821928946141,0,34.9125821673076,70.6434279791615,0.0315951572284779,0.153550863723608,0.328125,8.45251401595649,45.9783596665968,46.7986718528068,3,3,1,70.6434279791615
1000,D_q99_kg,446.358921606446,0,607.969887897881,607.969887897881,11.3829564774659,0,45.8227640945913,96.009600960096,0.104640785296911,0.785714285714286,1,11.7018819121616,51.1616576393349,72.2950495413879,2,1,3,96.009600960096
1000,full_loss_probability,0.0533238095238095,0,0.015,0.223,0.00455047619047619,0.002,0.0192,0.0266,0.386227754219161,1,2.75,0.00544779176043893,0.0219393102292058,0.0265769323537035,5,3,1,0.0266
1000,D_upper_bound_hit_share,0.0533238095238095,0,0.015,0.223,0.00455047619047619,0.002,0.0192,0.0266,0.386227754219161,1,2.75,0.00544779176043893,0.0219393102292058,0.0265769323537035,5,3,1,0.0266
1000,A0_pair_share,0.0789598845598846,9.84848484848485e-05,0.0340782828282828,0.272116161616162,0.00234219977553315,0.000934511784511833,0.00838501683501615,0.0128277777777784,0.181401382568768,0.928571428571429,1.66997708174179,0.00267885333623524,0.00773088824661553,0.0107893805150299,5,5,1,0.0128277777777784
1000,reachable_pair_share,0.921040115440115,0.727883838383838,0.965921717171717,0.999901515151515,0.00234219977553298,0.000934511784510428,0.00838501683501292,0.0128277777777814,0.00272415384982702,0.00960609365048849,0.0171488441397691,0.00267885333623527,0.00773088824661558,0.0107893805150299,5,5,1,0.0128277777777814
1000,C_reachable_mean_km,20.2860568399493,19.0176769814548,19.9179531881941,22.8469817081849,0.0436476039862125,0.0159863906997479,0.179106790782921,0.298663669553175,0.00205082965026165,0.00775359556929563,0.0143570308155942,0.0591721635770157,0.216739570201448,0.216994738867904,6,7,3,0.298663669553175
1000,C_reachable_q95_km,23.8903807542655,19.0137618887991,23.538536175067,31.6181567802483,0.205683564997,0.126110616655691,0.60846997480693,0.91207906828857,0.00785887943025552,0.0245537291879311,0.0313398428066503,0.245380609032184,0.684839368812109,0.776700838257557,6,6,3,0.91207906828857
1000,W3_failed_lines_mean,5.34240952380952,0.044,4.594,14.67,0.112554920634921,0.0838666666666666,0.361000000000001,0.456066666666667,0.0818309391596033,0.41340782122905,0.649532710280374,0.131452721028081,0.267624737272174,0.287209563443374,4,4,3,0.456066666666667
1000,W3_failed_lines_q95,13.3809523809524,0,15,27,0.476190476190476,0,1,2,0.0507125431898602,0.166666666666667,0.333333333333333,0.429277302225908,1.52752523165195,1.52752523165195,3,2,3,2
1000,W3_closed_roads_mean,2.96013333333333,0.011,1.959,9.261,0.0862514285714285,0.0461333333333336,0.291733333333333,0.4414,0.136462079551325,0.597402597402597,0.983471074380165,0.104852522308969,0.255773988773944,0.297143624083259,6,5,1,0.4414
1000,W3_closed_roads_q95,9.05714285714286,0,9,21,0.323809523809524,0,1,2,0.0696101012277483,0.5,1,0.329914439536929,0.577350269189626,1.15470053837925,4,3,2,2
2000,D_mean_kg,178.499552552658,1.77004064042768,166.59411395685,464.067179445216,2.10795027554716,1.65265617470953,5.95312258498591,7.21141205029406,0.0586630373834242,0.329532234123641,0.694775367227904,2.2886542824009,5.92561924666416,6.23733329122131,4,1,3,7.21141205029406
2000,D_q95_kg,377.889737025651,0,501.595614106865,607.969887897881,4.55629978582274,0,29.1847366554837,42.004200420042,0.024714633652572,0.137992831541219,0.328125,5.43578945253617,28.0570624654988,45.1236384323974,3,1,2,42.004200420042
2000,D_q99_kg,450.572329960269,21.2748547582031,607.969887897881,607.969887897881,7.56439280291665,0,39.2766549382211,68.7341461418869,0.074156444214033,0.387755102040816,1.84615384615385,10.5840575531441,47.6938450086341,59.5582108109651,4,7,1,68.7341461418869
2000,full_loss_probability,0.0533761904761905,0,0.0185,0.2235,0.00246698412698413,0.0008,0.00936666666666666,0.0166666666666667,0.372474234046051,1,6.5,0.00312809458131467,0.0127671453348037,0.016750621879003,6,2,1,0.0166666666666667
2000,D_upper_bound_hit_share,0.0533761904761905,0,0.0185,0.2235,0.00246698412698413,0.0008,0.00936666666666666,0.0166666666666667,0.372474234046051,1,6.5,0.00312809458131467,0.0127671453348037,0.016750621879003,6,2,1,0.0166666666666667
2000,A0_pair_share,0.0791075998075999,0.000244949494949495,0.0359861111111111,0.278506313131313,0.0016762065095397,0.00113358585858303,0.00584158249158589,0.00726759259259253,0.144919582839523,0.575768667642752,0.911001556824079,0.00163762645035301,0.00387827140888923,0.00697279669121881,4,4,3,0.00726759259259253
2000,reachable_pair_share,0.9208924001924,0.721493686868688,0.964013888888889,0.999755050505051,0.00167620650953959,0.00113358585858181,0.00584158249158673,0.00726759259259557,0.00194681076961585,0.00739744607572314,0.00969009234515175,0.00163762645035302,0.00387827140888941,0.00697279669121877,4,4,3,0.00726759259259557
