N,formal_threshold_available,formal_threshold_source,formal_absolute_error_threshold,formal_relative_error_threshold,max_p95_relative_error_across_metrics,max_relative_error_across_metrics,max_p95_seed_std_across_metrics,recommended,recommendation_basis,recommendation_status,recommended_N,fixed_wind_recommended_N,recommendation_matches_fixed_wind,comparison_to_fixed_wind
500,0,none found for B3 D/A/C consequence stability,NaN,NaN,1.22222222222222,3.09090909090909,76.6849464763137,0,conservative maximum tested N because no accepted B3 consequence threshold exists,"diagnostic recommendation, not threshold acceptance",15000,15000,1,unchanged from fixed_representative
1000,0,none found for B3 D/A/C consequence stability,NaN,NaN,1,2.75,51.1616576393349,0,conservative maximum tested N because no accepted B3 consequence threshold exists,"diagnostic recommendation, not threshold acceptance",15000,15000,1,unchanged from fixed_representative
2000,0,none found for B3 D/A/C consequence stability,NaN,NaN,1,6.5,47.6938450086341,0,conservative maximum tested N because no accepted B3 consequence threshold exists,"diagnostic recommendation, not threshold acceptance",15000,15000,1,unchanged from fixed_representative
5000,0,none found for B3 D/A/C consequence stability,NaN,NaN,1,2,42.0855936982482,0,conservative maximum tested N because no accepted B3 consequence threshold exists,"diagnostic recommendation, not threshold acceptance",15000,15000,1,unchanged from fixed_representative
10000,0,none found for B3 D/A/C consequence stability,NaN,NaN,0.5,0.777777777777778,16.386473401385,0,conservative maximum tested N because no accepted B3 consequence threshold exists,"diagnostic recommendation, not threshold acceptance",15000,15000,1,unchanged from fixed_representative
15000,0,none found for B3 D/A/C consequence stability,NaN,NaN,0,0,7.55058949422017,1,conservative maximum tested N because no accepted B3 consequence threshold exists,"diagnostic recommendation, not threshold acceptance",15000,15000,1,unchanged from fixed_representative
