bin_order,delta_i_bin_kg,path_count,path_share,n,mean,median,q25,q75,q95,min,max
1,<=1,4408,0.4408,4408,-0.003349614216615635,0.0,0.0,0.0,0.0,-9.63310339183397,0.8520154377059725
2,1-10,487,0.0487,487,7.283886940416863,8.09620852234309,5.300848130999441,9.101666492096,9.748322064990989,1.224216860931051,9.934448844082963
3,10-20,1093,0.1093,1093,15.364154099161963,16.416296517978992,14.57324572386699,16.689051063517013,18.387724358326977,10.06801297665004,19.903230680766
4,20-30,1545,0.1545,1545,24.79532573838934,25.00214612495995,21.819510223902,28.069438480553004,29.39363191394301,20.00719917430598,29.879716603738984
5,30-50,2288,0.2288,2288,37.8340915295755,37.44,33.524645587903024,41.89840805393999,47.61690384096422,30.00642282456397,49.84924615886303
6,50-100,179,0.0179,179,55.58208770742423,55.12649677817598,51.27717501975599,59.396444680881984,65.06877956072292,50.10669709566696,79.01864979089703
7,>100,0,0.0,0,,,,,,,
