group_variable,group,metric,path_count,n,mean,median,q25,q75,q95,min,max
terminal_hit,non_terminal_hit,delta_final_inventory,3947,3947,7.54701479468104,0.0,0.0,12.113899657349009,36.00410125672571,-1.0231815394945445e-12,60.184153935399024
terminal_hit,non_terminal_hit,delta_production,3947,3947,7.520913092056522,0.0,0.0,11.961709308944023,36.004101256725725,0.0,60.18415393539897
terminal_hit,non_terminal_hit,delta_htt,3947,3947,5.288707651628135,0.0,0.0,8.852528095843496,26.3070341889494,-33.537451281352205,67.9380067162664
terminal_hit,non_terminal_hit,delta_ordinary_shortage,3947,3947,0.026101702624508165,0.0,0.0,0.0,0.0,0.0,10.8891449579783
terminal_hit,non_terminal_hit,delta_operating_cost,3947,3947,415.6385744780925,0.0,0.0,884.9227389263015,1830.1791955139,-1223.446244646897,3620.8443810659
terminal_hit,terminal_hit,delta_final_inventory,6053,6053,20.710360856005725,21.597589902913,0.0,34.13709183896202,46.22229138157502,-9.63310339183397,79.01864979089703
terminal_hit,terminal_hit,delta_production,6053,6053,20.32401936304321,21.597589902913,0.0,34.137091838961965,46.22229138157502,-9.633103391832949,79.01864979089697
terminal_hit,terminal_hit,delta_htt,6053,6053,11.028549270347014,11.8641831995289,2.934263794132505,19.484425351261297,34.668018869475226,-62.61469977597629,67.9380067162664
terminal_hit,terminal_hit,delta_ordinary_shortage,6053,6053,0.38634149296269005,0.0,0.0,0.0,0.0,-6.25515740283501,20.407745879208804
terminal_hit,terminal_hit,delta_operating_cost,6053,6053,1065.7576374697906,1113.8481342313007,423.776276089,1636.5898783847988,2440.5670651152973,-1944.482514907599,5285.671758180702
