delta_i_bin_kg,feature,n,mean,median,q25,q75,q95,min,max
<=1,path_max_intensity,4408,2.364110707803993,2.0,2.0,2.0,4.0,2.0,6.0
<=1,path_mean_intensity,4408,2.181543297899923,2.0,2.0,2.0,3.1883333333333215,2.0,4.333333333333333
<=1,preterminal_intensity,4408,2.3005898366606172,2.0,2.0,2.0,4.0,2.0,6.0
<=1,appeared_intensity_ge5,4408,0.030852994555353903,0.0,0.0,0.0,0.0,0.0,1.0
<=1,high_intensity_state_count_ge5,4408,0.044237749546279494,0.0,0.0,0.0,0.0,0.0,4.0
<=1,intensity_change_count,4408,0.38997277676951,0.0,0.0,0.0,2.0,0.0,5.0
<=1,net_intensity_change,4408,0.30058983666061706,0.0,0.0,0.0,2.0,0.0,4.0
<=1,loc_change_count,4408,1.6134301270417424,1.0,0.0,3.0,4.0,0.0,6.0
<=1,loc_span,4408,1.8702359346642468,2.0,0.0,3.0,5.0,0.0,6.0
<=1,terminal_hit_loc,1642,3.8166869671132764,4.0,2.0,5.0,7.0,1.0,7.0
<=1,preparation_stage_count,4408,2.5174682395644283,3.0,2.0,3.0,5.0,1.0,6.0
<=1,production_opportunity_count,4408,2.5174682395644283,3.0,2.0,3.0,5.0,1.0,6.0
<=1,saa_ordinary_shortage,4408,17.25716566622544,0.0,0.0,0.0,128.599871400632,0.0,144.0
<=1,saa_production,4408,226.63319537437172,270.27,180.18,270.27,450.45,90.09,540.54
<=1,saa_final_inventory,4408,322.823562625552,315.177093140662,281.625101509697,315.177093140662,511.598280672679,241.328280672679,630.424169080747
<=1,saa_operating_cost,4408,10792.125324788376,8424.12652376615,4703.12766910912,9670.4020810666,39432.99866600877,1515.10641403363,49622.885615473
<=1,saa_surplus_total_kg,1642,193.53924000036352,281.6251015096968,30.813011327561878,315.1770931406621,371.7151015096973,0.0,551.8951015096982
<=1,offline_saa_terminal_loh_total_kg,1642,223.13655612599098,185.7458473120039,0.0,405.3132585985871,607.7444903581256,0.0,671.79445217249
<=1,offline_delta_terminal_loh_total_kg,1642,52.74399788683392,40.91403055283792,23.184152922675253,79.48533710376347,113.73862191230194,0.0,114.55694084819706
<=1,offline_saa_mean_eens_kwh,1642,84.61906824705679,51.214333333333336,43.43266666666674,65.74533333333332,303.5136783333204,19.020333333333333,1001.5048949999998
<=1,offline_saa_q95_shortage_kg,1642,14.640874451745944,0.0,0.0,13.092218312740364,96.60966096609285,0.0,212.49079453399884
<=1,offline_saa_q99_5_shortage_kg,1642,175.72419405599072,171.56261080653522,145.1054196328724,220.11292038294727,226.65902953931752,61.64252788915254,324.0324032403241
<=1,offline_saa_max_shortage_kg,1642,438.39363451348794,409.9500859176828,333.03330333033296,576.8758694051222,607.9698878978803,267.84496631481335,607.9698878978803
1-10,path_max_intensity,487,2.691991786447639,2.0,2.0,3.0,5.0,2.0,6.0
1-10,path_mean_intensity,487,2.367057788207685,2.0,2.0,2.775,3.4285714285714284,2.0,4.142857142857143
1-10,preterminal_intensity,487,2.5482546201232035,2.0,2.0,3.0,4.0,2.0,5.0
1-10,appeared_intensity_ge5,487,0.059548254620123205,0.0,0.0,0.0,1.0,0.0,1.0
