comparison_group,path_count,feature,n,mean,median,q25,q75,q95,min,max
delta_i_le_1,4408,path_max_intensity,4408,2.364110707803993,2.0,2.0,2.0,4.0,2.0,6.0
delta_i_le_1,4408,path_mean_intensity,4408,2.181543297899923,2.0,2.0,2.0,3.1883333333333215,2.0,4.333333333333333
delta_i_le_1,4408,appeared_intensity_ge5,4408,0.030852994555353903,0.0,0.0,0.0,0.0,0.0,1.0
delta_i_le_1,4408,high_intensity_state_count_ge5,4408,0.044237749546279494,0.0,0.0,0.0,0.0,0.0,4.0
delta_i_le_1,4408,preparation_stage_count,4408,2.5174682395644283,3.0,2.0,3.0,5.0,1.0,6.0
delta_i_le_1,4408,saa_ordinary_shortage,4408,17.25716566622544,0.0,0.0,0.0,128.599871400632,0.0,144.0
delta_i_le_1,4408,saa_production,4408,226.63319537437172,270.27,180.18,270.27,450.45,90.09,540.54
delta_i_le_1,4408,saa_final_inventory,4408,322.823562625552,315.177093140662,281.625101509697,315.177093140662,511.598280672679,241.328280672679,630.424169080747
delta_i_le_1,4408,saa_operating_cost,4408,10792.125324788376,8424.12652376615,4703.12766910912,9670.4020810666,39432.99866600877,1515.10641403363,49622.885615473
delta_i_le_1,4408,saa_surplus_total_kg,1642,193.53924000036352,281.6251015096968,30.813011327561878,315.1770931406621,371.7151015096973,0.0,551.8951015096982
delta_i_le_1,4408,offline_saa_terminal_loh_total_kg,1642,223.13655612599098,185.7458473120039,0.0,405.3132585985871,607.7444903581256,0.0,671.79445217249
delta_i_le_1,4408,offline_delta_terminal_loh_total_kg,1642,52.74399788683392,40.91403055283792,23.184152922675253,79.48533710376347,113.73862191230194,0.0,114.55694084819706
delta_i_le_1,4408,offline_saa_mean_eens_kwh,1642,84.61906824705679,51.214333333333336,43.43266666666674,65.74533333333332,303.5136783333204,19.020333333333333,1001.5048949999998
delta_i_le_1,4408,offline_saa_q99_5_shortage_kg,1642,175.72419405599072,171.56261080653522,145.1054196328724,220.11292038294727,226.65902953931752,61.64252788915254,324.0324032403241
delta_i_20_30,1545,path_max_intensity,1545,2.1359223300970873,2.0,2.0,2.0,3.0,2.0,4.0
delta_i_20_30,1545,path_mean_intensity,1545,2.036190476190474,2.0,2.0,2.0,2.333333333333333,2.0,2.7142857142857144
delta_i_20_30,1545,appeared_intensity_ge5,1545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_i_20_30,1545,high_intensity_state_count_ge5,1545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_i_20_30,1545,preparation_stage_count,1545,4.028478964401295,4.0,4.0,4.0,5.0,3.0,6.0
delta_i_20_30,1545,saa_ordinary_shortage,1545,3.441568260988752,0.0,0.0,0.0,22.2686838686158,0.0,113.681808578671
delta_i_20_30,1545,saa_production,1545,324.6774500147534,326.321122387088,313.820249665812,338.761367069241,399.698309577926,240.342346949503,540.54
delta_i_20_30,1545,saa_final_inventory,1545,350.49569830887555,350.356147424766,341.142941046613,361.39977634129,414.675347567737,285.344324661182,562.627622390662
delta_i_20_30,1545,saa_operating_cost,1545,11998.29595452509,11704.3178119698,11044.3226661992,12428.8273399721,16942.85922314078,7631.63194492225,35894.4464823157
delta_i_20_30,1545,saa_surplus_total_kg,1150,319.96054542514736,350.06058001452305,329.40682716586144,361.3997763412878,391.6201481679218,0.0,562.6276223906614
delta_i_20_30,1545,offline_saa_terminal_loh_total_kg,1150,36.338732687498,0.0,0.0,0.0,364.12732182309054,0.0,571.9662875378446
delta_i_20_30,1545,offline_delta_terminal_loh_total_kg,1150,50.86414521940568,33.00330037840212,0.7136787584260904,110.4657213304822,112.16669662640508,0.0,114.55694084819706
delta_i_20_30,1545,offline_saa_mean_eens_kwh,1150,41.18601561449254,44.28200000000001,28.32,53.83766666666666,57.81133333333334,19.020333333333333,148.05670333333333
delta_i_20_30,1545,offline_saa_q99_5_shortage_kg,1150,157.23208684504786,145.1054196328724,123.83056487466932,220.11292038294727,226.65902953931752,61.64252788915254,226.65902953931752
delta_i_30_50,2288,path_max_intensity,2288,2.138986013986014,2.0,2.0,2.0,3.0,2.0,5.0
delta_i_30_50,2288,path_mean_intensity,2288,2.0300074925074894,2.0,2.0,2.0,2.2,2.0,2.857142857142857
delta_i_30_50,2288,appeared_intensity_ge5,2288,0.00043706293706293706,0.0,0.0,0.0,0.0,0.0,1.0
delta_i_30_50,2288,high_intensity_state_count_ge5,2288,0.00043706293706293706,0.0,0.0,0.0,0.0,0.0,1.0
delta_i_30_50,2288,preparation_stage_count,2288,4.8277972027972025,5.0,4.0,5.0,6.0,3.0,6.0
delta_i_30_50,2288,saa_ordinary_shortage,2288,3.800402707846744,0.0,0.0,0.0,49.7931791629814,0.0,106.331187532016
delta_i_30_50,2288,saa_production,2288,363.31162563935544,373.254314041338,324.640550072979,384.649926890844,422.351659245481,227.59308762827,503.1
delta_i_30_50,2288,saa_final_inventory,2288,372.9042343414593,377.7555235149555,355.126421733071,389.44660429956,411.872773097115,277.737093140662,525.738409272046
delta_i_30_50,2288,saa_operating_cost,2288,12634.760690141828,12117.2213404278,11497.358454643,12520.4270250961,20557.34934025206,7301.7349745085,34641.9085089218
