group_variable,group,metric,path_count,n,mean,median,q25,q75,q95,min,max
preparation_stage_count,5,delta_final_inventory,2122,2122,31.45352614296129,35.913208696067045,27.18203577463396,41.87395980910503,50.341947931288985,-9.094947017729282e-13,79.01864979089703
preparation_stage_count,5,delta_production,2122,2122,30.912513860134034,35.739522721065015,27.182035774634016,41.873959809104974,50.34194793128802,-0.6423686012660141,79.01864979089697
preparation_stage_count,5,delta_ordinary_shortage,2122,2122,0.5410122828271666,0.0,0.0,0.0,4.841247417466155,0.0,17.259470211282007
preparation_stage_count,4,delta_final_inventory,3288,3288,19.273313420200715,20.538794515804,12.039062994386981,27.50846189810497,36.64774348060001,-9.663381206337365e-13,57.76032163228501
preparation_stage_count,4,delta_production,3288,3288,19.074824747734237,20.538794515804,11.961709308944023,27.508461898105736,36.57681146584947,0.0,57.76032163228501
preparation_stage_count,4,delta_ordinary_shortage,3288,3288,0.19848867246645255,0.0,0.0,0.0,0.0,0.0,18.07087403027071
preparation_stage_count,1,delta_final_inventory,1099,1099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
preparation_stage_count,1,delta_production,1099,1099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
preparation_stage_count,1,delta_ordinary_shortage,1099,1099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
preparation_stage_count,6,delta_final_inventory,455,455,33.74911659930832,38.64178748147401,24.33169881638503,44.644931906005496,51.27717501974361,-9.63310339183397,53.61368641423104
preparation_stage_count,6,delta_production,455,455,32.340567900554106,38.29097668339898,24.03551642475702,44.17433685471804,51.27717501974098,-9.633103391832949,53.613686414232006
preparation_stage_count,6,delta_ordinary_shortage,455,455,1.4085486987541875,0.0,0.0,0.0,10.471931187141479,-6.25515740283501,20.407745879208804
preparation_stage_count,2,delta_final_inventory,971,971,0.0,0.0,0.0,0.0,0.0,0.0,0.0
preparation_stage_count,2,delta_production,971,971,0.0,0.0,0.0,0.0,0.0,0.0,0.0
preparation_stage_count,2,delta_ordinary_shortage,971,971,0.0,0.0,0.0,0.0,0.0,0.0,0.0
preparation_stage_count,3,delta_final_inventory,2065,2065,4.68619690185979,0.0,0.0,0.0,29.39363191394301,-1.0231815394945445e-12,42.67691237173
preparation_stage_count,3,delta_production,2065,2065,4.686196901859852,0.0,0.0,0.0,29.393631913942983,0.0,42.67691237172997
preparation_stage_count,3,delta_ordinary_shortage,2065,2065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
