a0,loc0,lfw0,seed_id,base_seed,N,reference_N,metric,value_at_N,value_at_N15000,absolute_error,relative_error,reference_is_zero,reference_definition,relative_error_definition
2,1,0,1,20260723,2000,15000,C_reachable_mean_km,19.0250545335282,19.0254471389076,0.000392605379396116,2.06358030131773e-05,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,2000,15000,C_reachable_q95_km,19.0137618887991,19.0137618887991,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,2000,15000,W3_failed_lines_mean,0.0835,0.0804,0.00310000000000001,0.0385572139303483,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,2000,15000,W3_failed_lines_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,2000,15000,W3_closed_roads_mean,0.0275,0.0279333333333333,0.000433333333333334,0.0155131264916468,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,2000,15000,W3_closed_roads_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,5000,15000,D_mean_kg,3.17993617543573,3.00462773550082,0.175308439934902,0.0583461431389872,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,5000,15000,D_q95_kg,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,5000,15000,D_q99_kg,124.648828519216,115.375173881024,9.2736546381911,0.0803782505910167,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,5000,15000,full_loss_probability,0,0.000133333333333333,0.000133333333333333,1,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,5000,15000,A0_pair_share,0.000245959595959596,0.000377946127946128,0.000131986531986532,0.349220489977728,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,5000,15000,reachable_pair_share,0.99975404040404,0.999622053872054,0.000131986531986539,0.000132036434645761,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,5000,15000,C_reachable_mean_km,19.0299977471489,19.0254471389076,0.00455060824132403,0.00023918535044666,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,5000,15000,C_reachable_q95_km,19.0137618887991,19.0137618887991,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,5000,15000,W3_failed_lines_mean,0.0858,0.0804,0.0054,0.0671641791044776,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,5000,15000,W3_failed_lines_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,5000,15000,W3_closed_roads_mean,0.0312,0.0279333333333333,0.00326666666666666,0.116945107398568,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,5000,15000,W3_closed_roads_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,10000,15000,D_mean_kg,3.20227477293184,3.00462773550082,0.197647037431015,0.0657808736489183,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,10000,15000,D_q95_kg,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,10000,15000,D_q99_kg,124.648828519216,115.375173881024,9.2736546381911,0.0803782505910167,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,10000,15000,full_loss_probability,0.0002,0.000133333333333333,6.66666666666667e-05,0.5,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,10000,15000,A0_pair_share,0.000363131313131313,0.000377946127946128,1.48148148148149e-05,0.0391982182628064,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,10000,15000,reachable_pair_share,0.999636868686869,0.999622053872054,1.48148148148008e-05,1.48204161336931e-05,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,10000,15000,C_reachable_mean_km,19.02683365103,19.0254471389076,0.00138651212237306,7.28767167599233e-05,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,10000,15000,C_reachable_q95_km,19.0137618887991,19.0137618887991,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,10000,15000,W3_failed_lines_mean,0.0867,0.0804,0.0063,0.0783582089552239,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,10000,15000,W3_failed_lines_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,10000,15000,W3_closed_roads_mean,0.0298,0.0279333333333333,0.00186666666666667,0.0668257756563246,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,10000,15000,W3_closed_roads_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,15000,15000,D_mean_kg,3.00462773550082,3.00462773550082,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,15000,15000,D_q95_kg,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,15000,15000,D_q99_kg,115.375173881024,115.375173881024,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,15000,15000,full_loss_probability,0.000133333333333333,0.000133333333333333,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,15000,15000,A0_pair_share,0.000377946127946128,0.000377946127946128,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,15000,15000,reachable_pair_share,0.999622053872054,0.999622053872054,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,15000,15000,C_reachable_mean_km,19.0254471389076,19.0254471389076,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,15000,15000,C_reachable_q95_km,19.0137618887991,19.0137618887991,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,15000,15000,W3_failed_lines_mean,0.0804,0.0804,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,15000,15000,W3_failed_lines_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
