a0,loc0,lfw0,seed_id,base_seed,derived_seed,N,D_mean_kg,D_q95_kg,D_q99_kg,full_loss_probability,A0_pair_share,reachable_pair_share,C_reachable_mean_km,C_reachable_q95_km,W3_failed_lines_mean,W3_failed_lines_q95,W3_closed_roads_mean,W3_closed_roads_q95,D_min_kg,D_max_kg,A0_min,A0_max,C_mean_min_km,C_mean_max_km,D_nonfinite_count,C_nonfinite_count,D_negative_count,C_negative_count,A_invalid_scenario_count,C_invalid_value_count
2,1,0,1,20260723,20360726,500,2.63917300820991,0,135.013501350135,0,0.000217171717171717,0.999782828282828,19.0347640142838,19.0137618887991,0.108,0,0.042,0,0,405.313258598587,0,0.0883838383838384,19.0137618887991,22.7394227160636,0,0,0,0,0,0
2,1,0,1,20260723,20360726,1000,3.05730573057306,0,162.561710716526,0,0.000383838383838384,0.999616161616162,19.0266193493172,19.0137618887991,0.094,0,0.044,0,0,405.313258598587,0,0.275252525252525,18.9610481307997,22.7394227160636,0,0,0,0,0,0
2,1,0,1,20260723,20360726,2000,2.86064970133377,0,112.102119302839,0,0.000196969696969697,0.99980303030303,19.0250545335282,19.0137618887991,0.0835,0,0.0275,0,0,498.32255952868,0,0.275252525252525,18.9610481307997,24.292618700296,0,0,0,0,0,0
2,1,0,1,20260723,20360726,5000,3.17993617543573,0,124.648828519216,0,0.000245959595959596,0.99975404040404,19.0299977471489,19.0137618887991,0.0858,0,0.0312,0,0,498.32255952868,0,0.275252525252525,18.9610481307997,25.7966039335356,0,0,0,0,0,0
2,1,0,1,20260723,20360726,10000,3.20227477293184,0,124.648828519216,0.0002,0.000363131313131313,0.999636868686869,19.02683365103,19.0137618887991,0.0867,0,0.0298,0,0,607.969887897881,0,0.484848484848485,18.4445405802593,25.7966039335356,0,0,0,0,0,0
2,1,0,1,20260723,20360726,15000,3.00462773550082,0,115.375173881024,0.000133333333333333,0.000377946127946128,0.999622053872054,19.0254471389076,19.0137618887991,0.0804,0,0.0279333333333333,0,0,607.969887897881,0,0.494949494949495,16.9679448590228,25.7966039335356,0,0,0,0,0,0
2,1,0,2,20260724,20360727,500,2.26822682268227,0,29.4574912036658,0,0.000757575757575758,0.999242424242424,19.0178935544926,19.0137618887991,0.08,0,0.024,0,0,405.313258598587,0,0.207070707070707,19.0137618887991,20.6995439931866,0,0,0,0,0,0
2,1,0,2,20260724,20360727,1000,2.32550527780051,0,67.6431279491586,0,0.00078030303030303,0.999219696969697,19.0195436164392,19.0137618887991,0.071,0,0.03,0,0,405.313258598587,0,0.391414141414141,19.0137618887991,20.8656215247432,0,0,0,0,0,0
2,1,0,2,20260724,20360727,2000,2.49570411586613,0,112.102119302839,0,0.000549242424242424,0.999450757575758,19.0228851364996,19.0137618887991,0.074,0,0.0315,0,0,405.313258598587,0,0.391414141414141,18.6756478443851,23.6417238732086,0,0,0,0,0,0
2,1,0,2,20260724,20360727,5000,3.00859176826774,0,125.19433761558,0,0.000402525252525252,0.999597474747475,19.0252657181031,19.0137618887991,0.0798,0,0.0306,0,0,405.313258598587,0,0.391414141414141,18.6756478443851,23.6417238732086,0,0,0,0,0,0
