N,formal_threshold_available,formal_threshold_source,formal_absolute_error_threshold,formal_relative_error_threshold,max_p95_relative_error_across_metrics,max_relative_error_across_metrics,max_p95_seed_std_across_metrics,recommended,recommendation_basis,recommendation_status,recommended_N
500,0,none found for B3 D/A/C consequence stability,NaN,NaN,1,2.75,53.0568944911067,0,conservative maximum tested N because no accepted B3 consequence threshold exists,"diagnostic recommendation, not threshold acceptance",15000
1000,0,none found for B3 D/A/C consequence stability,NaN,NaN,1,14,46.6083176244035,0,conservative maximum tested N because no accepted B3 consequence threshold exists,"diagnostic recommendation, not threshold acceptance",15000
2000,0,none found for B3 D/A/C consequence stability,NaN,NaN,1.5,6.5,33.8219305781679,0,conservative maximum tested N because no accepted B3 consequence threshold exists,"diagnostic recommendation, not threshold acceptance",15000
5000,0,none found for B3 D/A/C consequence stability,NaN,NaN,1.25,2,41.3691718585766,0,conservative maximum tested N because no accepted B3 consequence threshold exists,"diagnostic recommendation, not threshold acceptance",15000
10000,0,none found for B3 D/A/C consequence stability,NaN,NaN,0.5,1,16.2771480439205,0,conservative maximum tested N because no accepted B3 consequence threshold exists,"diagnostic recommendation, not threshold acceptance",15000
15000,0,none found for B3 D/A/C consequence stability,NaN,NaN,0,0,8.27904785957301,1,conservative maximum tested N because no accepted B3 consequence threshold exists,"diagnostic recommendation, not threshold acceptance",15000
