a0,loc0,lfw0,seed_id,N,nested_parent_N,prefix_start,prefix_end,record_weight,record_weight_sum,nested_in_parent_pass,derived_seed,state_id,base_seed,permutation_checksum,prefix_record_id_sha256,selected_record_id_min,selected_record_id_max,selected_record_id_unique_count,sampling_unit,weight_definition
2,1,0,1,500,1000,1,500,0.002,1,1,20360726,1,20260723,896091526,909f5163e0ade997464bff47a43407e5cee92127f33cbd1cdba3e8dd5082ec73,6,14902,500,main_sample_record_prefix,each selected record has weight 1/N
2,1,0,1,1000,2000,1,1000,0.001,1,1,20360726,1,20260723,3723352258,397a09e1b789df18b27034ed1791fc4c2fca9640060213184de2ba91565ee1ca,6,14947,1000,main_sample_record_prefix,each selected record has weight 1/N
2,1,0,1,2000,5000,1,2000,0.0005,1,1,20360726,1,20260723,15045013413,e95c4125303ced9ceece83e50eeb54b9d88c1f3cf8956fe68c66e98e65ed5c3a,6,14984,2000,main_sample_record_prefix,each selected record has weight 1/N
2,1,0,1,5000,10000,1,5000,0.0002,1.00000000000002,1,20360726,1,20260723,93136320681,79ea83551c305222271402ba791f9dee3ed89d2a1d257201c2f00ad42cd17262,1,15000,5000,main_sample_record_prefix,each selected record has weight 1/N
2,1,0,1,10000,15000,1,10000,0.0001,0.999999999999955,1,20360726,1,20260723,374836396008,c7ca133ea5b4f3ebbf2cea04c5a37451018d6ce81fc2a25c9ef3bff025fd40b2,1,15000,10000,main_sample_record_prefix,each selected record has weight 1/N
2,1,0,1,15000,NaN,1,15000,6.66666666666667e-05,0.999999999999968,1,20360726,1,20260723,844351869943,5b0aa9c4cdb7861c3e99cfa99f0c4c6a47d067c5d3f2c2d66b48dd9e838b325c,1,15000,15000,main_sample_record_prefix,each selected record has weight 1/N
2,1,0,2,500,1000,1,500,0.002,1,1,20360727,1,20260724,876911864,113afdaba84decedd607c617bc956a1661f18140d74b068d626457b9d0671eb6,59,14933,500,main_sample_record_prefix,each selected record has weight 1/N
2,1,0,2,1000,2000,1,1000,0.001,1,1,20360727,1,20260724,3621213282,7c1baac27384f9f81a1cd0a4d83be4dc44098dd7af4c49701ae86f688a23ec81,11,14978,1000,main_sample_record_prefix,each selected record has weight 1/N
2,1,0,2,2000,5000,1,2000,0.0005,1,1,20360727,1,20260724,15122076087,863c6d4aed0ef3f30400b42714135f1a34cec08490d668e23e50c8787ae992cc,4,14998,2000,main_sample_record_prefix,each selected record has weight 1/N
2,1,0,2,5000,10000,1,5000,0.0002,1.00000000000002,1,20360727,1,20260724,93716410964,99b8ce5172e76a6a45f25f8eff73b0299be24520dcb22a2741abd582f73d1399,2,15000,5000,main_sample_record_prefix,each selected record has weight 1/N
2,1,0,2,10000,15000,1,10000,0.0001,0.999999999999955,1,20360727,1,20260724,375777997376,7ab85a3627ca72f191ad56aa9a66c044a4007a3da4d68592815ba5e391ee4914,2,15000,10000,main_sample_record_prefix,each selected record has weight 1/N
2,1,0,2,15000,NaN,1,15000,6.66666666666667e-05,0.999999999999968,1,20360727,1,20260724,845314367475,6f36047d2363bf3b06a89b4cd36b17c9ac2d75cffea5e7969b5549394612e2bd,1,15000,15000,main_sample_record_prefix,each selected record has weight 1/N
2,1,0,3,500,1000,1,500,0.002,1,1,20360728,1,20260725,955225705,6edf8a6d7762276d2b67475281e107f1bfa32cbec0f627ce119d8114a97ff50e,5,14982,500,main_sample_record_prefix,each selected record has weight 1/N
2,1,0,3,1000,2000,1,1000,0.001,1,1,20360728,1,20260725,3757430650,c52e22ea9e4d8680fe38363857e92ecf0c2532b4f16a734b76106f42de8b5e81,4,14982,1000,main_sample_record_prefix,each selected record has weight 1/N
2,1,0,3,2000,5000,1,2000,0.0005,1,1,20360728,1,20260725,15234834244,8b7dac291a77ec4f8aa09c870f6dc0715c4cfe4c2ee83879adaece0654bd0dbe,4,14982,2000,main_sample_record_prefix,each selected record has weight 1/N
2,1,0,3,5000,10000,1,5000,0.0002,1.00000000000002,1,20360728,1,20260725,92917170300,c741b57b37d9bb990553a2cfb8b46a811bf407f3c0676924b415d7b2e115ca77,4,14998,5000,main_sample_record_prefix,each selected record has weight 1/N
2,1,0,3,10000,15000,1,10000,0.0001,0.999999999999955,1,20360728,1,20260725,373080953846,05c8995d2840ff0480d443cc9f3da79d91fda4b4403d325716fa668c920703c0,2,15000,10000,main_sample_record_prefix,each selected record has weight 1/N
2,1,0,3,15000,NaN,1,15000,6.66666666666667e-05,0.999999999999968,1,20360728,1,20260725,844181844531,2cc07033eee519e6102a30a30d3d38e0f1562f6a5e043533c9e01320a19564d5,1,15000,15000,main_sample_record_prefix,each selected record has weight 1/N
2,2,0,1,500,1000,1,500,0.002,1,1,20460729,2,20260723,949636013,508b688ce99a53ccd371970982341b0fe263f301c1b3f9b1a7aed2e4e461decf,7,14982,500,main_sample_record_prefix,each selected record has weight 1/N
2,2,0,1,1000,2000,1,1000,0.001,1,1,20460729,2,20260723,3733712303,1dfc7b5b02f2a2d48d5f2bba587e43152e8dfed8938623687bf3835d973c0a6c,7,15000,1000,main_sample_record_prefix,each selected record has weight 1/N
2,2,0,1,2000,5000,1,2000,0.0005,1,1,20460729,2,20260723,14761968046,40bf74eba5084ca72d3191ed99f53853ef4dbb56619375a7f54209a89b2598fa,7,15000,2000,main_sample_record_prefix,each selected record has weight 1/N
2,2,0,1,5000,10000,1,5000,0.0002,1.00000000000002,1,20460729,2,20260723,94005724468,a10e249a48156f123b691554b7d010e0150da6bee8379db157a7d56be9500137,3,15000,5000,main_sample_record_prefix,each selected record has weight 1/N
2,2,0,1,10000,15000,1,10000,0.0001,0.999999999999955,1,20460729,2,20260723,377840155826,43f6f1023b0baa94ce3cacbb1d4c518c627362db5928af9d2500c8f4e70d8359,3,15000,10000,main_sample_record_prefix,each selected record has weight 1/N
2,2,0,1,15000,NaN,1,15000,6.66666666666667e-05,0.999999999999968,1,20460729,2,20260723,843995350667,4ee513958a84b9fc79c8a443e03b53d9e9be5beb7de40ead453f86b7ea5a719d,1,15000,15000,main_sample_record_prefix,each selected record has weight 1/N
2,2,0,2,500,1000,1,500,0.002,1,1,20460730,2,20260724,966689039,f68109b934f4c294ca4b4b6829c9f526e1fff0847aec37a75af6481ad99d3195,52,14997,500,main_sample_record_prefix,each selected record has weight 1/N
2,2,0,2,1000,2000,1,1000,0.001,1,1,20460730,2,20260724,3814453779,6f44825006024514ea06ffa60f291d1be09858cfaed62d7360714adbcceb99d4,36,14997,1000,main_sample_record_prefix,each selected record has weight 1/N
2,2,0,2,2000,5000,1,2000,0.0005,1,1,20460730,2,20260724,14825514738,fdd00d0d908b636937080252cac0b828ed288f7664784d2a7ccbb5b01c894751,6,14997,2000,main_sample_record_prefix,each selected record has weight 1/N
2,2,0,2,5000,10000,1,5000,0.0002,1.00000000000002,1,20460730,2,20260724,93201608641,153ab8d4a90de16dc99074ae0ff8899f7412e9af01fb08299a187af8234df438,6,14999,5000,main_sample_record_prefix,each selected record has weight 1/N
2,2,0,2,10000,15000,1,10000,0.0001,0.999999999999955,1,20460730,2,20260724,376396616725,800d024c941ba0a094f59946943d9636e482be29f2d250e45828292096cd29d1,2,14999,10000,main_sample_record_prefix,each selected record has weight 1/N
2,2,0,2,15000,NaN,1,15000,6.66666666666667e-05,0.999999999999968,1,20460730,2,20260724,846640988326,7714efc26ce1fa92e31c2f19b7a99f7332ac3da209a8d00eb8d69c475816ac2b,1,15000,15000,main_sample_record_prefix,each selected record has weight 1/N
2,2,0,3,500,1000,1,500,0.002,1,1,20460731,2,20260725,933709774,628b61b2a0ea1fb27498ec920c42c0ddaaf8f2607acb64fb44dbd4be96f63194,9,14942,500,main_sample_record_prefix,each selected record has weight 1/N
2,2,0,3,1000,2000,1,1000,0.001,1,1,20460731,2,20260725,3741493944,2d9944b2a9811d863544768d3aa58ada6ccdf7ee58db247856d733149bfe4573,9,14976,1000,main_sample_record_prefix,each selected record has weight 1/N
2,2,0,3,2000,5000,1,2000,0.0005,1,1,20460731,2,20260725,14793828213,3d6c0876d6c5a5347f62d685893479d5b6089f2a9e7893c3db769a0ff0e86184,9,14997,2000,main_sample_record_prefix,each selected record has weight 1/N
2,2,0,3,5000,10000,1,5000,0.0002,1.00000000000002,1,20460731,2,20260725,93295305520,cba4b1b10352d5d32bc986007e2ef6a68df02aba38f225d52a97db287c18c93d,2,14999,5000,main_sample_record_prefix,each selected record has weight 1/N
2,2,0,3,10000,15000,1,10000,0.0001,0.999999999999955,1,20460731,2,20260725,373660052112,973eb8acb81f948af7c3602a72515e0dfbd23537db6247a8841979c0386a35c7,1,15000,10000,main_sample_record_prefix,each selected record has weight 1/N
2,2,0,3,15000,NaN,1,15000,6.66666666666667e-05,0.999999999999968,1,20460731,2,20260725,846029969727,f573c554054062136da1bdfd5c6788be7f73c05f611a58929b046d4e02249261,1,15000,15000,main_sample_record_prefix,each selected record has weight 1/N
2,3,0,1,500,1000,1,500,0.002,1,1,20560732,3,20260723,935453087,a7c2629bbbc1b16f9764b7a04994945314fc53ef598d19bd7a8513e81969ab4c,43,14994,500,main_sample_record_prefix,each selected record has weight 1/N
2,3,0,1,1000,2000,1,1000,0.001,1,1,20560732,3,20260723,3614016496,7ba4517b108c4590a5036403e01d2f49b98ad9109a230a9f1d15c57d3ffa71cb,10,14995,1000,main_sample_record_prefix,each selected record has weight 1/N
2,3,0,1,2000,5000,1,2000,0.0005,1,1,20560732,3,20260723,14864267255,53ea9c3d062ac49cafc0b49adc208ab5b7de8660fb00ad7519f707705546f130,10,14996,2000,main_sample_record_prefix,each selected record has weight 1/N
2,3,0,1,5000,10000,1,5000,0.0002,1.00000000000002,1,20560732,3,20260723,93005140506,98d386710ffca34039b94e0298236bdec97e11983d8e1462e7f7800e6d1ad415,6,15000,5000,main_sample_record_prefix,each selected record has weight 1/N
2,3,0,1,10000,15000,1,10000,0.0001,0.999999999999955,1,20560732,3,20260723,374513234498,652ec782af3b20b0b96dd85e9d4b9706250bb059a6056659c766e9db8ff40957,5,15000,10000,main_sample_record_prefix,each selected record has weight 1/N
2,3,0,1,15000,NaN,1,15000,6.66666666666667e-05,0.999999999999968,1,20560732,3,20260723,846943215491,14cc8680e4d4eca7066907b5d690462043fc04df626b741200f9b74e1d91918f,1,15000,15000,main_sample_record_prefix,each selected record has weight 1/N
2,3,0,2,500,1000,1,500,0.002,1,1,20560733,3,20260724,950637767,042ef5088b48e317badeccbca04d1e862d5849c2b069c5b3b901df605a3226b4,48,14980,500,main_sample_record_prefix,each selected record has weight 1/N
2,3,0,2,1000,2000,1,1000,0.001,1,1,20560733,3,20260724,3754529858,2f4faee6bd8cb8da2b186ed3be3eac93e3725f9d8082a6edfe0718475682138b,7,14980,1000,main_sample_record_prefix,each selected record has weight 1/N
2,3,0,2,2000,5000,1,2000,0.0005,1,1,20560733,3,20260724,15160550142,5b4b9b03d64e47773390d8e11044e176ce3d99102183861fa1f2331347315b38,7,14999,2000,main_sample_record_prefix,each selected record has weight 1/N
2,3,0,2,5000,10000,1,5000,0.0002,1.00000000000002,1,20560733,3,20260724,93951632548,ff5006c14c989f23987c12ed1614c49e4b9bca932efbde5a3c36eac69d9c585c,3,15000,5000,main_sample_record_prefix,each selected record has weight 1/N
2,3,0,2,10000,15000,1,10000,0.0001,0.999999999999955,1,20560733,3,20260724,373236773213,e5e35c5dfa8b335554d325ca835e4579fdb29df384accbaf9efd53a2284667e5,1,15000,10000,main_sample_record_prefix,each selected record has weight 1/N
2,3,0,2,15000,NaN,1,15000,6.66666666666667e-05,0.999999999999968,1,20560733,3,20260724,844369233095,81b89ecdb276401029bebd9e5c5c15b1041a60eef9b193779660cf70e60b1c8d,1,15000,15000,main_sample_record_prefix,each selected record has weight 1/N
2,3,0,3,500,1000,1,500,0.002,1,1,20560734,3,20260725,957830349,7d2a98705dba6524987e3640ee3195d398de7df8c425b13fba9233d4961760a1,82,14980,500,main_sample_record_prefix,each selected record has weight 1/N
