method,path_id,stage,markov_state,a,loc,lf,status,site,beginning_inventory_kg,production_kg,ending_inventory_kg,ordinary_demand_kg,ordinary_demand_served_kg,shortage_kg,htt_in_kg,htt_out_kg,net_htt_kg
saa,1,1,65,2,2,1,normal,1,58.0445570448695,46.8,99.7243810123712,5.12017603249831,5.12017603249831,0,0,0,0
saa,1,1,65,2,2,1,normal,2,50.3081379386248,31.2,75.682050982103,5.82608695652174,5.82608695652174,0,0,0,0
saa,1,1,65,2,2,1,normal,3,25.2621334423093,18.72,42.3963366656137,1.58579677669568,1.58579677669568,0,0,0,0
saa,1,1,65,2,2,1,normal,4,33.0235808462428,23.4,53.5555120125908,2.86806883365201,2.86806883365201,0,0,0,0
saa,1,2,74,2,3,2,normal,1,99.7243810123712,46.8,126.434672143041,20.0897088693297,20.0897088693297,0,0,0,0
saa,1,2,74,2,3,2,normal,2,75.682050982103,23.4,86.8273925970099,12.2546583850932,12.2546583850932,0,0,0,0
saa,1,2,74,2,3,2,normal,3,42.3963366656137,14.04,49.3438605818422,7.09247608377144,7.09247608377144,0,0,0,0
saa,1,2,74,2,3,2,normal,4,53.5555120125908,23.4,66.5991761878037,10.3563358247871,10.3563358247871,0,0,0,0
saa,1,3,68,2,2,4,normal,1,126.434672143041,29.25,170.195545772725,21.6536899119838,21.6536899119838,0,36.1645635416677,0,36.1645635416677
saa,1,3,68,2,2,4,normal,2,86.8273925970099,11.7,72.4450143352727,13.8819875776397,13.8819875776397,0,0,12.2003906840974,-12.2003906840974
saa,1,3,68,2,2,4,normal,3,49.3438605818422,5.99697705118205,17.4257203911538,8.42454537619581,8.42454537619581,0,0,29.4905718656746,-29.4905718656746
saa,1,3,68,2,2,4,normal,4,66.5991761878037,14.625,74.1727896926923,12.5777855032157,12.5777855032157,0,5.52639900810432,0,5.52639900810432
saa,1,4,21,1,3,5,dissipated_absorb,1,170.195545772725,0,170.195545772725,8.13642518618822,0,0,0,0,0
saa,1,4,21,1,3,5,dissipated_absorb,2,72.4450143352727,0,72.4450143352727,4.03726708074534,0,0,0,0,0
saa,1,4,21,1,3,5,dissipated_absorb,3,17.4257203911538,0,17.4257203911538,5.89718176333707,0,0,0,0,0
saa,1,4,21,1,3,5,dissipated_absorb,4,74.1727896926923,0,74.1727896926923,4.19780983834521,0,0,0,0,0
saa,1,5,48,1,6,8,post_absorb,1,170.195545772725,0,170.195545772725,5.12017603249831,0,0,0,0,0
saa,1,5,48,1,6,8,post_absorb,2,72.4450143352727,0,72.4450143352727,5.82608695652174,0,0,0,0,0
