path_id,path_type,t,k,a,loc,lf,status,site_id,x_before,production_r,electrolyzer_power_e,normal_demand,normal_served,normal_shortage,transport_in,transport_out,x_after,delta_x,balance_residual,TerminalLOH_site,terminal_shortage_site,terminal_surplus_site
986,Reference_08_saa,1,65,2,2,1,normal,1,58.0445570448695,46.8,300,5.12017603249831,5.12017603249831,0,0,0,99.7243810123712,41.6798239675017,0,0,0,58.0445570448695
986,Reference_08_saa,1,65,2,2,1,normal,2,50.3081379386248,31.2,200,5.82608695652174,5.82608695652174,0,0,0,75.682050982103,25.3739130434783,0,0,0,50.3081379386248
986,Reference_08_saa,1,65,2,2,1,normal,3,25.2621334423093,18.72,120,1.58579677669568,1.58579677669568,0,0,0,42.3963366656137,17.1342032233043,0,0,0,25.2621334423093
986,Reference_08_saa,1,65,2,2,1,normal,4,33.0235808462428,23.4,150,2.86806883365201,2.86806883365201,0,0,0,53.5555120125908,20.531931166348,0,0,0,33.0235808462428
986,Reference_08_saa,2,83,2,4,3,normal,1,99.7243810123712,46.8,300,20.0897088693297,20.0897088693297,0,0,0,126.434672143041,26.7102911306703,-1.4210854715202e-14,0,0,99.7243810123712
986,Reference_08_saa,2,83,2,4,3,normal,2,75.682050982103,28.782385229931,184.502469422634,12.2546583850932,12.2546583850932,0,0,0,92.2097778269408,16.5277268448378,0,0,0,75.682050982103
986,Reference_08_saa,2,83,2,4,3,normal,3,42.3963366656137,0,0,7.09247608377144,7.09247608377144,0,0,0,35.3038605818422,-7.09247608377144,0,0,0,42.3963366656137
986,Reference_08_saa,2,83,2,4,3,normal,4,53.5555120125908,23.4,150,10.3563358247871,10.3563358247871,0,0,0,66.5991761878037,13.0436641752129,0,0,0,53.5555120125908
986,Reference_08_saa,3,109,2,7,5,normal,1,126.434672143041,46.8,300,21.6536899119838,21.6536899119838,0,1.88643092281979,0,153.467413153877,27.032741010836,0,0,0,126.434672143041
986,Reference_08_saa,3,109,2,7,5,normal,2,92.2097778269408,0,0,13.8819875776397,13.8819875776397,0,0,0.811187221599383,77.5166030277017,-14.6931747992391,-1.4210854715202e-14,0,0,92.2097778269408
