path_id,path_type,t,current_k,current_a,current_loc,current_lf,P_next_loh_demand_stage,E_TerminalLOH_site1_next,E_TerminalLOH_site2_next,E_TerminalLOH_site3_next,E_TerminalLOH_site4_next,E_TerminalLOH_total_next
986,Reference_08_saa,1,65,2,2,1,0,0,0,0,0,0
986,Reference_08_saa,2,83,2,4,3,0,0,0,0,0,0
986,Reference_08_saa,3,109,2,7,5,0.267,2.69445708207184,0.59237050977825,0.222006382456427,0.957952704361345,4.46678667866787
986,Reference_08_saa,4,110,2,7,6,0.89,8.98152360690614,1.9745683659275,0.740021274854758,3.19317568120448,14.8892889288929
2017,Reference_08_saa,1,65,2,2,1,0,0,0,0,0,0
2017,Reference_08_saa,2,74,2,3,2,0,0,0,0,0,0
2017,Reference_08_saa,3,68,2,2,4,0.089,1.13447999345389,0.412437607397103,0.110342852467065,0.475825218885525,2.13308567220358
5380,Reference_08_saa,1,65,2,2,1,0,0,0,0,0,0
5380,Reference_08_saa,2,66,2,2,2,0,0,0,0,0,0
5380,Reference_08_saa,3,117,3,1,5,0.3,51.929063088127,22.7798812494886,6.17341256852958,25.5936843343425,106.476041240488
5380,Reference_08_saa,4,150,3,5,6,1,152.336729809345,57.1739229604779,15.7885719253743,67.868846657393,293.16807135259
6826,Reference_08_saa,1,65,2,2,1,0,0,0,0,0,0
6826,Reference_08_saa,2,75,2,3,3,0,0,0,0,0,0
6826,Reference_08_saa,3,117,3,1,5,0.3,51.929063088127,22.7798812494886,6.17341256852958,25.5936843343425,106.476041240488
6826,Reference_08_saa,4,134,3,3,6,1,168.090676226714,67.6359633690642,19.1005717617216,82.1628467392194,336.990058096719
9114,Reference_08_saa,1,65,2,2,1,0,0,0,0,0,0
9114,Reference_08_saa,2,58,2,1,2,0,0,0,0,0,0
9114,Reference_08_saa,3,67,2,2,3,0,0,0,0,0,0
9114,Reference_08_saa,4,116,3,1,4,0.1,17.3096876960423,7.59329374982953,2.05780418950986,8.53122811144751,35.4920137468292
9114,Reference_08_saa,5,134,3,3,6,1,168.090676226714,67.6359633690642,19.1005717617216,82.1628467392194,336.990058096719
