path_id,path_type,t,k,a,loc,lf,status,holding_cost,production_electricity_cost,electrolyzer_om_cost,transport_cost,normal_shortage_cost,loh_demand_cost,theta_value,stage_cost_without_theta,stage_cost_with_theta_if_available
986,Reference_08_saa,1,65,2,2,1,normal,13.5679140336339,2240.7,73.92,0,0,0,11487.6779721489,2328.18791403364,13815.8658861826
986,Reference_08_saa,2,83,2,4,3,normal,16.0273743369814,3984.67550797414,60.9122370645729,0,0,0,7326.25798741001,4061.6151193757,11387.8731067857
986,Reference_08_saa,3,109,2,7,5,normal,15.5404739185297,1809,28.8,70.6692537187684,0,0,3066.57684487845,1924.0097276373,4990.58657251575
986,Reference_08_saa,4,110,2,7,6,normal,17.9370397250989,1309.5,43.2,16.2461041009176,0,0,367.279005933065,1386.88314382602,1754.16214975908
986,Reference_08_saa,5,111,2,7,7,loh_demand_stage,0,0,0,0,0,0,0,0,0
986,Reference_08_saa,6,112,2,7,8,post_absorb,0,0,0,0,0,0,0,0,0
986,Reference_08_saa,7,104,2,6,8,post_absorb,0,0,0,0,0,0,0,0,0
986,Reference_08_saa,8,16,1,2,8,post_absorb,0,0,0,0,0,0,0,0,0
2017,Reference_08_saa,1,65,2,2,1,normal,13.5679140336339,2240.7,73.92,0,0,0,11487.6779721489,2328.18791403364,13815.8658861826
2017,Reference_08_saa,2,74,2,3,2,normal,15.6240789417422,3659.97101026875,55.9486014308599,0,0,0,7549.1572329273,3731.54369064135,11280.7009235687
2017,Reference_08_saa,3,68,2,2,4,normal,16.6127504876286,2949.73063396906,46.9608857149304,123.529164284359,0,0,4182.17763012238,3136.83343445598,7319.01106457836
2017,Reference_08_saa,4,151,3,5,7,loh_demand_stage,0,0,0,0,0,91849.968600465,0,91849.968600465,91849.968600465
2017,Reference_08_saa,5,168,3,7,8,post_absorb,0,0,0,0,0,0,0,0,0
2017,Reference_08_saa,6,160,3,6,8,post_absorb,0,0,0,0,0,0,0,0,0
2017,Reference_08_saa,7,168,3,7,8,post_absorb,0,0,0,0,0,0,0,0,0
2017,Reference_08_saa,8,160,3,6,8,post_absorb,0,0,0,0,0,0,0,0,0
5380,Reference_08_saa,1,65,2,2,1,normal,13.5679140336339,2240.7,73.92,0,0,0,11487.6779721489,2328.18791403364,13815.8658861826
5380,Reference_08_saa,2,66,2,2,2,normal,15.7987665378208,3800.61692095764,58.0986026133651,0,0,0,7502.59797781714,3874.51429010882,11377.112267926
5380,Reference_08_saa,3,117,3,1,5,normal,21.8047665378208,4643.1,73.92,1015.56802523059,11307.601673807,0,28756.2360920292,17061.9944655754,45818.2305576046
5380,Reference_08_saa,4,150,3,5,6,normal,27.2112521315916,2240.7,73.92,761.534191670187,2055.67914880651,0,4047.73854390785,5159.04459260829,9206.78313651615
5380,Reference_08_saa,5,167,3,7,7,loh_demand_stage,0,0,0,0,0,0,0,0,0
5380,Reference_08_saa,6,112,2,7,8,post_absorb,0,0,0,0,0,0,0,0,0
5380,Reference_08_saa,7,80,2,3,8,post_absorb,0,0,0,0,0,0,0,0,0
5380,Reference_08_saa,8,64,2,1,8,post_absorb,0,0,0,0,0,0,0,0,0
6826,Reference_08_saa,1,65,2,2,1,normal,13.5679140336339,2240.7,73.92,0,0,0,11487.6779721489,2328.18791403364,13815.8658861826
6826,Reference_08_saa,2,75,2,3,3,normal,16.119299238189,4058.68683868999,62.0436204640508,0,0,0,7461.68890366351,4136.84975839223,11598.5386620557
6826,Reference_08_saa,3,117,3,1,5,normal,22.125299238189,4643.1,73.92,1071.31011116267,11307.601673807,0,26077.7983238321,17118.0570842079,43195.85540804
6826,Reference_08_saa,4,134,3,3,6,normal,28.131299238189,2240.7,73.92,678.542347956758,4453.73677372317,0,2780.46203408826,7475.03042091811,10255.4924550064
6826,Reference_08_saa,5,143,3,4,7,loh_demand_stage,0,0,0,0,0,0,0,0,0
6826,Reference_08_saa,6,184,4,2,8,post_absorb,0,0,0,0,0,0,0,0,0
6826,Reference_08_saa,7,192,4,3,8,post_absorb,0,0,0,0,0,0,0,0,0
6826,Reference_08_saa,8,208,4,5,8,post_absorb,0,0,0,0,0,0,0,0,0
9114,Reference_08_saa,1,65,2,2,1,normal,13.5679140336339,2240.7,73.92,0,0,0,11487.6779721489,2328.18791403364,13815.8658861826
9114,Reference_08_saa,2,58,2,1,2,normal,15.8220718146317,3819.3806566464,58.3854367894991,0,0,0,7520.04405824076,3893.58816525053,11413.6322234913
9114,Reference_08_saa,3,67,2,2,3,normal,16.5051713961799,2713.5,43.2,0,0,0,4445.34267065513,2773.20517139618,7218.54784205131
9114,Reference_08_saa,4,116,3,1,4,normal,22.5111713961799,2240.7,73.92,613.031502423135,4453.73677372317,0,14755.2861834571,7403.89944754248,22159.1856309996
9114,Reference_08_saa,5,134,3,3,6,normal,28.5171713961799,4835.6,73.92,132.209194663893,3080.02571987355,0,1104.83906356026,8150.27208593362,9255.11114949389
9114,Reference_08_saa,6,71,2,2,7,loh_demand_stage,0,0,0,0,0,0,0,0,0
9114,Reference_08_saa,7,40,1,5,8,post_absorb,0,0,0,0,0,0,0,0,0
9114,Reference_08_saa,8,16,1,2,8,post_absorb,0,0,0,0,0,0,0,0,0
