path_id,path_type,t,k,a,loc,lf,status,holding_cost,production_electricity_cost,electrolyzer_om_cost,transport_cost,normal_shortage_cost,loh_demand_cost,theta_value,stage_cost_without_theta,stage_cost_with_theta_if_available
986,H02_chi2_eta003,1,65,2,2,1,normal,13.5679140336339,2240.7,73.92,0,0,0,12549.939923665,2328.18791403364,14878.1278376986
986,H02_chi2_eta003,2,83,2,4,3,normal,17.0842550754849,4835.6,73.92,0,0,0,7672.43487226646,4926.60425507548,12599.0391273419
986,H02_chi2_eta003,3,109,2,7,5,normal,17.3586011683461,2397.50211066886,38.169187831544,367.339175064597,0,0,3153.65164179163,2820.36907473335,5974.02071652498
986,H02_chi2_eta003,4,110,2,7,6,normal,21.4229787896165,1931.72210010006,63.7269146424764,24.1127799979912,0,0,253.287159130019,2040.98477353015,2294.27193266017
986,H02_chi2_eta003,5,111,2,7,7,loh_demand_stage,0,0,0,0,0,0,0,0,0
986,H02_chi2_eta003,6,112,2,7,8,post_absorb,0,0,0,0,0,0,0,0,0
986,H02_chi2_eta003,7,104,2,6,8,post_absorb,0,0,0,0,0,0,0,0,0
986,H02_chi2_eta003,8,16,1,2,8,post_absorb,0,0,0,0,0,0,0,0,0
2017,H02_chi2_eta003,1,65,2,2,1,normal,13.5679140336339,2240.7,73.92,0,0,0,12549.939923665,2328.18791403364,14878.1278376986
2017,H02_chi2_eta003,2,74,2,3,2,normal,17.0842550754849,4835.6,73.92,0,0,0,7363.00653798843,4926.60425507548,12289.6107930639
2017,H02_chi2_eta003,3,68,2,2,4,normal,18.1515339683543,3010.50015990597,47.9283607547219,192.163890490808,0,0,4112.82302247662,3268.74394511985,7381.56696759647
2017,H02_chi2_eta003,4,151,3,5,7,loh_demand_stage,0,0,0,0,0,132203.931120193,0,132203.931120193,132203.931120193
2017,H02_chi2_eta003,5,168,3,7,8,post_absorb,0,0,0,0,0,0,0,0,0
2017,H02_chi2_eta003,6,160,3,6,8,post_absorb,0,0,0,0,0,0,0,0,0
2017,H02_chi2_eta003,7,168,3,7,8,post_absorb,0,0,0,0,0,0,0,0,0
2017,H02_chi2_eta003,8,160,3,6,8,post_absorb,0,0,0,0,0,0,0,0,0
5380,H02_chi2_eta003,1,65,2,2,1,normal,13.5679140336339,2240.7,73.92,0,0,0,12549.939923665,2328.18791403364,14878.1278376986
5380,H02_chi2_eta003,2,66,2,2,2,normal,17.0842550754849,4835.6,73.92,0,0,0,7434.57095980736,4926.60425507548,12361.1752148828
5380,H02_chi2_eta003,3,117,3,1,5,normal,23.0902550754849,4643.1,73.92,595.63991720846,11307.601673807,0,24349.573361344,16643.3518460909,40992.925207435
5380,H02_chi2_eta003,4,150,3,5,6,normal,28.0879461600972,2240.7,73.92,265.143547565643,420.501112172682,0,4169.80187198026,3028.35260589842,7198.15447787868
5380,H02_chi2_eta003,5,167,3,7,7,loh_demand_stage,0,0,0,0,0,0,0,0,0
5380,H02_chi2_eta003,6,112,2,7,8,post_absorb,0,0,0,0,0,0,0,0,0
5380,H02_chi2_eta003,7,80,2,3,8,post_absorb,0,0,0,0,0,0,0,0,0
5380,H02_chi2_eta003,8,64,2,1,8,post_absorb,0,0,0,0,0,0,0,0,0
6826,H02_chi2_eta003,1,65,2,2,1,normal,13.5679140336339,2240.7,73.92,0,0,0,12549.939923665,2328.18791403364,14878.1278376986
6826,H02_chi2_eta003,2,75,2,3,3,normal,17.0842550754849,4835.6,73.92,0,0,0,7835.21528375763,4926.60425507548,12761.8195388331
6826,H02_chi2_eta003,3,117,3,1,5,normal,23.0902550754849,4643.1,73.92,595.63991720846,11307.601673807,0,24349.573361344,16643.3518460909,40992.925207435
6826,H02_chi2_eta003,4,134,3,3,6,normal,29.0962550754849,2240.7,73.92,311.419211924723,4453.73677372317,0,1666.36477318623,7108.87224072337,8775.2370139096
6826,H02_chi2_eta003,5,143,3,4,7,loh_demand_stage,0,0,0,0,0,0,0,0,0
6826,H02_chi2_eta003,6,184,4,2,8,post_absorb,0,0,0,0,0,0,0,0,0
6826,H02_chi2_eta003,7,192,4,3,8,post_absorb,0,0,0,0,0,0,0,0,0
6826,H02_chi2_eta003,8,208,4,5,8,post_absorb,0,0,0,0,0,0,0,0,0
9114,H02_chi2_eta003,1,65,2,2,1,normal,13.5679140336339,2240.7,73.92,0,0,0,12549.939923665,2328.18791403364,14878.1278376986
9114,H02_chi2_eta003,2,58,2,1,2,normal,17.0842550754849,4835.6,73.92,0,0,0,7461.3236548238,4926.60425507548,12387.9279098993
9114,H02_chi2_eta003,3,67,2,2,3,normal,17.7673546570331,2713.5,43.2,0,0,0,4455.72418074343,2774.46735465703,7230.19153540047
9114,H02_chi2_eta003,4,116,3,1,4,normal,23.7733546570331,2240.7,73.92,90.4623636154272,4453.73677372317,0,12658.9794524263,6882.59249199563,19541.5719444219
9114,H02_chi2_eta003,5,134,3,3,6,normal,29.165782571074,4835.6,73.92,137.528061642361,625.737376037062,0,1433.23890304444,5701.9512202505,7135.19012329494
9114,H02_chi2_eta003,6,71,2,2,7,loh_demand_stage,0,0,0,0,0,0,0,0,0
9114,H02_chi2_eta003,7,40,1,5,8,post_absorb,0,0,0,0,0,0,0,0,0
9114,H02_chi2_eta003,8,16,1,2,8,post_absorb,0,0,0,0,0,0,0,0,0
