path_id,path_type,t,current_k,current_a,current_loc,current_lf,P_next_loh_demand_stage,E_TerminalLOH_site1_next,E_TerminalLOH_site2_next,E_TerminalLOH_site3_next,E_TerminalLOH_site4_next,E_TerminalLOH_total_next
986,Reference_08_chi2_eta003,1,65,2,2,1,0,0,0,0,0,0
986,Reference_08_chi2_eta003,2,83,2,4,3,0,0,0,0,0,0
986,Reference_08_chi2_eta003,3,109,2,7,5,0.267,6.86236906672634,1.41290058031148,0.453823269858494,1.78741003397077,10.5165029508671
986,Reference_08_chi2_eta003,4,110,2,7,6,0.89,22.8745635557545,4.70966860103826,1.51274423286165,5.95803344656922,35.0550098362236
2017,Reference_08_chi2_eta003,1,65,2,2,1,0,0,0,0,0,0
2017,Reference_08_chi2_eta003,2,74,2,3,2,0,0,0,0,0,0
2017,Reference_08_chi2_eta003,3,68,2,2,4,0.089,5.33646589929141,1.52808461932187,0.42960651824364,1.51580190043269,8.8099589372896
5380,Reference_08_chi2_eta003,1,65,2,2,1,0,0,0,0,0,0
5380,Reference_08_chi2_eta003,2,66,2,2,2,0,0,0,0,0,0
5380,Reference_08_chi2_eta003,3,117,3,1,5,0.3,56.530893889804,25.129389973781,8.29930413375326,28.3012361471057,118.260824144444
5380,Reference_08_chi2_eta003,4,150,3,5,6,1,181.842461223331,69.314880574808,21.0577725969595,78.6484832016113,350.863597596709
6826,Reference_08_chi2_eta003,1,65,2,2,1,0,0,0,0,0,0
6826,Reference_08_chi2_eta003,2,75,2,3,3,0,0,0,0,0,0
6826,Reference_08_chi2_eta003,3,117,3,1,5,0.3,56.530893889804,25.129389973781,8.29930413375326,28.3012361471057,118.260824144444
6826,Reference_08_chi2_eta003,4,134,3,3,6,1,186.760206559468,77.7868522166594,24.8106579972819,93.620274905016,382.977991678425
9114,Reference_08_chi2_eta003,1,65,2,2,1,0,0,0,0,0,0
9114,Reference_08_chi2_eta003,2,58,2,1,2,0,0,0,0,0,0
9114,Reference_08_chi2_eta003,3,67,2,2,3,0,0,0,0,0,0
9114,Reference_08_chi2_eta003,4,116,3,1,4,0.1,18.8436312966013,8.37646332459367,2.76643471125109,9.43374538236855,39.4202747148147
9114,Reference_08_chi2_eta003,5,134,3,3,6,1,186.760206559468,77.7868522166594,24.8106579972819,93.620274905016,382.977991678425
