path_id,terminal_mode,activated_htt_stages,cd08_production,cd08_htt,cd08_ordinary_shortage,cd08_final_inventory,cd08_terminal_gap,cd08_operating_cost,cd02_production,cd02_htt,cd02_ordinary_shortage,cd02_final_inventory,cd02_terminal_gap,cd02_operating_cost,delta_htt_cd02_minus_cd08,delta_production_cd02_minus_cd08,delta_terminal_gap_cd02_minus_cd08,delta_final_inventory_cd02_minus_cd08
5380,saa,3;4,454.770229246718,62.1196144080845,66.8164041130676,544.225042631832,0.0,28423.7412623262,467.815371635938,74.9129744574049,56.538008369035,546.99178927702,0.0,25664.5031955979,12.793360049320398,13.045142389220018,0.0,2.7667466451879363
5380,chi2_eta003,3;4,471.710943420735,72.0614035378594,67.3810900248146,561.730442717596,0.0,29432.7350274559,480.48,119.115587177986,58.6405139298984,561.758923201945,0.0,26926.4966210985,47.054183640126595,8.769056579264998,0.0,0.028480484348961
986,saa,3,336.102385229931,3.2858102309725,0.0,358.740794501977,0.0,9700.69590487265,302.485012160675,73.8113147861454,0.0,325.123421432721,0.0,8975.08601343261,70.5255045551729,-33.61737306925596,0.0,-33.61737306925602
986,chi2_eta003,3;4,392.629674717106,31.0955782848254,0.0,415.268083989153,0.0,12421.2267684165,405.821166520283,57.7018997235524,0.0,428.459575792329,0.0,12116.1460173726,26.606321438727,13.191491803176973,0.0,13.191491803176007
2017,saa,3,287.347916611909,4.87790821982107,0.0,332.255009752571,45.9249843002325,9196.56503913097,295.030635549443,15.3074799663222,0.0,339.937728690106,35.6495514874687,9500.41872300324,10.429571746501129,7.682718937533991,-10.275432812763803,7.682718937534958
2017,chi2_eta003,3,308.222999793733,13.8498940243139,0.0,353.130092934395,83.8703688149404,10278.0965047478,318.123586226423,31.6182972791577,0.0,363.030679367085,66.1019655600966,10523.536114229,17.768403254843804,9.900586432690034,-17.768403254843804,9.900586432689977
9114,saa,5,525.436334782936,32.5362322753872,37.6688124679836,570.343427923598,0.0,24549.1527841564,517.674001072869,49.178609315412,37.6688124679836,562.581094213531,0.0,23868.2615705228,16.642377040024797,-7.762333710066969,0.0,-7.762333710067082
9114,chi2_eta003,5,543.046232732225,39.8008670291154,33.6108909801041,583.895404385008,0.0,24676.6689316942,550.68,31.9010137094452,25.3973707488012,583.31565142148,0.0,22613.8032360123,-7.899853319670203,7.633767267774942,0.0,-0.5797529635279943
6826,saa,3,461.180883254083,62.5986999354039,78.8066922376509,562.62598476378,0.0,31058.1251775518,480.48,67.8279467934914,68.4767705806257,571.595179852672,0.0,28492.0756892827,5.229246858087507,19.29911674591699,0.0,8.96919508889198
6826,chi2_eta003,3;4,480.48,75.8733797277224,78.8066922376509,581.925101509697,0.0,32094.4303540236,480.48,125.637994561991,78.8066922376509,581.925101509697,0.0,31007.0162559234,49.7646148342686,0.0,0.0,0.0
