path_id,path_type,t,k,a,loc,lf,status,beta,stage_cost,ordinary_stage_cost,loh_demand_cost,theta_value,x_total_before,x_total_after,delta_x_total,production_total,normal_served_total,normal_shortage_total,htt_in_total,htt_out_total,htt_transport_total,TerminalLOH_total,terminal_shortage_total,terminal_surplus_total
986,Reference_08_saa,1,65,2,2,1,normal,0,2328.18791403364,2328.18791403364,0,11487.6779721489,166.638409272046,271.358280672679,104.719871400632,120.12,15.4001285993677,0,0,0,0,0,0,166.638409272046
986,Reference_08_saa,2,83,2,4,3,normal,0.0471428571428571,4061.6151193757,4061.6151193757,0,7326.25798741001,271.358280672679,320.547486739628,49.1892060669496,98.982385229931,49.7931791629814,0,0,0,0,0,0,271.358280672679
986,Reference_08_saa,3,109,2,7,5,normal,0.114285714285714,1924.0097276373,1924.0097276373,0,3066.57684487845,320.547486739628,310.809478370593,-9.73800836903505,46.8,56.538008369035,0,2.69761814441918,2.69761814441918,2.69761814441918,0,0,320.547486739628
986,Reference_08_saa,4,110,2,7,6,normal,0.142857142857143,1386.88314382602,1386.88314382602,0,367.279005933065,310.809478370593,358.740794501977,47.9313161313842,70.2,22.2686838686158,0,0.588192086553324,0.588192086553324,0.588192086553324,0,0,310.809478370593
986,Reference_08_saa,5,111,2,7,7,loh_demand_stage,0.171428571428571,0,0,0,0,358.740794501977,358.740794501977,0,0,0,0,0,0,0,0,0,358.740794501977
986,Reference_08_saa,6,112,2,7,8,post_absorb,0.2,0,0,0,0,358.740794501977,358.740794501977,0,0,0,0,0,0,0,0,0,358.740794501977
986,Reference_08_saa,7,104,2,6,8,post_absorb,0.188333333333333,0,0,0,0,358.740794501977,358.740794501977,0,0,0,0,0,0,0,0,0,358.740794501977
986,Reference_08_saa,8,16,1,2,8,post_absorb,0,0,0,0,0,358.740794501977,358.740794501977,0,0,0,0,0,0,0,0,0,358.740794501977
2017,Reference_08_saa,1,65,2,2,1,normal,0,2328.18791403364,2328.18791403364,0,11487.6779721489,166.638409272046,271.358280672679,104.719871400632,120.12,15.4001285993677,0,0,0,0,0,0,166.638409272046
2017,Reference_08_saa,2,74,2,3,2,normal,0.0219047619047619,3731.54369064135,3731.54369064135,0,7549.1572329273,271.358280672679,312.481578834845,41.1232981621659,90.9164773251473,49.7931791629814,0,0,0,0,0,0,271.358280672679
2017,Reference_08_saa,3,68,2,2,4,normal,0.0607142857142857,3136.83343445598,3136.83343445598,0,4182.17763012238,312.481578834845,332.255009752571,19.7734309177269,76.3114392867619,56.538008369035,0,4.87790821982107,4.87790821982107,4.87790821982107,0,0,312.481578834845
2017,Reference_08_saa,4,151,3,5,7,loh_demand_stage,0.302857142857143,91849.968600465,0,91849.968600465,0,332.255009752571,332.255009752571,0,0,0,0,0,0,0,325.668930529416,45.9249843002325,52.5110635233875
2017,Reference_08_saa,5,168,3,7,8,post_absorb,0.4,0,0,0,0,332.255009752571,332.255009752571,0,0,0,0,0,0,0,0,0,332.255009752571
2017,Reference_08_saa,6,160,3,6,8,post_absorb,0.376666666666667,0,0,0,0,332.255009752571,332.255009752571,0,0,0,0,0,0,0,0,0,332.255009752571
2017,Reference_08_saa,7,168,3,7,8,post_absorb,0.4,0,0,0,0,332.255009752571,332.255009752571,0,0,0,0,0,0,0,0,0,332.255009752571
2017,Reference_08_saa,8,160,3,6,8,post_absorb,0.376666666666667,0,0,0,0,332.255009752571,332.255009752571,0,0,0,0,0,0,0,0,0,332.255009752571
5380,Reference_08_saa,1,65,2,2,1,normal,0,2328.18791403364,2328.18791403364,0,11487.6779721489,166.638409272046,271.358280672679,104.719871400632,120.12,15.4001285993677,0,0,0,0,0,0,166.638409272046
5380,Reference_08_saa,2,66,2,2,2,normal,0.0202380952380952,3874.51429010882,3874.51429010882,0,7502.59797781714,271.358280672679,315.975330756416,44.6170500837369,94.4102292467184,49.7931791629814,0,0,0,0,0,0,271.358280672679
5380,Reference_08_saa,3,117,3,1,5,normal,0.148571428571429,17061.9944655754,17061.9944655754,0,28756.2360920292,315.975330756416,436.095330756415,120.12,120.12,0,56.538008369035,36.6950185901087,36.6950185901087,36.6950185901087,0,0,315.975330756416
5380,Reference_08_saa,4,150,3,5,6,normal,0.252380952380952,5159.04459260829,5159.04459260829,0,4047.73854390785,436.095330756415,544.225042631832,108.129711875417,120.12,11.9902881245833,10.2783957440326,25.4245958179757,25.4245958179757,25.4245958179757,0,0,436.095330756415
5380,Reference_08_saa,5,167,3,7,7,loh_demand_stage,0.342857142857143,0,0,0,0,544.225042631832,544.225042631832,0,0,0,0,0,0,0,185.745847312004,0,358.479195319828
5380,Reference_08_saa,6,112,2,7,8,post_absorb,0.2,0,0,0,0,544.225042631832,544.225042631832,0,0,0,0,0,0,0,0,0,544.225042631832
5380,Reference_08_saa,7,80,2,3,8,post_absorb,0.153333333333333,0,0,0,0,544.225042631832,544.225042631832,0,0,0,0,0,0,0,0,0,544.225042631832
5380,Reference_08_saa,8,64,2,1,8,post_absorb,0.13,0,0,0,0,544.225042631832,544.225042631832,0,0,0,0,0,0,0,0,0,544.225042631832
6826,Reference_08_saa,1,65,2,2,1,normal,0,2328.18791403364,2328.18791403364,0,11487.6779721489,166.638409272046,271.358280672679,104.719871400632,120.12,15.4001285993677,0,0,0,0,0,0,166.638409272046
6826,Reference_08_saa,2,75,2,3,3,normal,0.0438095238095238,4136.84975839223,4136.84975839223,0,7461.68890366351,271.358280672679,322.38598476378,51.0277040911011,100.820883254083,49.7931791629814,0,0,0,0,0,0,271.358280672679
6826,Reference_08_saa,3,117,3,1,5,normal,0.148571428571429,17118.0570842079,17118.0570842079,0,26077.7983238321,322.38598476378,442.50598476378,120.12,120.12,0,56.538008369035,38.6319124417646,38.6319124417646,38.6319124417646,0,0,322.38598476378
6826,Reference_08_saa,4,134,3,3,6,normal,0.219047619047619,7475.03042091811,7475.03042091811,0,2780.46203408826,442.50598476378,562.62598476378,120.12,120.12,0,22.2686838686158,23.9667874936394,23.9667874936394,23.9667874936394,0,0,442.50598476378
6826,Reference_08_saa,5,143,3,4,7,loh_demand_stage,0.282857142857143,0,0,0,0,562.62598476378,562.62598476378,0,0,0,0,0,0,0,355.126421733082,0,207.499563030697
6826,Reference_08_saa,6,184,4,2,8,post_absorb,0.425,0,0,0,0,562.62598476378,562.62598476378,0,0,0,0,0,0,0,0,0,562.62598476378
6826,Reference_08_saa,7,192,4,3,8,post_absorb,0.46,0,0,0,0,562.62598476378,562.62598476378,0,0,0,0,0,0,0,0,0,562.62598476378
6826,Reference_08_saa,8,208,4,5,8,post_absorb,0.53,0,0,0,0,562.62598476378,562.62598476378,0,0,0,0,0,0,0,0,0,562.62598476378
9114,Reference_08_saa,1,65,2,2,1,normal,0,2328.18791403364,2328.18791403364,0,11487.6779721489,166.638409272046,271.358280672679,104.719871400632,120.12,15.4001285993677,0,0,0,0,0,0,166.638409272046
9114,Reference_08_saa,2,58,2,1,2,normal,0.0185714285714286,3893.58816525053,3893.58816525053,0,7520.04405824076,271.358280672679,316.441436292633,45.0831556199547,94.8763347829361,49.7931791629814,0,0,0,0,0,0,271.358280672679
9114,Reference_08_saa,3,67,2,2,3,normal,0.0404761904761905,2773.20517139618,2773.20517139618,0,4445.34267065513,316.441436292633,330.103427923598,13.661991630965,70.2,56.538008369035,0,0,0,0,0,0,316.441436292633
9114,Reference_08_saa,4,116,3,1,4,normal,0.111428571428571,7403.89944754248,7403.89944754248,0,14755.2861834571,330.103427923598,450.223427923598,120.12,120.12,0,22.2686838686158,25.8576606848629,25.8576606848629,25.8576606848629,0,0,330.103427923598
9114,Reference_08_saa,5,134,3,3,6,normal,0.219047619047619,8150.27208593362,8150.27208593362,0,1104.83906356026,450.223427923598,570.343427923598,120.12,120.12,0,15.4001285993677,6.67857159052431,6.67857159052431,6.67857159052431,0,0,450.223427923598
9114,Reference_08_saa,6,71,2,2,7,loh_demand_stage,0.121428571428571,0,0,0,0,570.343427923598,570.343427923598,0,0,0,0,0,0,0,0,0,570.343427923598
9114,Reference_08_saa,7,40,1,5,8,post_absorb,0,0,0,0,0,570.343427923598,570.343427923598,0,0,0,0,0,0,0,0,0,570.343427923598
9114,Reference_08_saa,8,16,1,2,8,post_absorb,0,0,0,0,0,570.343427923598,570.343427923598,0,0,0,0,0,0,0,0,0,570.343427923598
