tier,N,mean_target_kg,mean_inventory_kg,mean_gap_kg,mean_production_kg,mean_HTT_kg,ordinary_shortage_probability,mean_ordinary_shortage_kg,mean_actual_cost_yuan,mean_arrival_after_stage,mean_final_intensity,terminal_location_mode,electrolyzer_saturation_fraction_final16_path_hours,voltage_binding_fraction_final16_path_hours,location_mismatch_incidence,gap_contribution_fraction
difficult4,245,353.635385264,331.145227677,47.8405788407,353.695141788,42.2228070423,0.412244897959,19.5683653645,79607.749952,4.40816326531,3.92653061224,2,0.763520408163,0.104591836735,0.775510204082,0.542930746891
extreme1,62,452.914525685,314.779416528,139.720010978,318.760398936,33.7866315478,0.725806451613,26.8629575372,75368.3654764,4.1935483871,4.38709677419,4,0.792338709677,0.09375,0.161290322581,0.401265875101
normal95,5817,24.335642006,190.429130885,0.207099713742,221.274446866,9.92695830242,0.0648100395393,2.20895450857,67281.788859,4.2238267148,2.26886711363,7,0.427582946536,0.020478769125,0.0266460374764,0.0558033780077
