pair_id,pair_group,initial_state_id,scenario_r,scenario_s,path_id_r,path_id_s,DeltaQ_agg_Tr,DeltaQ_period_Tr,DeltaQ_period_minus_agg_Tr,relative_gap_change_Tr,relative_gap_change_Tr_ge_10pct,DeltaQ_agg_Ts,DeltaQ_period_Ts,DeltaQ_period_minus_agg_Ts,relative_gap_change_Ts,relative_gap_change_Ts_ge_10pct,max_DeltaQ_agg,max_DeltaQ_period,max_relative_gap_change,any_temporal_masking_used_by_solution
13,STEP03T_TIER1,31,3295,3225,3295,3225,84977.929254123,20309.5095223866,-64668.4197317364,0.761002536768673,1,137128.445276857,137127.692446004,-0.752830853452906,5.48996856146783e-06,0,137128.445276857,137127.692446004,0.761002536768673,1
14,STEP03T_TIER1,31,11336,6188,11336,6188,152360.247784768,1728.12518951326,-150632.122595255,0.988657637312624,1,195312.335598573,499.685301786289,-194812.650296787,0.997441609101366,1,195312.335598573,1728.12518951326,0.997441609101366,1
15,STEP03T_TIER1,31,11578,5253,11578,5253,337432.923887583,337714.366922772,281.443035189062,0.000833375961329541,0,173140.846766768,173140.846766768,-4.65661287307739e-10,2.68949410842963e-15,0,337432.923887583,337714.366922772,0.000833375961329541,1
16,STEP03T_CONTROL,31,8102,1750,8102,1750,1012.43607346504,1190.20088935201,177.764815886971,0.149356984587495,1,4279.942802782,1192.94185748842,-3087.00094529358,0.721271542060563,1,4279.942802782,1192.94185748842,0.721271542060563,1
17,STEP03T_TIER1,11,7036,14693,7036,14693,314.17605689516,522.297863286732,208.121806391571,0.39847340190499,1,1243.34804214467,595.224756757806,-648.123285386864,0.521272615082826,1,1243.34804214467,595.224756757806,0.521272615082826,0
18,STEP03T_TIER1,11,10407,11668,10407,11668,18477.6973574453,18477.6973574453,1.45519152283669e-11,7.87539429121745e-16,0,214803.455870071,214803.455870072,1.74622982740402e-10,8.12943078746492e-16,0,214803.455870071,214803.455870072,8.12943078746492e-16,0
19,STEP03T_TIER1,11,3520,8359,3520,8359,1664.02365391099,902.342714450177,-761.680939460814,0.457734442458566,1,439660.484096236,178649.044782526,-261011.43931371,0.593665905295637,1,439660.484096236,178649.044782526,0.593665905295637,1
20,STEP03T_CONTROL,11,3957,14538,3957,14538,39150.535198205,39150.5351982032,-1.78988557308912e-09,4.57180358845052e-14,0,39150.5351982054,39150.5351982039,-1.48429535329342e-09,3.79125175627601e-14,0,39150.5351982054,39150.5351982039,4.57180358845052e-14,0
21,STEP03T_TIER1,21,4757,5018,4757,5018,653.53752656634,653.537526566335,-5.00222085975111e-12,7.65406829204219e-15,0,662.40667407675,662.406674076749,-9.09494701772928e-13,1.3730156071277e-15,0,662.40667407675,662.406674076749,7.65406829204219e-15,0
22,STEP03T_TIER1,21,353,10381,353,10381,114757.719055031,114757.560127586,-0.15892744489247,1.38489546673769e-06,0,210418.990293758,97891.3181626731,-112527.672131085,0.534779070909851,1,210418.990293758,114757.560127586,0.534779070909851,1
23,STEP03T_TIER1,21,8542,2987,8542,2987,239.382253835996,721.900513492554,482.518259656557,0.668399939656691,1,274754.786125562,274820.590605281,65.8044797191978,0.000239445230702206,0,274754.786125562,274820.590605281,0.668399939656691,0
24,STEP03T_CONTROL,21,4441,11613,4441,11613,39480.1678720563,39320.8310733101,-159.336798746182,0.00403586933223148,0,39658.383621258,39479.2067082698,-179.176912988187,0.00451800846699519,0,39658.383621258,39479.2067082698,0.00451800846699519,1
25,HOLDOUT_TIER1,7,3576,12748,3576,12748,6.81886371455225,6.81886371455225,8.88178419700125e-16,1.30253141414844e-16,0,6546.10915636774,6546.10915636774,9.09494701772928e-13,1.38936684379639e-16,0,6546.10915636774,6546.10915636774,1.38936684379639e-16,0
26,HOLDOUT_CONTROL,7,3952,9192,3952,9192,77.9077388609501,77.9077388609478,-2.27373675443232e-12,2.91849922443583e-14,0,77.90773831052,77.9077383105221,2.04636307898909e-12,2.62664932054986e-14,0,77.9077388609501,77.9077388609478,2.91849922443583e-14,0
27,HOLDOUT_TIER1,18,9141,9796,9141,9796,299.90439258165,290.578589659176,-9.32580292247394,0.0310959197436062,0,1520.08180193288,898.29991831017,-621.78188362271,0.409045015098579,1,1520.08180193288,898.29991831017,0.409045015098579,0
28,HOLDOUT_CONTROL,18,11027,13105,11027,13105,5.44260972704024,10.5240578567364,5.08144812969613,0.482841143489489,1,77.7603282648402,19.350275632205,-58.4100526326351,0.7511549132573,1,77.7603282648402,19.350275632205,0.7511549132573,0
29,HOLDOUT_TIER1,30,10786,4869,10786,4869,84949.995962329,19639.0935783433,-65310.9023839857,0.76881583858989,1,137182.694893793,735.658727493254,-136447.0361663,0.994637379531997,1,137182.694893793,19639.0935783433,0.994637379531997,1
30,HOLDOUT_CONTROL,30,4413,3941,4413,3941,3034.29041299201,88.1638923503924,-2946.12652064161,0.970944148268439,1,208.042132242001,84.9222129784757,-123.119919263525,0.591802813866127,1,3034.29041299201,88.1638923503924,0.970944148268439,1
31,HOLDOUT_TIER1,31,2677,11805,2677,11805,84963.6148862271,42594.5771448141,-42369.037741413,0.498672729475417,1,137126.481265021,522.195477835136,-136604.285787186,0.996191869921712,1,137126.481265021,42594.5771448141,0.996191869921712,1
32,HOLDOUT_CONTROL,31,12300,1040,12300,1040,3234.95290064404,66.9891047556885,-3167.96379588835,0.979292092709495,1,3.38823856296949,48.9119942005491,45.5237556375796,0.930727858915811,1,3234.95290064404,66.9891047556885,0.979292092709495,1
33,HOLDOUT_TIER1,11,8255,3251,8255,3251,218.97349948866,218.973499488657,-2.72848410531878e-12,1.24603393181835e-14,0,1142.91505578069,1142.91505578069,-4.54747350886464e-13,3.97883769739861e-16,0,1142.91505578069,1142.91505578069,1.24603393181835e-14,0
34,HOLDOUT_CONTROL,11,6042,13138,6042,13138,686.949012438097,686.949012437719,-3.78349795937538e-10,5.50768381767828e-13,0,538.542442562495,539.836285063429,1.29384250093426,0.00239673126229786,0,686.949012438097,686.949012437719,0.00239673126229786,0
35,HOLDOUT_TIER1,21,13657,14463,13657,14463,1494.22466064006,1494.22466064025,1.89629645319656e-10,1.26908389557968e-13,0,230.10029596168,231.230717519893,1.13042155821313,0.00488871708022909,0,1494.22466064006,1494.22466064025,0.00488871708022909,0
36,HOLDOUT_CONTROL,21,5390,11340,5390,11340,215.56353205316,215.563532053161,9.09494701772928e-13,4.21914919054413e-15,0,215.56353216778,215.563532167777,-2.72848410531878e-12,1.26574475649022e-14,0,215.56353216778,215.563532167777,1.26574475649022e-14,0
