pair_id,pair_group,initial_state_id,scenario_r,scenario_s,path_id_r,path_id_s,DeltaQ_agg_Tr,DeltaQ_period_Tr,DeltaQ_period_minus_agg_Tr,relative_gap_change_Tr,relative_gap_change_Tr_ge_10pct,DeltaQ_agg_Ts,DeltaQ_period_Ts,DeltaQ_period_minus_agg_Ts,relative_gap_change_Ts,relative_gap_change_Ts_ge_10pct,max_DeltaQ_agg,max_DeltaQ_period,max_relative_gap_change,any_temporal_masking_used_by_solution
1,STEP03T_TIER1,7,3576,8245,3576,8245,6546.10915636543,6546.10915636543,-1.81898940354586e-12,2.77873368759376e-16,0,13.6377274191045,13.6377274191045,1.77635683940025e-14,1.30253141510353e-15,0,6546.10915636543,6546.10915636543,1.30253141510353e-15,0
2,STEP03T_TIER1,7,3576,1,3576,1,6.81886371455225,6.81886371455225,8.88178419700125e-16,1.30253141414844e-16,0,16365.2728909255,16365.2728909255,-4.72937244921923e-11,2.8898830350954e-15,0,16365.2728909255,16365.2728909255,2.8898830350954e-15,0
3,STEP03T_TIER1,7,5076,7008,5076,7008,100218.041760152,100344.498833232,126.457073079626,0.00126022925571428,0,325127.586392309,113033.140619259,-212094.44577305,0.652342202415056,1,325127.586392309,113033.140619259,0.652342202415056,1
4,STEP03T_CONTROL,7,224,13663,224,13663,45823.4798747203,45823.4798747203,-7.27595761418343e-12,1.58782301869601e-16,0,45823.4798747203,45823.4798747203,-7.27595761418343e-12,1.58782301869601e-16,0,45823.4798747203,45823.4798747203,1.58782301869601e-16,0
5,STEP03T_TIER1,18,7951,8139,7951,8139,52.0549120112,115.250636199024,63.1957241878235,0.548332974741175,1,1354.45478554624,1371.81046588679,17.3556803405536,0.0126516605406813,0,1354.45478554624,1371.81046588679,0.548332974741175,0
6,STEP03T_TIER1,18,5578,6733,5578,6733,171704.764175001,98352.1423921192,-73352.6217828814,0.42720201815787,1,153336.134737647,153292.917924023,-43.2168136241962,0.000281843635214483,0,171704.764175001,153292.917924023,0.42720201815787,1
7,STEP03T_TIER1,18,8902,1303,8902,1303,834.108624976303,842.110727715277,8.00210273897392,0.00950243533969025,0,306335.305308994,306335.305308997,3.14321368932724e-09,1.02606968078874e-14,0,306335.305308994,306335.305308997,0.00950243533969025,0
8,STEP03T_CONTROL,18,4847,6256,4847,6256,1590.47983569,1730.21965326673,139.73981757673,0.0807642066213359,0,2233.86976931299,1947.8931437072,-285.976625605792,0.128018485918157,1,2233.86976931299,1947.8931437072,0.128018485918157,1
9,STEP03T_TIER1,30,3991,5821,3991,5821,137173.74964725,1210.93942434445,-135962.810222905,0.991172221890424,1,133971.18528777,870.546606762684,-133100.638681007,0.993501986230153,1,137173.74964725,1210.93942434445,0.993501986230153,1
10,STEP03T_TIER1,30,2508,6378,2508,6378,232633.626215993,219893.238284648,-12740.3879313451,0.0547658914946201,0,249510.786568141,19788.9767921074,-229721.809776034,0.920688892595419,1,249510.786568141,219893.238284648,0.920688892595419,1
11,STEP03T_TIER1,30,10710,9931,10710,9931,248570.496919968,2427.6318529417,-246142.865067026,0.990233628354843,1,234495.055082659,1106.18293253507,-233388.872150124,0.995282702519483,1,248570.496919968,2427.6318529417,0.995282702519483,1
12,STEP03T_CONTROL,30,11691,9716,11691,9716,6409.59013274801,5542.91143596871,-866.678696779301,0.135215930945607,1,6409.59013274801,5542.91143596871,-866.678696779301,0.135215930945607,1,6409.59013274801,5542.91143596871,0.135215930945607,1
