initial_state_id,evaluation_count,Q_agg_mean,Q_period_mean,signed_difference_mean,absolute_difference_median,absolute_difference_q90,absolute_difference_max,relative_difference_median,relative_difference_q90,relative_difference_max,relative_difference_ge_10pct_count,relative_difference_ge_10pct_share,aggregate_overestimate_count,aggregate_underestimate_count,numerically_equal_count,large_difference_with_temporal_masking_count,period_service_on_agg_unreachable_mean_kg,pair_gap_relative_change_mean,pair_gap_change_ge_10pct_count
7,24,28405.2191788035,19562.6815602148,-8842.53761858871,4.2632564145606e-13,12.6457073082414,212094.44577305,2.23840448609137e-16,0.000203907935662385,0.647021861291759,1,0.0416666666666667,2,0,22,1,5.21643073398249,0.108723700402515,1
11,24,65615.3940622832,54667.6775120015,-10947.7165502817,2.91038304567337e-11,665.205951758286,261011.439313724,1.44315177896466e-15,0.0677830882561669,0.58819905102257,2,0.0833333333333333,7,0,17,1,6.83022847739341,0.186222541940137,2
18,24,50440.6181288667,47282.793689996,-3157.82443887067,19.0133347672493,478.009379578383,73370.3845491496,0.00324919338167175,0.0469720343553621,0.414626464641122,2,0.0833333333333333,20,0,4,1,4.27315458818609,0.378875973752128,5
21,24,58047.197399645,53321.5391525118,-4725.6582471332,2.18278728425503e-11,209.511047654954,112527.672131085,1.21742341797582e-15,0.00411015541048491,0.528291181898411,1,0.0416666666666667,7,0,17,1,3.77310458322858,0.202097622685631,2
30,24,687079.541750384,637015.731523149,-50063.8102272346,574.965659621288,230119.114089321,247337.829998285,0.00128157814431215,0.289590698850491,0.318209459929258,6,0.25,21,0,3,6,36.5484843938925,0.835045173348516,6
31,24,711571.532565969,686531.311165051,-25040.2214009185,363.707987040456,138049.623040116,196003.546264948,0.000502383502109067,0.161776539096519,0.368072398022884,3,0.125,17,4,3,3,25.9487312367114,0.74267217108719,5
